head,relation,tail,head_type,tail_type,confidence,evidence,pattern_names,section_titles,source_files,record_count,source_row_ids,source_relations,conflicting_relations,disambiguation_score,disambiguation_method,disambiguation_basis
Durability,has_part,事务,事务与一致性实体,领域实体,0.7980,"- 持久性(Durability):事务提交后,数据永久保存到数据库,不可回滚",枚举结构关系,事务四大特性ACID:,mysql.txt,1,1,has_part,,0.7800,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.780, conf=0.798, support=1, cues=枚举结构"
Durability,has_part,数据库,事务与一致性实体,领域实体,0.7200,"- 持久性(Durability):事务提交后,数据永久保存到数据库,不可回滚",枚举结构关系,事务四大特性ACID:,mysql.txt,1,14,has_part,,0.7316,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.732, conf=0.720, support=1, cues=枚举结构"
READ COMMITTED,has_part,不可重复读,事务与一致性实体,事务与一致性实体,0.7300,"- 读已提交(READ COMMITTED):解决脏读,会出现不可重复读、幻读(Oracle默认级别)",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,11,has_part,,0.7378,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.738, conf=0.730, support=1, cues=枚举结构"
READ COMMITTED,has_part,幻读,事务与一致性实体,事务与一致性实体,0.6940,"- 读已提交(READ COMMITTED):解决脏读,会出现不可重复读、幻读(Oracle默认级别)",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,16,has_part,,0.7155,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.716, conf=0.694, support=1, cues=枚举结构"
READ COMMITTED,has_part,脏读,事务与一致性实体,事务与一致性实体,0.7660,"- 读已提交(READ COMMITTED):解决脏读,会出现不可重复读、幻读(Oracle默认级别)",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,5,has_part,,0.7602,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.760, conf=0.766, support=1, cues=枚举结构"
READ UNCOMMITTED,has_part,不可重复读,事务与一致性实体,事务与一致性实体,0.7120,"- 读未提交(READ UNCOMMITTED):最低级别,会出现脏读、不可重复读、幻读",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,15,has_part,,0.7267,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.727, conf=0.712, support=1, cues=枚举结构"
READ UNCOMMITTED,has_part,幻读,事务与一致性实体,事务与一致性实体,0.6760,"- 读未提交(READ UNCOMMITTED):最低级别,会出现脏读、不可重复读、幻读",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,20,has_part,,0.7044,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.704, conf=0.676, support=1, cues=枚举结构"
READ UNCOMMITTED,has_part,脏读,事务与一致性实体,事务与一致性实体,0.7300,"- 读未提交(READ UNCOMMITTED):最低级别,会出现脏读、不可重复读、幻读",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,12,has_part,,0.7378,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.738, conf=0.730, support=1, cues=枚举结构"
REPEATABLE READ,has_part,MySQL,事务与一致性实体,领域实体,0.6900,"- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,17,has_part,,0.7130,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.713, conf=0.690, support=1, cues=枚举结构"
REPEATABLE READ,has_part,不可重复读,事务与一致性实体,事务与一致性实体,0.7480,"- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,7,has_part,,0.7490,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.749, conf=0.748, support=1, cues=枚举结构"
REPEATABLE READ,has_part,幻读,事务与一致性实体,事务与一致性实体,0.6880,"- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,18,has_part,,0.7118,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.712, conf=0.688, support=1, cues=枚举结构"
REPEATABLE READ,has_part,脏读,事务与一致性实体,事务与一致性实体,0.7660,"- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)",枚举结构关系,事务隔离级别(从低到高):,mysql.txt,1,6,has_part,,0.7602,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.760, conf=0.766, support=1, cues=枚举结构"
