head,relation,tail,head_type,tail_type,evidence,pattern_name,section_title,source_file,confidence,method
标记阶段,alias_of,GC Roots,垃圾回收算法实体,垃圾回收核心概念实体,标记阶段，即从GC Roots集合开始，标记活跃对象,别名关系,使用ThreadLocal,JVM.txt,0.952,rule_pattern_sentence_level
Full GC,alias_of,Major GC,垃圾回收核心概念实体,垃圾回收核心概念实体,老年代中的对象生命周期较长，因此Major GC（也称为Full GC，涉及老年代的垃圾回收）发生的频率相对较低，但其执行时间通常比Minor GC长,别名关系,全文,JVM.txt,0.926,rule_pattern_sentence_level
Minor GC,alias_of,Young GC,垃圾回收核心概念实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,使用ThreadLocal,JVM.txt,0.926,rule_pattern_sentence_level
gc,alias_of,Major GC,领域实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,使用ThreadLocal,JVM.txt,0.91,rule_pattern_sentence_level
老年代,alias_of,Major GC,堆结构实体,垃圾回收核心概念实体,老年代中的对象生命周期较长，因此Major GC（也称为Full GC，涉及老年代的垃圾回收）发生的频率相对较低，但其执行时间通常比Minor GC长,别名关系,全文,JVM.txt,0.886,rule_pattern_sentence_level
加载,is_a,扩展类加载器,类加载过程实体,领域实体,系统类加载器的父加载器是扩展类加载器,上下位关系,使用ThreadLocal,JVM.txt,0.868,rule_pattern_sentence_level
Minor GC,alias_of,Major GC,垃圾回收核心概念实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,使用ThreadLocal,JVM.txt,0.866,rule_pattern_sentence_level
StackOverFlowError,is_a,JVM,异常与错误实体,领域实体,栈溢出（java.lang.StackOverflowError）是 JVM 中另一种常见的内存错误，和堆溢出的原理与场景截然不同,上下位关系,全文,JVM.txt,0.862,rule_pattern_sentence_level
gc,is_a,线程,领域实体,线程与私有性相关实体,Serial GC 是单线程回收，简单但效率低，适合小内存应用,上下位关系,使用ThreadLocal,JVM.txt,0.862,rule_pattern_sentence_level
初始化,is_a,类加载过程,类加载过程实体,领域实体,初始化：初始化是整个类加载过程的最后一个阶段，初始化阶段简单来说就是执行类的构造器方法（() ），要注意的是这里的构造器方法()并不是开发者写的，而是编译器自动生成的,上下位关系,使用ThreadLocal,JVM.txt,0.862,rule_pattern_sentence_level
初始标记阶段,is_a,GC Roots,垃圾回收算法实体,垃圾回收核心概念实体,初始标记阶段：初始标记阶段是指从GC Roots出发标记全部直接子节点的过程，该阶段是STW的,上下位关系,使用ThreadLocal,JVM.txt,0.862,rule_pattern_sentence_level
加载,is_a,启动类加载器,类加载过程实体,领域实体,扩展类加载器由启动类加载器加载，并且父加载器就是启动类加载器,上下位关系,使用ThreadLocal,JVM.txt,0.862,rule_pattern_sentence_level
垃圾回收,alias_of,Major GC,领域实体,垃圾回收核心概念实体,老年代中的对象生命周期较长，因此Major GC（也称为Full GC，涉及老年代的垃圾回收）发生的频率相对较低，但其执行时间通常比Minor GC长,别名关系,全文,JVM.txt,0.862,rule_pattern_sentence_level
G1,implemented_by,JVM,垃圾回收器实体,领域实体,大对象区（Large Object Space / Humongous Objects）:在某些JVM实现中（如G1垃圾收集器），为大对象分配了专门的区域，称为大对象区或Humongous Objects区域,实现关系,全文,JVM.txt,0.86,rule_pattern_sentence_level
CMS,is_a,使用,垃圾回收器实体,类加载过程实体,CMS收集器是使用“标记-清除”算法进行的垃圾回收，容易产生内存碎片,上下位关系,使用ThreadLocal,JVM.txt,0.856,rule_pattern_sentence_level
CMS,is_a,老年代,垃圾回收器实体,堆结构实体,CMS收集器是老年代的收集器，可以配合新生代的Serial和ParNew收集器一起使用,上下位关系,使用ThreadLocal,JVM.txt,0.856,rule_pattern_sentence_level
Java 堆,is_a,使用,内存区域实体,类加载过程实体,元空间并不在Java堆中，而是使用本地内存，这解决了永久代容易出现的内存溢出问题,上下位关系,全文,JVM.txt,0.856,rule_pattern_sentence_level
gc,alias_of,Young GC,领域实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,使用ThreadLocal,JVM.txt,0.856,rule_pattern_sentence_level
引用计数法,implemented_by,垃圾回收,垃圾回收核心概念实体,领域实体,在Java中，判断对象是否为垃圾（即不再被使用，可以被垃圾回收器回收）主要依据两种主流的垃圾回收算法来实现：引用计数法和可达性分析算法,实现关系,使用ThreadLocal,JVM.txt,0.854,rule_pattern_sentence_level
String,is_a,Extension ClassLoader,对象与字符串相关实体,类加载器实体,具体来说，Java 的类加载器有一套默认的层级结构：最顶层是Bootstrap ClassLoader（启动类加载器，负责加载 JDK 核心类，如java.lang.String），往下是Extension ClassLoader（扩展类加载器，加载 JDK 扩展目录的类），再往下是AppClassLoader（应用类加载器，加载我们自己写的类和第三方 jar 包），我们也可以自定义类加载器，放在最下层,上下位关系,使用ThreadLocal,JVM.txt,0.85,rule_pattern_sentence_level
并发标记,is_a,GC Roots,垃圾回收算法实体,垃圾回收核心概念实体,并发标记阶段：并发标记阶段是指从GC Roots开始对堆中对象进行可达性分析，找出存活对象,上下位关系,使用ThreadLocal,JVM.txt,0.85,rule_pattern_sentence_level
