head,relation,tail,head_type,tail_type,confidence,evidence,pattern_names,section_titles,source_files,record_count,source_row_ids,source_relations,conflicting_relations,disambiguation_score,disambiguation_method,disambiguation_basis
Annotation,is_a,解析,注解实体,JVM 与内存管理实体,0.7180,"注解(Annotation)是一种元数据,不直接影响代码逻辑,但可以被工具或框架解析",上下位关系,注解,java.txt,1,117,is_a,,0.7505,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.750, conf=0.718, support=1, cues=上下位,是一种"
ArrayList,implemented_by,List,集合框架实体,集合框架实体,0.8400,"List的实现类:ArrayList(数组结构,查询快增删慢)、LinkedList(链表结构,增删快查询慢)、Vector(线程安全,较少用)",实现关系,集合框架,java.txt,1,3,implemented_by,,0.8402,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"implemented_by: score=0.840, conf=0.840, support=1, cues=实现关系,实现类,实现"
Callable,implemented_by,Runnable,线程与并发实体,线程与并发实体,0.8400,创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask),实现关系,线程与并发,java.txt,1,4,implemented_by,,0.8241,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"implemented_by: score=0.824, conf=0.840, support=1, cues=实现关系,实现"
Callable,implemented_by,Thread,线程与并发实体,线程与并发实体,0.7680,创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask),实现关系,线程与并发,java.txt,1,52,implemented_by,,0.7795,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"implemented_by: score=0.779, conf=0.768, support=1, cues=实现关系,实现"
Checked Exception,is_a,Exception,异常处理实体,异常处理实体,0.7920,"Exception分为:Checked Exception(编译时异常,必须处理)和Unchecked Exception(运行时异常,不强制处理)",上位包含关系,异常处理,java.txt,1,31,is_a,,0.6515,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.651, conf=0.792, support=1, cues=!包含"
Class,is_a,实例,面向对象核心实体,面向对象核心实体,0.6860,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",上下位关系,面向对象基础,java.txt,1,150,is_a,,0.7146,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.715, conf=0.686, support=1, cues=上下位"
Class,is_a,对象,面向对象核心实体,面向对象核心实体,0.7520,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",上下位关系,面向对象基础,java.txt,1,74,is_a,,0.7555,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.755, conf=0.752, support=1, cues=上下位"
Error,is_a,Throwable,异常处理实体,异常处理实体,0.7500,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",上位包含关系,异常处理,java.txt,1,77,is_a,,0.6254,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.625, conf=0.750, support=1, cues=!包含"
Error,is_a,父类,异常处理实体,数据类型实体,0.8000,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",上位包含关系,异常处理,java.txt,1,26,is_a,,0.6564,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.656, conf=0.800, support=1, cues=!包含"
Exception,has_part,Checked Exception,异常处理实体,异常处理实体,0.7720,"Exception分为:Checked Exception(编译时异常,必须处理)和Unchecked Exception(运行时异常,不强制处理)",枚举结构关系,异常处理,java.txt,1,50,has_part,,0.7800,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.780, conf=0.772, support=1, cues=枚举结构,分为"
Exception,is_a,Throwable,异常处理实体,异常处理实体,0.6480,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",上位包含关系,异常处理,java.txt,1,181,is_a,,0.5622,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.562, conf=0.648, support=1, cues=!包含"
