input_file,input_row_id,original_head,original_relation,original_tail,canonical_head,canonical_relation,canonical_tail,kept_relation,decision,canonicalization_actions,candidate_relations,winner_score,runner_up_score,score_margin,basis,evidence
cn.csv,0,HTTPS,depends_on,SSL/TLS,HTTPS,depends_on,SSL/TLS,depends_on,kept,,depends_on,0.8219,,,"depends_on: score=0.822, conf=0.846, support=1, cues=依赖,基于","HTTPS 基于 SSL/TLS 加密,防窃听、篡改、冒充"
cn.csv,1,HTTP/3,depends_on,QUIC,HTTP/3,depends_on,QUIC,depends_on,kept,,depends_on,0.8095,,,"depends_on: score=0.809, conf=0.826, support=1, cues=依赖,基于",HTTP/3(基于 QUIC):新一代网页传输
cn.csv,2,Proxy Protocol,used_for,TCP,Proxy Protocol,used_for,TCP,used_for,kept,,used_for,0.8186,,,"used_for: score=0.819, conf=0.818, support=1, cues=用途,用于,适用于","传输层:TCP Options 字段、Proxy Protocol,适用于所有 TCP 协议,需双方改造"
cn.csv,3,DHCP,has_part,客户端,DHCP,has_part,客户端,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","DHCP:客户端无 IP,无法建立 TCP 连接,且需广播"
cn.csv,4,DNS,has_part,域名解析,DNS,has_part,域名解析,has_part,kept,,has_part,0.7561,,,"has_part: score=0.756, conf=0.804, support=1, cues=枚举结构,!基于","DNS:域名解析(默认 UDP,大包 / 区域传送用 TCP)"
cn.csv,5,HTTP/2,has_part,传输层,HTTP/2,has_part,传输层,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","HTTP/2:传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流"
cn.csv,6,Host,has_part,服务器,Host,has_part,服务器,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构",Host:服务器域名与端口
cn.csv,7,TCP,has_part,可靠传输,TCP,has_part,可靠传输,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","TCP:可靠传输,通过序列号、确认应答 ACK、超时重传、流量控制、拥塞控制,保证数据无差错、不丢失、不重复、按序到达"
cn.csv,8,TCP,has_part,有状态,TCP,has_part,有状态,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","TCP:有状态,两端需维护连接状态(序列号、窗口大小、已发送 / 已确认数据等)"
cn.csv,9,TCP,has_part,面向字节流,TCP,has_part,面向字节流,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","TCP:面向字节流,将数据视为无结构字节流,可拆分 / 合并数据"
cn.csv,10,TCP,has_part,面向连接,TCP,has_part,面向连接,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","TCP:面向连接,传输前必须通过三次握手建立连接,传输后通过四次挥手释放连接"
cn.csv,11,UDP,has_part,面向报文,UDP,has_part,面向报文,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","UDP:面向报文,保留应用层数据边界,不拆分、不合并数据块"
cn.csv,12,传输层,has_part,TCP,传输层,has_part,TCP,has_part,kept,,has_part | used_for,0.7837,0.7206,0.0631,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构；used_for: score=0.721, conf=0.660, support=1, cues=用途,用于,适用于",传输层:TCP、UDP、SCTP
cn.csv,13,传输层,has_part,TCP Options,传输层,has_part,TCP Options,has_part,kept,,has_part,0.7285,,,"has_part: score=0.729, conf=0.804, support=1, cues=枚举结构,!用于,!适用于","传输层:TCP Options 字段、Proxy Protocol,适用于所有 TCP 协议,需双方改造"
cn.csv,14,应用层,has_part,HTTP,应用层,has_part,HTTP,has_part,kept,,has_part | used_for,0.7837,0.7380,0.0457,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构；used_for: score=0.738, conf=0.662, support=1, cues=用途,用于,适用于,\bfor\b",应用层:HTTP、HTTPS、FTP、SMTP、POP3、IMAP、Telnet、SSH、DNS、RTP、RTCP、DHCP、SNMP、NTP
