head,relation,tail,head_type,tail_type,evidence,pattern_name,section_title,source_file,confidence,method
布隆过滤器,is_a,空间效率较高,具体数据结构实体,性质与规则实体,"布隆过滤器是一种空间效率较高的概率型数据结构,用于判断元素是否存在于集合中,但存在一定的误判率",上下位关系,全文,data_structure.txt,0.862,relation_disambiguation_normalized
数组,is_a,顺序存储结构,具体数据结构实体,存储与组成相关实体,"数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",上下位关系,全文,data_structure.txt,0.862,relation_disambiguation_normalized
链表,is_a,链式存储结构,具体数据结构实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",上下位关系,全文,data_structure.txt,0.862,relation_disambiguation_normalized
队列,is_a,先进先出,具体数据结构实体,性质与规则实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",上下位关系,全文,data_structure.txt,0.862,relation_disambiguation_normalized
优先队列,implements,广度优先搜索,具体数据结构实体,算法与操作实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",实现关系,全文,data_structure.txt,0.854,relation_disambiguation_normalized
哈希表,is_a,哈希函数,具体数据结构实体,存储与组成相关实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",上下位关系,全文,data_structure.txt,0.85,relation_disambiguation_normalized
哈希表,used_for,缓存系统,具体数据结构实体,应用场景实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.848,relation_disambiguation_normalized
队列,used_for,广度优先搜索,具体数据结构实体,算法与操作实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.848,relation_disambiguation_normalized
查找,implements,数据结构,算法与操作实体,领域实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",实现关系,全文,data_structure.txt,0.842,relation_disambiguation_normalized
哈希表,depends_on,哈希函数,具体数据结构实体,存储与组成相关实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",依赖关系,全文,data_structure.txt,0.84,relation_disambiguation_normalized
顺序存储结构,is_a,随机访问,存储与组成相关实体,算法与操作实体,"数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",上下位关系,全文,data_structure.txt,0.838,relation_disambiguation_normalized
优先队列,used_for,建模网络关系,具体数据结构实体,应用场景实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.836,relation_disambiguation_normalized
数据结构,used_for,任务调度,领域实体,应用场景实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",用途关系,全文,data_structure.txt,0.836,relation_disambiguation_normalized
数据结构,used_for,函数调用,领域实体,应用场景实体,"栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值",用途关系,全文,data_structure.txt,0.836,relation_disambiguation_normalized
括号匹配问题,used_for,广度优先搜索,应用场景实体,算法与操作实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.83,relation_disambiguation_normalized
广度优先搜索,used_for,优先队列,算法与操作实体,具体数据结构实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.824,relation_disambiguation_normalized
哈希表,is_a,数据结构,具体数据结构实体,领域实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",上下位关系,全文,data_structure.txt,0.82,relation_disambiguation_normalized
布隆过滤器,is_a,概率型数据结构,具体数据结构实体,性质与规则实体,"布隆过滤器是一种空间效率较高的概率型数据结构,用于判断元素是否存在于集合中,但存在一定的误判率",上下位关系,全文,data_structure.txt,0.82,relation_disambiguation_normalized
线性结构,is_a,一对一关系,结构分类实体,性质与规则实体,"线性结构是指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列",上下位关系,全文,data_structure.txt,0.82,relation_disambiguation_normalized
非线性结构,is_a,一对多关系,结构分类实体,性质与规则实体,"非线性结构是指数据元素之间存在一对多关系的结构,主要包括树和图",上下位关系,全文,data_structure.txt,0.82,relation_disambiguation_normalized
最小堆,used_for,优先队列,具体数据结构实体,具体数据结构实体,"堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现",用途关系,全文,data_structure.txt,0.816,relation_disambiguation_normalized
数据结构,used_for,查找,领域实体,算法与操作实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",用途关系,全文,data_structure.txt,0.812,relation_disambiguation_normalized
最大堆,is_a,完全二叉树,具体数据结构实体,性质与规则实体,"堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现",上位包含关系,全文,data_structure.txt,0.812,relation_disambiguation_normalized
哈希表,depends_on,数据结构,具体数据结构实体,领域实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",依赖关系,全文,data_structure.txt,0.81,relation_disambiguation_normalized
二叉树,is_a,节点,具体数据结构实体,存储与组成相关实体,"二叉树是一种特殊的树结构,每个节点最多有两个子节点",上下位关系,全文,data_structure.txt,0.808,relation_disambiguation_normalized
链表,is_a,节点,具体数据结构实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",上下位关系,全文,data_structure.txt,0.808,relation_disambiguation_normalized
数据结构,used_for,缓冲区管理,领域实体,应用场景实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",用途关系,全文,data_structure.txt,0.806,relation_disambiguation_normalized
数据结构,used_for,表达式求值,领域实体,应用场景实体,"栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值",用途关系,全文,data_structure.txt,0.806,relation_disambiguation_normalized
建模网络关系,used_for,缓存系统,应用场景实体,应用场景实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.804,relation_disambiguation_normalized
顺序存储结构,is_a,插入,存储与组成相关实体,算法与操作实体,"数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",上下位关系,全文,data_structure.txt,0.802,relation_disambiguation_normalized
FIFO,used_for,任务调度,性质与规则实体,应用场景实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",用途关系,全文,data_structure.txt,0.8,relation_disambiguation_normalized
LIFO,used_for,函数调用,性质与规则实体,应用场景实体,"栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值",用途关系,全文,data_structure.txt,0.8,relation_disambiguation_normalized
队列,is_a,数据结构,具体数据结构实体,领域实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",上下位关系,全文,data_structure.txt,0.796,relation_disambiguation_normalized
最大堆,used_for,优先队列,具体数据结构实体,具体数据结构实体,"堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现",用途关系,全文,data_structure.txt,0.792,relation_disambiguation_normalized
最小堆,is_a,完全二叉树,具体数据结构实体,性质与规则实体,"堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现",上位包含关系,全文,data_structure.txt,0.788,relation_disambiguation_normalized
非线性结构,is_a,数据结构,结构分类实体,领域实体,常见的数据结构包括线性结构和非线性结构两大类,上位包含关系,全文,data_structure.txt,0.788,relation_disambiguation_normalized
优先队列,implements,队列,具体数据结构实体,具体数据结构实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",实现关系,全文,data_structure.txt,0.786,relation_disambiguation_normalized
数组,is_a,随机访问,具体数据结构实体,算法与操作实体,"数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",上下位关系,全文,data_structure.txt,0.784,relation_disambiguation_normalized
链表,is_a,数据域,具体数据结构实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",上下位关系,全文,data_structure.txt,0.784,relation_disambiguation_normalized
顺序存储结构,is_a,删除,存储与组成相关实体,算法与操作实体,"数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",上下位关系,全文,data_structure.txt,0.784,relation_disambiguation_normalized
哈希函数,used_for,查找,存储与组成相关实体,算法与操作实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",用途关系,全文,data_structure.txt,0.782,relation_disambiguation_normalized
链地址法,is_a,哈希冲突,冲突处理方法实体,存储与组成相关实体,"为了解决哈希冲突,常用的方法包括链地址法和开放寻址法",上位包含关系,全文,data_structure.txt,0.782,relation_disambiguation_normalized
完全二叉树,used_for,优先队列,性质与规则实体,具体数据结构实体,"堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现",用途关系,全文,data_structure.txt,0.776,relation_disambiguation_normalized
广度优先搜索,used_for,建模网络关系,算法与操作实体,应用场景实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.776,relation_disambiguation_normalized
优先队列,used_for,哈希表,具体数据结构实体,具体数据结构实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.774,relation_disambiguation_normalized
指针域,is_a,节点,存储与组成相关实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",上位包含关系,全文,data_structure.txt,0.774,relation_disambiguation_normalized
FIFO,used_for,缓冲区管理,性质与规则实体,应用场景实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",用途关系,全文,data_structure.txt,0.77,relation_disambiguation_normalized
LIFO,used_for,表达式求值,性质与规则实体,应用场景实体,"栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值",用途关系,全文,data_structure.txt,0.77,relation_disambiguation_normalized
先进先出,used_for,任务调度,性质与规则实体,应用场景实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",用途关系,全文,data_structure.txt,0.77,relation_disambiguation_normalized
后进先出,used_for,函数调用,性质与规则实体,应用场景实体,"栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值",用途关系,全文,data_structure.txt,0.77,relation_disambiguation_normalized
数据域,is_a,链式存储结构,存储与组成相关实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",上位包含关系,全文,data_structure.txt,0.768,relation_disambiguation_normalized
数据结构,has_part,非线性结构,领域实体,结构分类实体,常见的数据结构包括线性结构和非线性结构两大类,整体部分关系,全文,data_structure.txt,0.768,relation_disambiguation_normalized
优先队列,used_for,缓存系统,具体数据结构实体,应用场景实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.764,relation_disambiguation_normalized
一对一关系,has_part,数组,性质与规则实体,具体数据结构实体,"线性结构是指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列",整体部分关系,全文,data_structure.txt,0.762,relation_disambiguation_normalized
哈希冲突,has_part,链地址法,存储与组成相关实体,冲突处理方法实体,"为了解决哈希冲突,常用的方法包括链地址法和开放寻址法",整体部分关系,全文,data_structure.txt,0.762,relation_disambiguation_normalized
链表,is_a,指针域,具体数据结构实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",上下位关系,全文,data_structure.txt,0.76,relation_disambiguation_normalized
括号匹配问题,used_for,优先队列,应用场景实体,具体数据结构实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.758,relation_disambiguation_normalized
队列,used_for,优先队列,具体数据结构实体,具体数据结构实体,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",用途关系,全文,data_structure.txt,0.756,relation_disambiguation_normalized
节点,has_part,指针域,存储与组成相关实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",整体部分关系,全文,data_structure.txt,0.754,relation_disambiguation_normalized
开放寻址法,is_a,哈希冲突,冲突处理方法实体,存储与组成相关实体,"为了解决哈希冲突,常用的方法包括链地址法和开放寻址法",上位包含关系,全文,data_structure.txt,0.752,relation_disambiguation_normalized
哈希表,is_a,查找,具体数据结构实体,算法与操作实体,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",上下位关系,全文,data_structure.txt,0.748,relation_disambiguation_normalized
数组,is_a,插入,具体数据结构实体,算法与操作实体,"数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",上下位关系,全文,data_structure.txt,0.748,relation_disambiguation_normalized
链式存储结构,has_part,数据域,存储与组成相关实体,存储与组成相关实体,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",整体部分关系,全文,data_structure.txt,0.748,relation_disambiguation_normalized
队列,is_a,任务调度,具体数据结构实体,应用场景实体,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",上下位关系,全文,data_structure.txt,0.748,relation_disambiguation_normalized
优先队列,is_a,完全二叉树,具体数据结构实体,性质与规则实体,"堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现",上位包含关系,全文,data_structure.txt,0.746,relation_disambiguation_normalized
