main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
TCP,协议实体,45,TCP,cn.txt,TCP,TCP,2 各层常见协议 | 1 TCP 与 UDP 详细区别 | 2 协议选择原则 | 3 基于 TCP/UDP 的应用层协议 | 2.2 获取客户端真实 IP | 1.1 HTTP 各版本演进 | 1.3 HTTP 队头阻塞详解 | 4.1 WebSocket | 6 输入 URL 到页面展示完整流程 | 补充高频面试考点,TCP,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=TCP；章节=2 各层常见协议|1 TCP 与 UDP 详细区别|2 协议选择原则|3 基于 TCP/UDP 的应用层协议|2.2 获取客户端真实 IP|1.1 HTTP 各版本演进|1.3 HTTP 队头阻塞详解|4.1 WebSocket|6 输入 URL 到页面展示完整流程|补充高频面试考点
HTTP,协议实体,39,HTTP,cn.txt,HTTP,HTTP,2 各层常见协议 | 2 协议选择原则 | 3 基于 TCP/UDP 的应用层协议 | 2.2 获取客户端真实 IP | 1.1 HTTP 各版本演进 | 1.2 HTTP 与 HTTPS 区别 | 1.3 HTTP 队头阻塞详解 | 2 HTTP 状态保持机制 | 2.2 URL 重写(Cookie 禁用时备用) | 3.2 GET 与 POST | 4.2 SSE(服务器推送事件) | 6 输入 URL 到页面展示完整流程,HTTP,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=HTTP；章节=2 各层常见协议|2 协议选择原则|3 基于 TCP/UDP 的应用层协议|2.2 获取客户端真实 IP|1.1 HTTP 各版本演进|1.2 HTTP 与 HTTPS 区别|1.3 HTTP 队头阻塞详解|2 HTTP 状态保持机制|2.2 URL 重写(Cookie 禁用时备用)|3.2 GET 与 POST|4.2 SSE(服务器推送事件)|6 输入 URL 到页面展示完整流程
服务器,服务器与网络组件实体,31,服务器,cn.txt,服务器,服务器,4.1 三次握手(建立连接) | 4.2 四次挥手(断开连接) | 1.1 HTTP 各版本演进 | 1.2 HTTP 与 HTTPS 区别 | 1.4 HTTP 状态码分类 | 1.5 HTTP 常见请求头 | 2.1 Cookie+Session(主流) | 2.3 Token/JWT(无状态认证) | 4.2 SSE(服务器推送事件) | 5.2 DNS 服务器层级 | 5.3 DNS 解析流程 | 5.4 DNS 劫持 | 6 输入 URL 到页面展示完整流程,服务器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=服务器；章节=4.1 三次握手(建立连接)|4.2 四次挥手(断开连接)|1.1 HTTP 各版本演进|1.2 HTTP 与 HTTPS 区别|1.4 HTTP 状态码分类|1.5 HTTP 常见请求头|2.1 Cookie+Session(主流)|2.3 Token/JWT(无状态认证)|4.2 SSE(服务器推送事件)|5.2 DNS 服务器层级|5.3 DNS 解析流程|5.4 DNS 劫持|6 输入 URL 到页面展示完整流程
UDP,协议实体,24,UDP,cn.txt,UDP,UDP,2 各层常见协议 | 1 TCP 与 UDP 详细区别 | 2 协议选择原则 | 3 基于 TCP/UDP 的应用层协议 | 1.1 HTTP 各版本演进,UDP,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=UDP；章节=2 各层常见协议|1 TCP 与 UDP 详细区别|2 协议选择原则|3 基于 TCP/UDP 的应用层协议|1.1 HTTP 各版本演进
DNS,协议实体,19,DNS,cn.txt,DNS,DNS,2 各层常见协议 | 3 基于 TCP/UDP 的应用层协议 | 5.2 DNS 服务器层级 | 5.3 DNS 解析流程 | 5.4 DNS 劫持 | 6 输入 URL 到页面展示完整流程 | 补充高频面试考点,DNS,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=DNS；章节=2 各层常见协议|3 基于 TCP/UDP 的应用层协议|5.2 DNS 服务器层级|5.3 DNS 解析流程|5.4 DNS 劫持|6 输入 URL 到页面展示完整流程|补充高频面试考点
应用层,层级结构实体,15,应用层,cn.txt,应用层,应用层,1.1 OSI 七层模型(国际标准化组织制定) | 1.2 TCP/IP 四层模型(实际互联网主流模型) | 2 各层常见协议 | 1 TCP 与 UDP 详细区别 | 2.2 获取客户端真实 IP | 1.1 HTTP 各版本演进 | 1.3 HTTP 队头阻塞详解,应用层,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=应用层；章节=1.1 OSI 七层模型(国际标准化组织制定)|1.2 TCP/IP 四层模型(实际互联网主流模型)|2 各层常见协议|1 TCP 与 UDP 详细区别|2.2 获取客户端真实 IP|1.1 HTTP 各版本演进|1.3 HTTP 队头阻塞详解
客户端,服务器与网络组件实体,14,客户端,cn.txt,客户端,客户端,2 协议选择原则 | 4.1 三次握手(建立连接) | 1.1 HTTP 各版本演进 | 1.4 HTTP 状态码分类 | 1.5 HTTP 常见请求头 | 2.1 Cookie+Session(主流) | 2.3 Token/JWT(无状态认证) | 4.2 SSE(服务器推送事件) | 5.2 DNS 服务器层级,客户端,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=客户端；章节=2 协议选择原则|4.1 三次握手(建立连接)|1.1 HTTP 各版本演进|1.4 HTTP 状态码分类|1.5 HTTP 常见请求头|2.1 Cookie+Session(主流)|2.3 Token/JWT(无状态认证)|4.2 SSE(服务器推送事件)|5.2 DNS 服务器层级
网络层,层级结构实体,14,网络层,cn.txt,网络层,网络层,1.1 OSI 七层模型(国际标准化组织制定) | 1.2 TCP/IP 四层模型(实际互联网主流模型) | 2 各层常见协议 | 2.2 获取客户端真实 IP | 3.2 ARP 地址解析协议,网络层,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=网络层；章节=1.1 OSI 七层模型(国际标准化组织制定)|1.2 TCP/IP 四层模型(实际互联网主流模型)|2 各层常见协议|2.2 获取客户端真实 IP|3.2 ARP 地址解析协议
传输层,层级结构实体,12,传输层,cn.txt,传输层,传输层,1.1 OSI 七层模型(国际标准化组织制定) | 1.2 TCP/IP 四层模型(实际互联网主流模型) | 2 各层常见协议 | 2.2 获取客户端真实 IP | 1.3 HTTP 队头阻塞详解,传输层,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=传输层；章节=1.1 OSI 七层模型(国际标准化组织制定)|1.2 TCP/IP 四层模型(实际互联网主流模型)|2 各层常见协议|2.2 获取客户端真实 IP|1.3 HTTP 队头阻塞详解
HTTPS,协议实体,10,HTTPS,cn.txt,HTTPS,HTTPS,2 各层常见协议 | 2 协议选择原则 | 3 基于 TCP/UDP 的应用层协议 | 1.2 HTTP 与 HTTPS 区别 | 3.2 GET 与 POST | 6 输入 URL 到页面展示完整流程,HTTPS,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=HTTPS；章节=2 各层常见协议|2 协议选择原则|3 基于 TCP/UDP 的应用层协议|1.2 HTTP 与 HTTPS 区别|3.2 GET 与 POST|6 输入 URL 到页面展示完整流程
