input_file,input_row_id,original_head,original_relation,original_tail,canonical_head,canonical_relation,canonical_tail,kept_relation,decision,canonicalization_actions,candidate_relations,winner_score,runner_up_score,score_margin,basis,evidence
java.csv,0,Throwable,is_a,父类,Throwable,is_a,父类,is_a,kept,,is_a,0.8237,,,"is_a: score=0.824, conf=0.862, support=1, cues=上下位","Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)"
java.csv,1,Runnable,implemented_by,Thread,Runnable,implemented_by,Thread,implemented_by,kept,,implemented_by,0.8279,,,"implemented_by: score=0.828, conf=0.846, support=1, cues=实现关系,实现",创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask)
java.csv,2,对象,is_a,实例,对象,is_a,实例,is_a,kept,,is_a,0.8113,,,"is_a: score=0.811, conf=0.842, support=1, cues=上下位","类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例"
java.csv,3,ArrayList,implemented_by,List,ArrayList,implemented_by,List,implemented_by,kept,,implemented_by,0.8402,,,"implemented_by: score=0.840, conf=0.840, support=1, cues=实现关系,实现类,实现","List的实现类:ArrayList(数组结构,查询快增删慢)、LinkedList(链表结构,增删快查询慢)、Vector(线程安全,较少用)"
java.csv,4,Callable,implemented_by,Runnable,Callable,implemented_by,Runnable,implemented_by,kept,,implemented_by,0.8241,,,"implemented_by: score=0.824, conf=0.840, support=1, cues=实现关系,实现",创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask)
java.csv,5,HashMap,implemented_by,Map,HashMap,implemented_by,Map,implemented_by,kept,,implemented_by,0.8402,,,"implemented_by: score=0.840, conf=0.840, support=1, cues=实现关系,实现类,实现","Map的实现类:HashMap(无序,允许null键值)、Hashtable(线程安全,不允许null)、TreeMap(有序)、LinkedHashMap(保持插入顺序)"
java.csv,6,HashSet,implemented_by,Set,HashSet,implemented_by,Set,implemented_by,kept,,implemented_by,0.8126,,,"implemented_by: score=0.813, conf=0.840, support=1, cues=实现关系,实现类,实现,!基于","Set的实现类:HashSet(无序,基于HashMap)、LinkedHashSet(有序)、TreeSet(排序,基于红黑树)"
java.csv,7,接口,is_a,public,接口,is_a,public,is_a,kept,,is_a | has_part,0.8051,0.7577,0.0474,"is_a: score=0.805, conf=0.832, support=1, cues=上下位；has_part: score=0.758, conf=0.762, support=1, cues=枚举结构","接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final"
java.csv,8,Runnable,implemented_by,继承,Runnable,implemented_by,继承,implemented_by,kept,,implemented_by,0.8179,,,"implemented_by: score=0.818, conf=0.830, support=1, cues=实现关系,实现",创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask)
java.csv,9,extends,is_a,单继承,extends,is_a,单继承,is_a,kept,,is_a,0.8014,,,"is_a: score=0.801, conf=0.826, support=1, cues=上下位","继承使用extends关键字,Java是单继承,一个类只能有一个直接父类"
java.csv,10,元注解,used_for,注解,元注解,used_for,注解,used_for,kept,,used_for,0.8050,,,"used_for: score=0.805, conf=0.822, support=1, cues=用途,用于",元注解(用于注解的注解):@Retention、@Target、@Documented、@Inherited
