head,relation,tail,head_type,tail_type,evidence,pattern_name,section_title,source_file,confidence,method
HTTPS,depends_on,SSL/TLS,协议实体,机制与技术实体,"HTTPS 基于 SSL/TLS 加密,防窃听、篡改、冒充",依赖关系,1.2 HTTP 与 HTTPS 区别,cn.txt,0.846,relation_disambiguation_normalized
HTTP/3,depends_on,QUIC,协议实体,协议实体,HTTP/3(基于 QUIC):新一代网页传输,依赖关系,3 基于 TCP/UDP 的应用层协议,cn.txt,0.826,relation_disambiguation_normalized
Proxy Protocol,used_for,TCP,机制与技术实体,协议实体,"传输层:TCP Options 字段、Proxy Protocol,适用于所有 TCP 协议,需双方改造",用途关系,2.2 获取客户端真实 IP,cn.txt,0.818,relation_disambiguation_normalized
DHCP,has_part,客户端,协议实体,服务器与网络组件实体,"DHCP:客户端无 IP,无法建立 TCP 连接,且需广播",枚举结构关系,2 协议选择原则,cn.txt,0.804,relation_disambiguation_normalized
DNS,has_part,域名解析,协议实体,地址与标识实体,"DNS:域名解析(默认 UDP,大包 / 区域传送用 TCP)",枚举结构关系,3 基于 TCP/UDP 的应用层协议,cn.txt,0.804,relation_disambiguation_normalized
HTTP/2,has_part,传输层,协议实体,层级结构实体,"HTTP/2:传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流",枚举结构关系,1.3 HTTP 队头阻塞详解,cn.txt,0.804,relation_disambiguation_normalized
Host,has_part,服务器,报文字段与状态实体,服务器与网络组件实体,Host:服务器域名与端口,枚举结构关系,1.5 HTTP 常见请求头,cn.txt,0.804,relation_disambiguation_normalized
TCP,has_part,可靠传输,协议实体,概念与特性实体,"TCP:可靠传输,通过序列号、确认应答 ACK、超时重传、流量控制、拥塞控制,保证数据无差错、不丢失、不重复、按序到达",枚举结构关系,1 TCP 与 UDP 详细区别,cn.txt,0.804,relation_disambiguation_normalized
TCP,has_part,有状态,协议实体,概念与特性实体,"TCP:有状态,两端需维护连接状态(序列号、窗口大小、已发送 / 已确认数据等)",枚举结构关系,1 TCP 与 UDP 详细区别,cn.txt,0.804,relation_disambiguation_normalized
TCP,has_part,面向字节流,协议实体,报文字段与状态实体,"TCP:面向字节流,将数据视为无结构字节流,可拆分 / 合并数据",枚举结构关系,1 TCP 与 UDP 详细区别,cn.txt,0.804,relation_disambiguation_normalized
