head,relation,tail,head_type,tail_type,confidence,evidence,pattern_names,section_titles,source_files,record_count,source_row_ids,source_relations,conflicting_relations,disambiguation_score,disambiguation_method,disambiguation_basis
FIFO,used_for,任务调度,性质与规则实体,应用场景实体,0.8000,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",用途关系,全文,data_structure.txt,1,31,used_for,,0.8074,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"used_for: score=0.807, conf=0.800, support=1, cues=用途,用于,常用于"
FIFO,used_for,缓冲区管理,性质与规则实体,应用场景实体,0.7700,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",用途关系,全文,data_structure.txt,1,47,used_for,,0.7888,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"used_for: score=0.789, conf=0.770, support=1, cues=用途,用于,常用于"
LIFO,used_for,函数调用,性质与规则实体,应用场景实体,0.8000,"栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值",用途关系,全文,data_structure.txt,1,32,used_for,,0.8074,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"used_for: score=0.807, conf=0.800, support=1, cues=用途,用于,常用于"
LIFO,used_for,表达式求值,性质与规则实体,应用场景实体,0.7700,"栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值",用途关系,全文,data_structure.txt,1,48,used_for,,0.7888,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"used_for: score=0.789, conf=0.770, support=1, cues=用途,用于,常用于"
一对一关系,has_part,数组,性质与规则实体,具体数据结构实体,0.7620,"线性结构是指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列",整体部分关系,全文,data_structure.txt,1,54,has_part,,0.7738,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.774, conf=0.762, support=1, cues=整体部分,包括"
一对一关系,has_part,链表,性质与规则实体,具体数据结构实体,0.7440,"线性结构是指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列",整体部分关系,全文,data_structure.txt,1,67,has_part,,0.7626,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.763, conf=0.744, support=1, cues=整体部分,包括"
一对一关系,has_part,队列,性质与规则实体,具体数据结构实体,0.7140,"线性结构是指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列",整体部分关系,全文,data_structure.txt,1,87,has_part,,0.7440,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.744, conf=0.714, support=1, cues=整体部分,包括"
二叉树,is_a,节点,具体数据结构实体,存储与组成相关实体,0.8080,"二叉树是一种特殊的树结构,每个节点最多有两个子节点",上下位关系,全文,data_structure.txt,1,25,is_a,,0.8063,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.806, conf=0.808, support=1, cues=上下位,是一种"
优先队列,implemented_by,广度优先搜索,具体数据结构实体,算法与操作实体,0.8540,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",实现关系,全文,data_structure.txt,1,4,implemented_by,,0.8052,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"implemented_by: score=0.805, conf=0.854, support=1, cues=实现关系,实现,!用于"
优先队列,implemented_by,队列,具体数据结构实体,具体数据结构实体,0.7860,"例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统",实现关系,全文,data_structure.txt,1,37,implemented_by,,0.7631,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"implemented_by: score=0.763, conf=0.786, support=1, cues=实现关系,实现,!用于"
