head,relation,tail,head_type,tail_type,evidence,pattern_name,section_title,source_file,confidence,method
Throwable,is_a,父类,异常处理实体,数据类型实体,Throwable是顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,上下位关系,异常处理,java.txt,0.862,rule_pattern_sentence_level
Runnable,implemented_by,Thread,线程与并发实体,线程与并发实体,创建线程的方式：继承Thread类、实现Runnable接口、实现Callable接口（配合FutureTask）,实现关系,线程与并发,java.txt,0.846,rule_pattern_sentence_level
对象,is_a,实例,面向对象核心实体,面向对象核心实体,类（Class）和对象（Object）的关系：类是对象的模板，对象是类的实例,上下位关系,面向对象基础,java.txt,0.842,rule_pattern_sentence_level
ArrayList,implemented_by,List,集合框架实体,集合框架实体,List的实现类：ArrayList（数组结构，查询快增删慢）、LinkedList（链表结构，增删快查询慢）、Vector（线程安全，较少用）,实现关系,集合框架,java.txt,0.84,rule_pattern_sentence_level
Callable,implemented_by,Runnable,线程与并发实体,线程与并发实体,创建线程的方式：继承Thread类、实现Runnable接口、实现Callable接口（配合FutureTask）,实现关系,线程与并发,java.txt,0.84,rule_pattern_sentence_level
HashMap,implemented_by,Map,集合框架实体,集合框架实体,Map的实现类：HashMap（无序，允许null键值）、Hashtable（线程安全，不允许null）、TreeMap（有序）、LinkedHashMap（保持插入顺序）,实现关系,集合框架,java.txt,0.84,rule_pattern_sentence_level
HashSet,implemented_by,Set,集合框架实体,集合框架实体,Set的实现类：HashSet（无序，基于HashMap）、LinkedHashSet（有序）、TreeSet（排序，基于红黑树）,实现关系,集合框架,java.txt,0.84,rule_pattern_sentence_level
接口,is_a,public,数据类型实体,关键字与修饰符实体,接口：所有方法默认是public abstract（Java 8后可以有默认方法和静态方法），字段默认是public static final,上下位关系,抽象类与接口,java.txt,0.832,rule_pattern_sentence_level
Runnable,implemented_by,继承,线程与并发实体,面向对象核心实体,创建线程的方式：继承Thread类、实现Runnable接口、实现Callable接口（配合FutureTask）,实现关系,线程与并发,java.txt,0.83,rule_pattern_sentence_level
extends,is_a,单继承,关键字与修饰符实体,面向对象核心实体,继承使用extends关键字，Java是单继承，一个类只能有一个直接父类,上下位关系,继承与多态,java.txt,0.826,rule_pattern_sentence_level
元注解,used_for,注解,领域实体,领域实体,元注解（用于注解的注解）：@Retention、@Target、@Documented、@Inherited,用途关系,注解,java.txt,0.822,rule_pattern_sentence_level
接口,implemented_by,抽象类,数据类型实体,数据类型实体,一个类只能继承一个抽象类，但可以实现多个接口,实现关系,抽象类与接口,java.txt,0.822,rule_pattern_sentence_level
Object,is_a,对象,面向对象核心实体,面向对象核心实体,类（Class）和对象（Object）的关系：类是对象的模板，对象是类的实例,上下位关系,面向对象基础,java.txt,0.818,rule_pattern_sentence_level
String,is_a,immutable,数组与字符串实体,数组与字符串实体,String类是不可变的（immutable），任何修改都会产生新对象,上下位关系,字符串,java.txt,0.818,rule_pattern_sentence_level
HashSet,depends_on,HashMap,集合框架实体,集合框架实体,Set的实现类：HashSet（无序，基于HashMap）、LinkedHashSet（有序）、TreeSet（排序，基于红黑树）,依赖关系,集合框架,java.txt,0.814,rule_pattern_sentence_level
TreeSet,depends_on,红黑树,集合框架实体,集合框架实体,Set的实现类：HashSet（无序，基于HashMap）、LinkedHashSet（有序）、TreeSet（排序，基于红黑树）,依赖关系,集合框架,java.txt,0.814,rule_pattern_sentence_level
多态的表现形式,has_part,父类引用,面向对象核心实体,数据类型实体,多态的表现形式：父类引用指向子类对象、接口引用指向实现类对象,枚举结构关系,继承与多态,java.txt,0.804,rule_pattern_sentence_level
接口,has_part,List,数据类型实体,集合框架实体,Collection接口的子接口：List（有序可重复）、Set（无序不重复）、Queue（队列）,枚举结构关系,集合框架,java.txt,0.804,rule_pattern_sentence_level
接口,has_part,ReentrantLock,数据类型实体,线程与并发实体,Lock接口：ReentrantLock，提供更灵活的锁操作（tryLock、lockInterruptibly等）,枚举结构关系,线程与并发,java.txt,0.804,rule_pattern_sentence_level
数组的创建,has_part,new,数据类型实体,关键字与修饰符实体,"数组的创建：new int[10] 或 {1,2,3}",枚举结构关系,数组,java.txt,0.804,rule_pattern_sentence_level
核心类,has_part,Class,数据类型实体,面向对象核心实体,核心类：Class、Method、Field、Constructor,枚举结构关系,反射,java.txt,0.804,rule_pattern_sentence_level
注解,has_part,@Override,领域实体,注解实体,内置注解：@Override、@Deprecated、@SuppressWarnings、@FunctionalInterface,枚举结构关系,注解,java.txt,0.804,rule_pattern_sentence_level
类加载器,has_part,Bootstrap ClassLoader,数据类型实体,JVM 与内存管理实体,类加载器：Bootstrap ClassLoader、Extension ClassLoader、Application ClassLoader，双亲委派模型,枚举结构关系,JVM基础,java.txt,0.804,rule_pattern_sentence_level
类加载机制,has_part,加载,数据类型实体,JVM 与内存管理实体,类加载机制：加载、验证、准备、解析、初始化,枚举结构关系,JVM基础,java.txt,0.804,rule_pattern_sentence_level
类型擦除,has_part,泛型,数据类型实体,领域实体,类型擦除：泛型信息在编译后被移除，运行时没有泛型,枚举结构关系,泛型,java.txt,0.804,rule_pattern_sentence_level
线程状态,has_part,新建,线程与并发实体,线程状态实体,线程状态：新建、就绪、运行、阻塞、等待、超时等待、终止,枚举结构关系,线程与并发,java.txt,0.804,rule_pattern_sentence_level
Error,is_a,父类,异常处理实体,数据类型实体,Throwable是顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,上位包含关系,异常处理,java.txt,0.8,rule_pattern_sentence_level
Throwable,is_a,Error,异常处理实体,异常处理实体,Throwable是顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,上下位关系,异常处理,java.txt,0.8,rule_pattern_sentence_level
元注解,used_for,@Retention,领域实体,注解实体,元注解（用于注解的注解）：@Retention、@Target、@Documented、@Inherited,用途关系,注解,java.txt,0.8,rule_pattern_sentence_level
