entity,attribute_name,attribute_value,section_title,source_file,evidence,confidence,method,source_relation
StackOverFlowError,特性,JVM,全文,JVM.txt,"栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同",0.892,relation_disambiguation_reclassified,is_a
Throwable,定义,父类,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.892,relation_disambiguation_reclassified,is_a
初始标记阶段,特性,GC Roots,使用ThreadLocal,JVM.txt,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",0.892,relation_disambiguation_reclassified,is_a
String,特性,Extension ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.88,relation_disambiguation_reclassified,is_a
并发标记,特性,GC Roots,使用ThreadLocal,JVM.txt,"并发标记阶段:并发标记阶段是指从GC Roots开始对堆中对象进行可达性分析,找出存活对象",0.88,relation_disambiguation_reclassified,is_a
直接内存,特性,JVM,全文,JVM.txt,"直接内存:不属于 JVM 运行时数据区的一部分,通过 NIO 类引入,是一种堆外内存,可以显著提高 I/O 性能",0.88,relation_disambiguation_reclassified,is_a
对象,定义,实例,面向对象基础,java.txt,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",0.872,relation_disambiguation_reclassified,is_a
接口,修饰符,public,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.862,relation_disambiguation_reclassified,is_a
新生代,特性,CMS,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.862,relation_disambiguation_reclassified,is_a
队列,特性,FIFO,全文,data_structure.txt,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",0.862,relation_disambiguation_reclassified,is_a
extends,继承特性,单继承,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.856,relation_disambiguation_reclassified,is_a
新生代,特性,Serial,使用ThreadLocal,JVM.txt,"ParNew收集器 (复制算法): 新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",0.85,relation_disambiguation_reclassified,is_a
String,特性,immutable,字符串,java.txt,"String类是不可变的(immutable),任何修改都会产生新对象",0.848,relation_disambiguation_reclassified,is_a
ThreadLocalMap,特性,ThreadLocal,使用ThreadLocal,JVM.txt,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",0.842,relation_disambiguation_reclassified,is_a
处理器管理,特性,CPU,操作系统的主要功能,os.txt,处理器管理的核心任务是让 CPU 合理地服务多个程序,0.842,relation_disambiguation_reclassified,is_a
Java 虚拟机,特性,VerifyError,使用ThreadLocal,JVM.txt,"验证(Verification),这是虚拟机安全的重要保障,JVM 需要核验字节信息是符合 Java 虚拟机规范的,否则就被认为是 VerifyError,这样就防止了恶意信息或者不合规的信息危害 JVM 的运行,验证阶段有可能触发更多 class 的加载",0.838,relation_disambiguation_reclassified,is_a
并发标记,特性,STW,使用ThreadLocal,JVM.txt,"并发标记耗时相对长很多,但因为不是STW,所以我们不太关心该阶段耗时的长短",0.832,relation_disambiguation_reclassified,is_a
Error,定义,父类,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.83,relation_disambiguation_reclassified,is_a
Throwable,特性,Error,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.83,relation_disambiguation_reclassified,is_a
内存溢出,特性,JVM,全文,JVM.txt,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",0.83,relation_disambiguation_reclassified,is_a
虚拟机栈,特性,GC Roots,使用ThreadLocal,JVM.txt,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,0.83,relation_disambiguation_reclassified,is_a
URL,特性,URI,3.1 URI 与 URL,cn.txt,"URL:统一资源定位符,是 URI 的子集,既标识又定位资源(指明访问路径)",0.824,relation_disambiguation_reclassified,is_a
Checked Exception,特性,Exception,异常处理,java.txt,"Exception分为:Checked Exception(编译时异常,必须处理)和Unchecked Exception(运行时异常,不强制处理)",0.822,relation_disambiguation_reclassified,is_a
抽象类,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.822,relation_disambiguation_reclassified,has_part
Java,定义,父类,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.82,relation_disambiguation_reclassified,is_a
Java 堆,特性,JVM,全文,JVM.txt,"Java堆(Heap)是Java虚拟机(JVM)中内存管理的一个重要区域,主要用于存放对象实例和数组",0.82,relation_disambiguation_reclassified,is_a
接口,修饰符,abstract,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.82,relation_disambiguation_reclassified,is_a
Minor GC,特性,gc,使用ThreadLocal,JVM.txt,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",0.818,relation_disambiguation_reclassified,is_a
抽象方法,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.818,relation_disambiguation_reclassified,is_a
G1,特性,gc,使用ThreadLocal,JVM.txt,"而G1没有浮动垃圾,G1的筛选回收是多个垃圾回收线程并行gc的,没有浮动垃圾的回收,在执行‘并发清理’步骤时,用户线程也会同时产生一部分可回收对象,但是这部分可回收对象只能在下次执行清理是才会被回收",0.814,relation_disambiguation_reclassified,is_a
复制算法,特性,Serial,使用ThreadLocal,JVM.txt,"ParNew收集器 (复制算法): 新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",0.814,relation_disambiguation_reclassified,is_a
类加载,特性,Bootstrap ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.814,relation_disambiguation_reclassified,is_a
访问控制修饰符,修饰符,private,关键字与修饰符,java.txt,访问控制修饰符:private、default(无修饰符)、protected、public,0.814,relation_disambiguation_reclassified,has_part
幻影引用,特性,PhantomReference,全文,JVM.txt,"虚引用也被称作幻影引用,是最弱的引用关系,可以用PhantomReference来描述,他必须和ReferenceQueue一起使用,同样的当发生GC的时候,虚引用也会被回收",0.812,relation_disambiguation_reclassified,is_a
复制算法,特性,CMS,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.808,relation_disambiguation_reclassified,is_a
操作系统,特性,Windows,操作系统的概念与地位,os.txt,"从课程学习的角度来看,操作系统并不是单纯介绍某一个具体系统,如 Windows、Linux 或 macOS,而是研究“计算机系统如何高效、安全、可靠地运行”的一般规律",0.808,relation_disambiguation_reclassified,is_a
虚拟机栈,特性,JVM,全文,JVM.txt,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",0.806,relation_disambiguation_reclassified,is_a
synchronized,定义,实例,线程与并发,java.txt,"synchronized关键字:修饰实例方法、静态方法、代码块,实现互斥锁",0.804,relation_disambiguation_reclassified,has_part
垃圾回收,特性,System.gc,使用ThreadLocal,JVM.txt,"手动请求:虽然垃圾回收是自动的,开发者可以通过调用 System.gc() 或 Runtime.getRuntime().gc() 建议 JVM 进行垃圾回收",0.8,relation_disambiguation_reclassified,is_a
栈帧,特性,GC Roots,使用ThreadLocal,JVM.txt,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,0.8,relation_disambiguation_reclassified,is_a
浮动垃圾,特性,gc,使用ThreadLocal,JVM.txt,"而G1没有浮动垃圾,G1的筛选回收是多个垃圾回收线程并行gc的,没有浮动垃圾的回收,在执行‘并发清理’步骤时,用户线程也会同时产生一部分可回收对象,但是这部分可回收对象只能在下次执行清理是才会被回收",0.796,relation_disambiguation_reclassified,is_a
标记阶段,特性,G1,使用ThreadLocal,JVM.txt,G1的混合回收过程可以分为标记阶段、清理阶段和复制阶段,0.794,relation_disambiguation_reclassified,is_a
ParNew,特性,G1,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.788,relation_disambiguation_reclassified,is_a
key,特性,value,使用ThreadLocal,JVM.txt,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",0.788,relation_disambiguation_reclassified,is_a
具体方法,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.788,relation_disambiguation_reclassified,is_a
弱引用,特性,WeakReference,全文,JVM.txt,"在Java中,弱引用是通过Java.lang.ref.WeakReference类实现的",0.788,relation_disambiguation_reclassified,is_a
G1,特性,STW,使用ThreadLocal,JVM.txt,"因此,G1停顿时间的瓶颈主要是标记-复制中的转移阶段STW",0.784,relation_disambiguation_reclassified,is_a
Thread,特性,CPU,进程与线程,os.txt,"线程(Thread)则是比进程更轻量的执行单位,通常被称为 CPU 调度的基本单位",0.784,relation_disambiguation_reclassified,is_a
Object,定义,实例,面向对象基础,java.txt,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",0.782,relation_disambiguation_reclassified,is_a
继承,继承特性,单继承,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.782,relation_disambiguation_reclassified,is_a
Error,特性,Throwable,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.78,relation_disambiguation_reclassified,is_a
Java,修饰符,public,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.778,relation_disambiguation_reclassified,is_a
GC Roots,特性,STW,使用ThreadLocal,JVM.txt,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",0.776,relation_disambiguation_reclassified,is_a
extends,定义,父类,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.772,relation_disambiguation_reclassified,is_a
直接内存,特性,NIO,全文,JVM.txt,"直接内存:不属于 JVM 运行时数据区的一部分,通过 NIO 类引入,是一种堆外内存,可以显著提高 I/O 性能",0.772,relation_disambiguation_reclassified,is_a
CMS,特性,Serial,使用ThreadLocal,JVM.txt,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",0.77,relation_disambiguation_reclassified,is_a
虚引用也,特性,PhantomReference,全文,JVM.txt,"虚引用也被称作幻影引用,是最弱的引用关系,可以用PhantomReference来描述,他必须和ReferenceQueue一起使用,同样的当发生GC的时候,虚引用也会被回收",0.77,relation_disambiguation_reclassified,is_a
接口,特性,Java,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.766,relation_disambiguation_reclassified,is_a
新生代,特性,G1,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.766,relation_disambiguation_reclassified,is_a
访问控制修饰符,默认值,default,关键字与修饰符,java.txt,访问控制修饰符:private、default(无修饰符)、protected、public,0.766,relation_disambiguation_reclassified,has_part
元空间,特性,JVM,全文,JVM.txt,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",0.764,relation_disambiguation_reclassified,is_a
清理阶段,特性,G1,使用ThreadLocal,JVM.txt,G1的混合回收过程可以分为标记阶段、清理阶段和复制阶段,0.764,relation_disambiguation_reclassified,is_a
操作系统,特性,Linux,操作系统的概念与地位,os.txt,"从课程学习的角度来看,操作系统并不是单纯介绍某一个具体系统,如 Windows、Linux 或 macOS,而是研究“计算机系统如何高效、安全、可靠地运行”的一般规律",0.76,relation_disambiguation_reclassified,is_a
标记-清除,特性,GC,JVM基础,java.txt,"垃圾回收(GC):主要回收堆内存,算法包括标记-清除、复制、标记-整理、分代收集",0.756,relation_disambiguation_reclassified,is_a
Full GC,特性,Stop The World,使用ThreadLocal,JVM.txt,"特点:Full GC是最昂贵的操作,因为它需要停止所有的工作线程(Stop The World),遍历整个堆内存来查找和回收不再使用的对象,因此应尽量减少Full GC的触发",0.752,relation_disambiguation_reclassified,is_a
ThreadLocalMap,特性,value,使用ThreadLocal,JVM.txt,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",0.746,relation_disambiguation_reclassified,is_a
Young GC,特性,gc,使用ThreadLocal,JVM.txt,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",0.746,relation_disambiguation_reclassified,is_a
实例,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.746,relation_disambiguation_reclassified,is_a
Java 堆,特性,G1,使用ThreadLocal,JVM.txt,"G1(Garbage First)收集器 (标记-整理算法): Java堆并行收集器,G1收集器是JDK1.7提供的一个新收集器,G1收集器基于“标记-整理”算法实现,也就是说不会产生内存碎片",0.742,relation_disambiguation_reclassified,is_a
线程,特性,CPU,进程与线程,os.txt,"线程(Thread)则是比进程更轻量的执行单位,通常被称为 CPU 调度的基本单位",0.742,relation_disambiguation_reclassified,is_a
验证,特性,JVM,使用ThreadLocal,JVM.txt,"验证(Verification),这是虚拟机安全的重要保障,JVM 需要核验字节信息是符合 Java 虚拟机规范的,否则就被认为是 VerifyError,这样就防止了恶意信息或者不合规的信息危害 JVM 的运行,验证阶段有可能触发更多 class 的加载",0.742,relation_disambiguation_reclassified,is_a
ParNew,特性,Serial,使用ThreadLocal,JVM.txt,"ParNew收集器 (复制算法): 新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",0.74,relation_disambiguation_reclassified,is_a
程序计数器,特性,JVM,全文,JVM.txt,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",0.74,relation_disambiguation_reclassified,is_a
老年代,特性,G1,使用ThreadLocal,JVM.txt,"此外,G1收集器不同于之前的收集器的一个重要特点是:G1回收的范围是整个Java堆(包括新生代,老年代),而前六种收集器回收的范围仅限于新生代或老年代",0.74,relation_disambiguation_reclassified,is_a
Java,修饰符,static,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.736,relation_disambiguation_reclassified,is_a
复制阶段,特性,G1,使用ThreadLocal,JVM.txt,G1的混合回收过程可以分为标记阶段、清理阶段和复制阶段,0.734,relation_disambiguation_reclassified,is_a
初始标记阶段,特性,STW,使用ThreadLocal,JVM.txt,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",0.73,relation_disambiguation_reclassified,is_a
CMS,特性,G1,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.728,relation_disambiguation_reclassified,is_a
CMS,特性,ParNew,使用ThreadLocal,JVM.txt,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",0.728,relation_disambiguation_reclassified,is_a
Exception,定义,父类,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.728,relation_disambiguation_reclassified,is_a
Throwable,特性,Exception,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.728,relation_disambiguation_reclassified,is_a
abstract,修饰符,public,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.728,relation_disambiguation_reclassified,is_a
abstract,定义,实例,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.726,relation_disambiguation_reclassified,has_part
加载,特性,Extension ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.724,relation_disambiguation_reclassified,is_a
复制,特性,GC,JVM基础,java.txt,"垃圾回收(GC):主要回收堆内存,算法包括标记-清除、复制、标记-整理、分代收集",0.72,relation_disambiguation_reclassified,is_a
多道程序设计,特性,CPU,操作系统的发展历程,os.txt,"所谓多道程序设计,是指将多个程序同时装入内存,在一个程序因输入输出操作而等待时,CPU 可以切换去执行其他程序,从而减少处理器空闲时间,提高系统吞吐量",0.718,relation_disambiguation_reclassified,is_a
常量,特性,String,全文,JVM.txt,"所以,如果abc这个字符串常量不存在,则创建两个对象,分别是abc这个字符串常量,以及new String这个实例对象",0.718,relation_disambiguation_reclassified,is_a
栈溢出,特性,JVM,全文,JVM.txt,"栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同",0.718,relation_disambiguation_reclassified,is_a
