head,relation,tail,head_type,tail_type,evidence,pattern_name,source_file,confidence,method
HTTPS,depends_on,SSL/TLS,协议实体,机制与技术实体,HTTPS 基于 SSL/TLS 加密，防窃听、篡改、冒充,依赖关系,cn.txt,0.846,rule_pattern_sentence_level
HTTP/3,depends_on,QUIC,协议实体,协议实体,HTTP/3（基于 QUIC）：新一代网页传输,依赖关系,cn.txt,0.826,rule_pattern_sentence_level
Proxy Protocol,used_for,TCP,机制与技术实体,协议实体,传输层：TCP Options 字段、Proxy Protocol，适用于所有 TCP 协议，需双方改造,用途关系,cn.txt,0.818,rule_pattern_sentence_level
HTTPS,depends_on,加密,协议实体,概念与特性实体,HTTPS 基于 SSL/TLS 加密，防窃听、篡改、冒充,依赖关系,cn.txt,0.798,rule_pattern_sentence_level
BGP,used_for,自治系统,协议实体,服务器与网络组件实体,BGP：边界网关协议，用于跨自治系统的路由交换,用途关系,cn.txt,0.794,rule_pattern_sentence_level
URL,is_a,URI,地址与标识实体,地址与标识实体,URL：统一资源定位符，是 URI 的子集，既标识又定位资源（指明访问路径）,上下位关系,cn.txt,0.794,rule_pattern_sentence_level
数据包,implemented_by,路由与寻址,报文字段与状态实体,机制与技术实体,网络层：负责路由与寻址，决定数据在网络中的传输路径，实现跨网络的数据包转发,实现关系,cn.txt,0.764,rule_pattern_sentence_level
X-Forwarded-For,used_for,HTTP,机制与技术实体,协议实体,应用层：X-Forwarded-For 请求头，简单但易伪造，仅适用于 HTTP/SMTP,用途关系,cn.txt,0.758,rule_pattern_sentence_level
公网 IP,implemented_by,私有 IP,地址与标识实体,地址与标识实体,作用：将内网私有 IP映射为公网公有 IP，实现多设备共享一个公网 IP 上网,实现关系,cn.txt,0.75,rule_pattern_sentence_level
加密,is_a,表示层,概念与特性实体,层级结构实体,表示层：负责数据处理，包括编解码、加密解密、压缩解压缩，保证数据能被正确识别,上位包含关系,cn.txt,0.746,rule_pattern_sentence_level
X-Forwarded-For,used_for,SMTP,机制与技术实体,协议实体,应用层：X-Forwarded-For 请求头，简单但易伪造，仅适用于 HTTP/SMTP,用途关系,cn.txt,0.728,rule_pattern_sentence_level
表示层,has_part,加密,层级结构实体,概念与特性实体,表示层：负责数据处理，包括编解码、加密解密、压缩解压缩，保证数据能被正确识别,整体部分关系,cn.txt,0.726,rule_pattern_sentence_level
数据包,implemented_by,网络层,报文字段与状态实体,层级结构实体,网络层：负责路由与寻址，决定数据在网络中的传输路径，实现跨网络的数据包转发,实现关系,cn.txt,0.716,rule_pattern_sentence_level
TCP Options,used_for,TCP,机制与技术实体,协议实体,传输层：TCP Options 字段、Proxy Protocol，适用于所有 TCP 协议，需双方改造,用途关系,cn.txt,0.71,rule_pattern_sentence_level
应用层,used_for,HTTP,层级结构实体,协议实体,应用层：X-Forwarded-For 请求头，简单但易伪造，仅适用于 HTTP/SMTP,用途关系,cn.txt,0.662,rule_pattern_sentence_level
传输层,used_for,TCP,层级结构实体,协议实体,传输层：TCP Options 字段、Proxy Protocol，适用于所有 TCP 协议，需双方改造,用途关系,cn.txt,0.66,rule_pattern_sentence_level
应用层,used_for,SMTP,层级结构实体,协议实体,应用层：X-Forwarded-For 请求头，简单但易伪造，仅适用于 HTTP/SMTP,用途关系,cn.txt,0.66,rule_pattern_sentence_level
布隆过滤器,is_a,空间效率较高,具体数据结构实体,性质与规则实体,布隆过滤器是一种空间效率较高的概率型数据结构，用于判断元素是否存在于集合中，但存在一定的误判率,上下位关系,data_structure.txt,0.862,rule_pattern_sentence_level
数组,is_a,顺序存储结构,具体数据结构实体,存储与组成相关实体,数组是一种顺序存储结构，其特点是支持随机访问，但插入和删除操作效率较低,上下位关系,data_structure.txt,0.862,rule_pattern_sentence_level
链表,is_a,链式存储结构,具体数据结构实体,存储与组成相关实体,链表是一种链式存储结构，每个节点包含数据域和指针域，适合频繁插入和删除的场景,上下位关系,data_structure.txt,0.862,rule_pattern_sentence_level
队列,is_a,先进先出,具体数据结构实体,性质与规则实体,队列是一种先进先出（FIFO）的数据结构，常用于任务调度和缓冲区管理,上下位关系,data_structure.txt,0.862,rule_pattern_sentence_level
优先队列,implemented_by,广度优先搜索,具体数据结构实体,算法与操作实体,例如，栈用于括号匹配问题，队列用于广度优先搜索，堆用于实现优先队列，图用于建模网络关系，哈希表用于缓存系统,实现关系,data_structure.txt,0.854,rule_pattern_sentence_level
哈希表,is_a,哈希函数,具体数据结构实体,存储与组成相关实体,哈希表是一种基于哈希函数的数据结构，用于实现高效的查找操作,上下位关系,data_structure.txt,0.85,rule_pattern_sentence_level
哈希表,used_for,缓存系统,具体数据结构实体,应用场景实体,例如，栈用于括号匹配问题，队列用于广度优先搜索，堆用于实现优先队列，图用于建模网络关系，哈希表用于缓存系统,用途关系,data_structure.txt,0.848,rule_pattern_sentence_level
队列,used_for,广度优先搜索,具体数据结构实体,算法与操作实体,例如，栈用于括号匹配问题，队列用于广度优先搜索，堆用于实现优先队列，图用于建模网络关系，哈希表用于缓存系统,用途关系,data_structure.txt,0.848,rule_pattern_sentence_level
查找,implemented_by,数据结构,算法与操作实体,领域实体,哈希表是一种基于哈希函数的数据结构，用于实现高效的查找操作,实现关系,data_structure.txt,0.842,rule_pattern_sentence_level
哈希表,depends_on,哈希函数,具体数据结构实体,存储与组成相关实体,哈希表是一种基于哈希函数的数据结构，用于实现高效的查找操作,依赖关系,data_structure.txt,0.84,rule_pattern_sentence_level
顺序存储结构,is_a,随机访问,存储与组成相关实体,算法与操作实体,数组是一种顺序存储结构，其特点是支持随机访问，但插入和删除操作效率较低,上下位关系,data_structure.txt,0.838,rule_pattern_sentence_level
优先队列,used_for,建模网络关系,具体数据结构实体,应用场景实体,例如，栈用于括号匹配问题，队列用于广度优先搜索，堆用于实现优先队列，图用于建模网络关系，哈希表用于缓存系统,用途关系,data_structure.txt,0.836,rule_pattern_sentence_level
数据结构,used_for,任务调度,领域实体,应用场景实体,队列是一种先进先出（FIFO）的数据结构，常用于任务调度和缓冲区管理,用途关系,data_structure.txt,0.836,rule_pattern_sentence_level
数据结构,used_for,函数调用,领域实体,应用场景实体,栈是一种后进先出（LIFO）的数据结构，常用于函数调用和表达式求值,用途关系,data_structure.txt,0.836,rule_pattern_sentence_level
队列,is_a,FIFO,具体数据结构实体,性质与规则实体,队列是一种先进先出（FIFO）的数据结构，常用于任务调度和缓冲区管理,上下位关系,data_structure.txt,0.832,rule_pattern_sentence_level
括号匹配问题,used_for,广度优先搜索,应用场景实体,算法与操作实体,例如，栈用于括号匹配问题，队列用于广度优先搜索，堆用于实现优先队列，图用于建模网络关系，哈希表用于缓存系统,用途关系,data_structure.txt,0.83,rule_pattern_sentence_level
广度优先搜索,used_for,优先队列,算法与操作实体,具体数据结构实体,例如，栈用于括号匹配问题，队列用于广度优先搜索，堆用于实现优先队列，图用于建模网络关系，哈希表用于缓存系统,用途关系,data_structure.txt,0.824,rule_pattern_sentence_level
哈希表,is_a,数据结构,具体数据结构实体,领域实体,哈希表是一种基于哈希函数的数据结构，用于实现高效的查找操作,上下位关系,data_structure.txt,0.82,rule_pattern_sentence_level
布隆过滤器,is_a,概率型数据结构,具体数据结构实体,性质与规则实体,布隆过滤器是一种空间效率较高的概率型数据结构，用于判断元素是否存在于集合中，但存在一定的误判率,上下位关系,data_structure.txt,0.82,rule_pattern_sentence_level
线性结构,is_a,一对一关系,结构分类实体,性质与规则实体,线性结构是指数据元素之间存在一对一关系的结构，主要包括数组、链表、栈和队列,上下位关系,data_structure.txt,0.82,rule_pattern_sentence_level
非线性结构,is_a,一对多关系,结构分类实体,性质与规则实体,非线性结构是指数据元素之间存在一对多关系的结构，主要包括树和图,上下位关系,data_structure.txt,0.82,rule_pattern_sentence_level
最小堆,used_for,优先队列,具体数据结构实体,具体数据结构实体,堆是一种特殊的完全二叉树，分为最大堆和最小堆，常用于优先队列的实现,用途关系,data_structure.txt,0.816,rule_pattern_sentence_level
数据结构,used_for,查找,领域实体,算法与操作实体,哈希表是一种基于哈希函数的数据结构，用于实现高效的查找操作,用途关系,data_structure.txt,0.812,rule_pattern_sentence_level
