main_entity,entity_type,mention_count,mentions,source_file
操作系统,领域实体,56,操作系统,os.txt
Operating System,领域实体,1,Operating System,os.txt
OS,领域实体,2,OS,os.txt
计算机系统,领域实体,2,计算机系统,os.txt
系统软件,领域实体,1,系统软件,os.txt
资源管理,领域实体,3,资源管理,os.txt
任务调度,领域实体,1,任务调度,os.txt
调度,处理器与调度实体,26,调度,os.txt
用户接口,领域实体,2,用户接口,os.txt
文件,核心抽象实体,33,文件,os.txt
抽象,核心思想与性质实体,8,抽象,os.txt
Windows,系统与平台实体,1,Windows,os.txt
Linux,系统与平台实体,2,Linux,os.txt
macOS,系统与平台实体,1,macOS,os.txt
进程,核心抽象实体,41,进程,os.txt
进程同步,核心抽象实体,3,进程同步,os.txt
死锁,同步与互斥实体,10,死锁,os.txt
锁,同步与互斥实体,11,锁,os.txt
内存,资源与硬件实体,31,内存,os.txt
分页,资源与硬件实体,7,分页,os.txt
页,资源与硬件实体,21,页,os.txt
磁盘,资源与硬件实体,13,磁盘,os.txt
程序设计,课程与方法相关实体,3,程序设计,os.txt
数据结构,课程与方法相关实体,1,数据结构,os.txt
计算机组成原理,课程与方法相关实体,1,计算机组成原理,os.txt
编译原理,课程与方法相关实体,1,编译原理,os.txt
计算机网络,课程与方法相关实体,1,计算机网络,os.txt
处理器,资源与硬件实体,11,处理器,os.txt
外部设备,资源与硬件实体,3,外部设备,os.txt
网络接口,资源与硬件实体,1,网络接口,os.txt
裸机,核心抽象实体,1,裸机,os.txt
磁盘块,资源与硬件实体,2,磁盘块,os.txt
虚拟内存,核心抽象实体,5,虚拟内存,os.txt
地址空间,核心抽象实体,8,地址空间,os.txt
可移植性,核心思想与性质实体,1,可移植性,os.txt
批处理系统,发展历程实体,2,批处理系统,os.txt
Batch Processing System,发展历程实体,1,Batch Processing System,os.txt
Process,进程与线程实体,3,Process,os.txt
多道程序设计,发展历程实体,2,多道程序设计,os.txt
Multiprogramming,发展历程实体,1,Multiprogramming,os.txt
CPU,资源与硬件实体,10,CPU,os.txt
系统吞吐量,处理器与调度实体,2,系统吞吐量,os.txt
分时系统,发展历程实体,1,分时系统,os.txt
Time-Sharing System,发展历程实体,1,Time-Sharing System,os.txt
时间片,处理器与调度实体,3,时间片,os.txt
个人计算机,系统与平台实体,1,个人计算机,os.txt
单用户多任务操作系统,领域实体,1,单用户多任务操作系统,os.txt
图形界面,发展历程实体,2,图形界面,os.txt
命令行环境,发展历程实体,1,命令行环境,os.txt
网络操作系统,领域实体,1,网络操作系统,os.txt
分布式系统,系统与平台实体,1,分布式系统,os.txt
移动操作系统,领域实体,1,移动操作系统,os.txt
嵌入式操作系统,领域实体,1,嵌入式操作系统,os.txt
云计算平台,系统与平台实体,1,云计算平台,os.txt
服务器,系统与平台实体,2,服务器,os.txt
手机,系统与平台实体,1,手机,os.txt
路由器,系统与平台实体,1,路由器,os.txt
工业控制设备,系统与平台实体,1,工业控制设备,os.txt
智能家居,系统与平台实体,1,智能家居,os.txt
虚拟化平台,系统与平台实体,1,虚拟化平台,os.txt
进程调度,核心抽象实体,4,进程调度,os.txt
存储管理,功能模块实体,3,存储管理,os.txt
文件系统,核心抽象实体,13,文件系统,os.txt
处理器管理,资源与硬件实体,2,处理器管理,os.txt
设备管理,功能模块实体,5,设备管理,os.txt
文件管理,核心抽象实体,3,文件管理,os.txt
安全保护,功能模块实体,1,安全保护,os.txt
保护,安全与保护实体,7,保护,os.txt
网络通信,功能模块实体,1,网络通信,os.txt
系统调用,领域实体,5,系统调用,os.txt
作业调度,处理器与调度实体,1,作业调度,os.txt
线程,核心抽象实体,9,线程,os.txt
线程调度,核心抽象实体,1,线程调度,os.txt
中断,处理器与调度实体,9,中断,os.txt
上下文切换,处理器与调度实体,1,上下文切换,os.txt
地址映射,内存管理实体,2,地址映射,os.txt
物理内存,资源与硬件实体,2,物理内存,os.txt
键盘,资源与硬件实体,2,键盘,os.txt
显示器,资源与硬件实体,1,显示器,os.txt
打印机,资源与硬件实体,1,打印机,os.txt
网卡,资源与硬件实体,1,网卡,os.txt
驱动程序,设备管理与I/O实体,4,驱动程序,os.txt
缓冲,设备管理与I/O实体,6,缓冲,os.txt
缓冲区,经典同步问题实体,4,缓冲区,os.txt
缓存,设备管理与I/O实体,3,缓存,os.txt
目录,核心抽象实体,8,目录,os.txt
