entity,attribute_name,attribute_value,section_title,source_file,evidence,confidence,method,source_relation
StackOverFlowError,特性,JVM,全文,JVM.txt,"栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同",0.892,relation_disambiguation_reclassified,is_a
Throwable,定义,父类,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.892,relation_disambiguation_reclassified,is_a
初始标记阶段,特性,GC Roots,使用ThreadLocal,JVM.txt,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",0.892,relation_disambiguation_reclassified,is_a
String,特性,Extension ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.88,relation_disambiguation_reclassified,is_a
并发标记,特性,GC Roots,使用ThreadLocal,JVM.txt,"并发标记阶段:并发标记阶段是指从GC Roots开始对堆中对象进行可达性分析,找出存活对象",0.88,relation_disambiguation_reclassified,is_a
直接内存,特性,JVM,全文,JVM.txt,"直接内存:不属于 JVM 运行时数据区的一部分,通过 NIO 类引入,是一种堆外内存,可以显著提高 I/O 性能",0.88,relation_disambiguation_reclassified,is_a
对象,定义,实例,面向对象基础,java.txt,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",0.872,relation_disambiguation_reclassified,is_a
接口,修饰符,public,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.862,relation_disambiguation_reclassified,is_a
新生代,特性,CMS,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.862,relation_disambiguation_reclassified,is_a
队列,特性,FIFO,全文,data_structure.txt,"队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理",0.862,relation_disambiguation_reclassified,is_a
弱引用,用途,"创建非强制性的对象引用,这些引用可以在内存压力大时被垃圾回收器清理,从而避免内存泄露",全文,JVM.txt,"弱引用的一个主要用途是创建非强制性的对象引用,这些引用可以在内存压力大时被垃圾回收器清理,从而避免内存泄露",0.86,attribute_extraction_usage_pattern,
extends,继承特性,单继承,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.856,relation_disambiguation_reclassified,is_a
G1,特性,"引入分区的思路,弱化了分代的概念",使用ThreadLocal,JVM.txt,"G1最大的特点是引入分区的思路,弱化了分代的概念",0.85,attribute_extraction_feature_sentence_pattern,
Java 堆,用途,存放对象实例和数组,全文,JVM.txt,"Java堆(Heap)是Java虚拟机(JVM)中内存管理的一个重要区域,主要用于存放对象实例和数组",0.85,attribute_extraction_usage_pattern,
新生代,特性,Serial,使用ThreadLocal,JVM.txt,"ParNew收集器 (复制算法): 新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",0.85,relation_disambiguation_reclassified,is_a
新生代,用途,"存放生命周期较短的对象,并且其内存空间相对较小",全文,JVM.txt,"新生代主要用于存放生命周期较短的对象,并且其内存空间相对较小",0.85,attribute_extraction_usage_pattern,
String,特性,immutable,字符串,java.txt,"String类是不可变的(immutable),任何修改都会产生新对象",0.848,relation_disambiguation_reclassified,is_a
ThreadLocalMap,特性,ThreadLocal,使用ThreadLocal,JVM.txt,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",0.842,relation_disambiguation_reclassified,is_a
处理器管理,特性,CPU,操作系统的主要功能,os.txt,处理器管理的核心任务是让 CPU 合理地服务多个程序,0.842,relation_disambiguation_reclassified,is_a
Java 虚拟机,特性,VerifyError,使用ThreadLocal,JVM.txt,"验证(Verification),这是虚拟机安全的重要保障,JVM 需要核验字节信息是符合 Java 虚拟机规范的,否则就被认为是 VerifyError,这样就防止了恶意信息或者不合规的信息危害 JVM 的运行,验证阶段有可能触发更多 class 的加载",0.838,relation_disambiguation_reclassified,is_a
并发标记,特性,STW,使用ThreadLocal,JVM.txt,"并发标记耗时相对长很多,但因为不是STW,所以我们不太关心该阶段耗时的长短",0.832,relation_disambiguation_reclassified,is_a
Error,定义,父类,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.83,relation_disambiguation_reclassified,is_a
Serial,特性,简单高效,使用ThreadLocal,JVM.txt,"Serial收集器(复制算法): 新生代单线程收集器,标记和清理都是单线程,优点是简单高效;",0.83,attribute_extraction_feature_sentence_pattern,
ThreadLocalMap,用途,"引用它,那么系统GC时,这个ThreadLocal势必会被回收,这样",使用ThreadLocal,JVM.txt,"ThreadLocalMap使用ThreadLocal的弱引用作为key,如果一个ThreadLocal没有外部强引用来引用它,那么系统GC时,这个ThreadLocal势必会被回收,这样一来,ThreadLocalMap中就会出现key为null的Entry,就没有办法访问这些key为null的Entry的value",0.83,attribute_extraction_usage_pattern,
Throwable,特性,Error,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.83,relation_disambiguation_reclassified,is_a
使用,用途,"维护缓存,可以让JVM在需要更多内存时自动清理这些缓存对象",全文,JVM.txt,"使用弱引用来维护缓存,可以让JVM在需要更多内存时自动清理这些缓存对象",0.83,attribute_extraction_usage_pattern,
内存溢出,特性,JVM,全文,JVM.txt,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",0.83,relation_disambiguation_reclassified,is_a
对象池,用途,管理那些暂时不使用的对象,全文,JVM.txt,"对象池:在对象池中,弱引用可以用来管理那些暂时不使用的对象",0.83,attribute_extraction_usage_pattern,
自定义类加载器,用途,"扩展Java应用程序的灵活性和安全性,是Java动态性的一个重要体现",使用ThreadLocal,JVM.txt,"自定义类加载器可以用来扩展Java应用程序的灵活性和安全性,是Java动态性的一个重要体现",0.83,attribute_extraction_usage_pattern,
虚拟机栈,特性,GC Roots,使用ThreadLocal,JVM.txt,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,0.83,relation_disambiguation_reclassified,is_a
URL,特性,URI,3.1 URI 与 URL,cn.txt,"URL:统一资源定位符,是 URI 的子集,既标识又定位资源(指明访问路径)",0.824,relation_disambiguation_reclassified,is_a
Checked Exception,特性,Exception,异常处理,java.txt,"Exception分为:Checked Exception(编译时异常,必须处理)和Unchecked Exception(运行时异常,不强制处理)",0.822,relation_disambiguation_reclassified,is_a
抽象类,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.822,relation_disambiguation_reclassified,has_part
BGP,属性,"边界网关协议,用于跨自治系统的路由交换",5 常见路由协议,cn.txt,"BGP:边界网关协议,用于跨自治系统的路由交换",0.82,attribute_extraction_colon_pattern,
COMMIT,属性,提交事务,事务控制语句,mysql.txt,- COMMIT:提交事务,0.82,attribute_extraction_colon_pattern,
Cache-Control,属性,缓存控制(no-cache、max-age,1.5 HTTP 常见请求头,cn.txt,Cache-Control:缓存控制(no-cache、max-age),0.82,attribute_extraction_colon_pattern,
Collections,功能类型,提供排序、查找、同步化等静态方法,集合框架,java.txt,Collections工具类:提供排序、查找、同步化等静态方法,0.82,attribute_extraction_colon_pattern,
Concurrent Mark Sweep,收集器(标记-清除算法,"老年代并行收集器,以获取最短回收停顿时间为目标的收集器,具有高并发、低停顿的特点,追求最短GC回收停顿时间",使用ThreadLocal,JVM.txt,"CMS(Concurrent Mark Sweep)收集器(标记-清除算法): 老年代并行收集器,以获取最短回收停顿时间为目标的收集器,具有高并发、低停顿的特点,追求最短GC回收停顿时间",0.82,attribute_extraction_colon_pattern,
Connection,属性,连接方式(keep-alive/close,1.5 HTTP 常见请求头,cn.txt,Connection:连接方式(keep-alive/close),0.82,attribute_extraction_colon_pattern,
Content-Type,属性,请求体格式(application/json、form-data 等,1.5 HTTP 常见请求头,cn.txt,Content-Type:请求体格式(application/json、form-data 等),0.82,attribute_extraction_colon_pattern,
Cookie,属性,携带客户端 Cookie,1.5 HTTP 常见请求头,cn.txt,Cookie:携带客户端 Cookie,0.82,attribute_extraction_colon_pattern,
DHCP,属性,动态分配 IP,3 基于 TCP/UDP 的应用层协议,cn.txt,DHCP:动态分配 IP,0.82,attribute_extraction_colon_pattern,
FTP,、SFTP,文件传输,3 基于 TCP/UDP 的应用层协议,cn.txt,FTP、SFTP:文件传输,0.82,attribute_extraction_colon_pattern,
HTTP,/1.x、HTTP/2、HTTPS,网页传输,3 基于 TCP/UDP 的应用层协议,cn.txt,HTTP/1.x、HTTP/2、HTTPS:网页传输,0.82,attribute_extraction_colon_pattern,
HTTP/1.1,属性,"应用层阻塞,单连接串行请求,前一个请求未完成,后续全部阻塞",1.3 HTTP 队头阻塞详解,cn.txt,"HTTP/1.1:应用层阻塞,单连接串行请求,前一个请求未完成,后续全部阻塞",0.82,attribute_extraction_colon_pattern,
HTTP/2,属性,"传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流",1.3 HTTP 队头阻塞详解,cn.txt,"HTTP/2:传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流",0.82,attribute_extraction_colon_pattern,
HTTP/3,基于 QUIC,新一代网页传输,3 基于 TCP/UDP 的应用层协议,cn.txt,HTTP/3(基于 QUIC):新一代网页传输,0.82,attribute_extraction_colon_pattern,
HTTP/3,属性,"QUIC 彻底解决流间阻塞,仅阻塞丢包的单个流",1.3 HTTP 队头阻塞详解,cn.txt,"HTTP/3:QUIC 彻底解决流间阻塞,仅阻塞丢包的单个流",0.82,attribute_extraction_colon_pattern,
Host,头,不支持虚拟主机,1.1 HTTP 各版本演进,cn.txt,无 Host 头:不支持虚拟主机,0.82,attribute_extraction_colon_pattern,
Host,属性,服务器域名与端口,1.5 HTTP 常见请求头,cn.txt,Host:服务器域名与端口,0.82,attribute_extraction_colon_pattern,
ICMPv6,属性,优化邻居发现、路径 MTU 发现,1.2 IPv4 与 IPv6 详细对比,cn.txt,ICMPv6:优化邻居发现、路径 MTU 发现,0.82,attribute_extraction_colon_pattern,
IPv4,属性,"32 位,约 42 亿个地址,已耗尽",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv4:32 位,约 42 亿个地址,已耗尽",0.82,attribute_extraction_colon_pattern,
IPv4,属性,"点分十进制,如 192.168.1.1",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv4:点分十进制,如 192.168.1.1",0.82,attribute_extraction_colon_pattern,
IPv6,属性,"128 位,地址空间近乎无限",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv6:128 位,地址空间近乎无限",0.82,attribute_extraction_colon_pattern,
IPv6,属性,"冒分十六进制,可省略前导零,如 2001:db8::1",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv6:冒分十六进制,可省略前导零,如 2001:db8::1",0.82,attribute_extraction_colon_pattern,
IoT 传感器上报,属性,少量数据丢失不影响整体趋势,2 协议选择原则,cn.txt,IoT 传感器上报:少量数据丢失不影响整体趋势,0.82,attribute_extraction_colon_pattern,
Java,定义,父类,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.82,relation_disambiguation_reclassified,is_a
Java 堆,特性,JVM,全文,JVM.txt,"Java堆(Heap)是Java虚拟机(JVM)中内存管理的一个重要区域,主要用于存放对象实例和数组",0.82,relation_disambiguation_reclassified,is_a
Keep-Alive,属性,"默认开启,复用 TCP 连接",1.1 HTTP 各版本演进,cn.txt,"长连接(Keep-Alive):默认开启,复用 TCP 连接",0.82,attribute_extraction_colon_pattern,
Map,接口类型,"存储键值对,键不重复,值可重复",集合框架,java.txt,"Map接口:存储键值对,键不重复,值可重复",0.82,attribute_extraction_colon_pattern,
Metaspace,属性,"从Java 8开始,永久代(Permanent Generation)被元空间取代,用于存储类的元数据信息,如类的结构信息(如字段、方法信息等",全文,JVM.txt,"元空间(Metaspace):从Java 8开始,永久代(Permanent Generation)被元空间取代,用于存储类的元数据信息,如类的结构信息(如字段、方法信息等)",0.82,attribute_extraction_colon_pattern,
NAT,属性,"地址充足,每个设备可分配公网 IP",1.2 IPv4 与 IPv6 详细对比,cn.txt,"无需 NAT:地址充足,每个设备可分配公网 IP",0.82,attribute_extraction_colon_pattern,
NAT,类型,静态 NAT、动态 NAT、端口映射 NAT(PAT,补充高频面试考点,cn.txt,NAT 类型:静态 NAT、动态 NAT、端口映射 NAT(PAT),0.82,attribute_extraction_colon_pattern,
NTP,属性,时间同步,3 基于 TCP/UDP 的应用层协议,cn.txt,NTP:时间同步,0.82,attribute_extraction_colon_pattern,
OSPF,属性,"内部网关协议,链路状态算法,按带宽/延迟选最优路径",5 常见路由协议,cn.txt,"OSPF:内部网关协议,链路状态算法,按带宽 / 延迟选最优路径",0.82,attribute_extraction_colon_pattern,
Parallel Old,收集器(标记-整理算法,"老年代并行收集器,吞吐量优先,Parallel Scavenge收集器的老年代版本",使用ThreadLocal,JVM.txt,"Parallel Old收集器 (标记-整理算法): 老年代并行收集器,吞吐量优先,Parallel Scavenge收集器的老年代版本;",0.82,attribute_extraction_colon_pattern,
Parallel Scavenge,收集器(复制算法,"新生代并行收集器,追求高吞吐量,高效利用 CPU",使用ThreadLocal,JVM.txt,"Parallel Scavenge收集器 (复制算法): 新生代并行收集器,追求高吞吐量,高效利用 CPU",0.82,attribute_extraction_colon_pattern,
RIP,属性,"内部网关协议,距离向量算法,按跳数选路径",5 常见路由协议,cn.txt,"RIP:内部网关协议,距离向量算法,按跳数选路径",0.82,attribute_extraction_colon_pattern,
ROLLBACK,属性,回滚事务,事务控制语句,mysql.txt,- ROLLBACK:回滚事务,0.82,attribute_extraction_colon_pattern,
RTCP,属性,实时音视频,3 基于 TCP/UDP 的应用层协议,cn.txt,RTP/RTCP:实时音视频,0.82,attribute_extraction_colon_pattern,
RTP,/RTCP,实时音视频,3 基于 TCP/UDP 的应用层协议,cn.txt,RTP/RTCP:实时音视频,0.82,attribute_extraction_colon_pattern,
SAVEPOINT,属性,设置保存点,事务控制语句,mysql.txt,- SAVEPOINT:设置保存点,0.82,attribute_extraction_colon_pattern,
SMTP,、POP3、IMAP,邮件收发,3 基于 TCP/UDP 的应用层协议,cn.txt,SMTP、POP3、IMAP:邮件收发,0.82,attribute_extraction_colon_pattern,
SNMP,属性,网络管理,3 基于 TCP/UDP 的应用层协议,cn.txt,SNMP:网络管理,0.82,attribute_extraction_colon_pattern,
START TRANSACTION,属性,开启事务,事务控制语句,mysql.txt,- START TRANSACTION:开启事务,0.82,attribute_extraction_colon_pattern,
Serial,收集器(复制算法,"新生代单线程收集器,标记和清理都是单线程,优点是简单高效",使用ThreadLocal,JVM.txt,"Serial收集器(复制算法): 新生代单线程收集器,标记和清理都是单线程,优点是简单高效;",0.82,attribute_extraction_colon_pattern,
Session,存储,内存(简单)、数据库(持久)、Redis(分布式主流,2.1 Cookie+Session(主流,cn.txt,Session 存储:内存(简单)、数据库(持久)、Redis(分布式主流),0.82,attribute_extraction_colon_pattern,
SessionID,"拼接在 URL 后,如http",//xxx?sessionid=xxx,2.2 URL 重写(Cookie 禁用时备用,cn.txt,"将 SessionID 拼接在 URL 后,如http://xxx?sessionid=xxx",0.82,attribute_extraction_colon_pattern,
TCP,属性,"有状态,两端需维护连接状态(序列号、窗口大小、已发送/已确认数据等",1 TCP 与 UDP 详细区别,cn.txt,"TCP:有状态,两端需维护连接状态(序列号、窗口大小、已发送 / 已确认数据等)",0.82,attribute_extraction_colon_pattern,
TCP,属性,"开销大、效率低,需建立连接、确认、重传等操作",1 TCP 与 UDP 详细区别,cn.txt,"TCP:开销大、效率低,需建立连接、确认、重传等操作",0.82,attribute_extraction_colon_pattern,
TCP,属性,"面向字节流,将数据视为无结构字节流,可拆分/合并数据",1 TCP 与 UDP 详细区别,cn.txt,"TCP:面向字节流,将数据视为无结构字节流,可拆分 / 合并数据",0.82,attribute_extraction_colon_pattern,
TCP,属性,"头部最小20 字节,带选项最大60 字节",1 TCP 与 UDP 详细区别,cn.txt,"TCP:头部最小20 字节,带选项最大60 字节",0.82,attribute_extraction_colon_pattern,
TCP,属性,仅支持点对点单播,1 TCP 与 UDP 详细区别,cn.txt,TCP:仅支持点对点单播,0.82,attribute_extraction_colon_pattern,
TCP,属性,要求数据绝对完整、准确的场景,1 TCP 与 UDP 详细区别,cn.txt,TCP:要求数据绝对完整、准确的场景,0.82,attribute_extraction_colon_pattern,
TLS1.3,属性,"全程加密,安全性更高",1.1 HTTP 各版本演进,cn.txt,"内置 TLS1.3:全程加密,安全性更高",0.82,attribute_extraction_colon_pattern,
Telnet,、SSH,远程登录,3 基于 TCP/UDP 的应用层协议,cn.txt,Telnet、SSH:远程登录,0.82,attribute_extraction_colon_pattern,
UDP,属性,"无连接,发送数据前无需建立连接,直接发送数据报",1 TCP 与 UDP 详细区别,cn.txt,"UDP:无连接,发送数据前无需建立连接,直接发送数据报",0.82,attribute_extraction_colon_pattern,
UDP,属性,"不可靠传输,仅尽力交付,不保证数据到达、顺序,无自动重传与确认机制",1 TCP 与 UDP 详细区别,cn.txt,"UDP:不可靠传输,仅尽力交付,不保证数据到达、顺序,无自动重传与确认机制",0.82,attribute_extraction_colon_pattern,
UDP,属性,"无状态,不维护任何连接信息,开销极小",1 TCP 与 UDP 详细区别,cn.txt,"UDP:无状态,不维护任何连接信息,开销极小",0.82,attribute_extraction_colon_pattern,
UDP,属性,结构简单、开销小、传输速度快,1 TCP 与 UDP 详细区别,cn.txt,UDP:结构简单、开销小、传输速度快,0.82,attribute_extraction_colon_pattern,
UDP,属性,"头部固定8 字节,极简",1 TCP 与 UDP 详细区别,cn.txt,"UDP:头部固定8 字节,极简",0.82,attribute_extraction_colon_pattern,
