input_file,input_row_id,original_head,original_relation,original_tail,canonical_head,canonical_relation,canonical_tail,kept_relation,decision,canonicalization_actions,candidate_relations,winner_score,runner_up_score,score_margin,basis,evidence
data_structure.csv,0,布隆过滤器,is_a,空间效率较高,布隆过滤器,is_a,空间效率较高,is_a,kept,,is_a,0.8122,,,"is_a: score=0.812, conf=0.862, support=1, cues=上下位,是一种,!用于","布隆过滤器是一种空间效率较高的概率型数据结构,用于判断元素是否存在于集合中,但存在一定的误判率"
data_structure.csv,1,数组,is_a,顺序存储结构,数组,is_a,顺序存储结构,is_a,kept,,is_a,0.8398,,,"is_a: score=0.840, conf=0.862, support=1, cues=上下位,是一种","数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低"
data_structure.csv,2,链表,is_a,链式存储结构,链表,is_a,链式存储结构,is_a,kept,,is_a,0.8122,,,"is_a: score=0.812, conf=0.862, support=1, cues=上下位,是一种,!包含","链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景"
data_structure.csv,3,队列,is_a,先进先出,队列,is_a,先进先出,is_a,kept,,is_a,0.8122,,,"is_a: score=0.812, conf=0.862, support=1, cues=上下位,是一种,!用于","队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理"
data_structure.csv,4,优先队列,implemented_by,广度优先搜索,优先队列,implemented_by,广度优先搜索,implemented_by,kept,,implemented_by,0.8052,,,"implemented_by: score=0.805, conf=0.854, support=1, cues=实现关系,实现,!用于","例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统"
data_structure.csv,5,哈希表,is_a,哈希函数,哈希表,is_a,哈希函数,depends_on,relation_conflict_resolved,,depends_on | is_a,0.7905,0.7771,0.0134,"depends_on: score=0.791, conf=0.840, support=1, cues=依赖,基于,!用于；is_a: score=0.777, conf=0.850, support=1, cues=上下位,是一种,!用于,!基于；low_margin=0.013","哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作"
data_structure.csv,6,哈希表,used_for,缓存系统,哈希表,used_for,缓存系统,used_for,kept,,used_for,0.8211,,,"used_for: score=0.821, conf=0.848, support=1, cues=用途,用于","例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统"
data_structure.csv,7,队列,used_for,广度优先搜索,队列,used_for,广度优先搜索,used_for,kept,,used_for,0.8211,,,"used_for: score=0.821, conf=0.848, support=1, cues=用途,用于","例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统"
data_structure.csv,8,查找,implemented_by,数据结构,查找,implemented_by,数据结构,implemented_by,kept,,implemented_by,0.7702,,,"implemented_by: score=0.770, conf=0.842, support=1, cues=实现关系,实现,!用于,!基于","哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作"
data_structure.csv,9,哈希表,depends_on,哈希函数,哈希表,depends_on,哈希函数,depends_on,kept,,depends_on | is_a,0.7905,0.7771,0.0134,"depends_on: score=0.791, conf=0.840, support=1, cues=依赖,基于,!用于；is_a: score=0.777, conf=0.850, support=1, cues=上下位,是一种,!用于,!基于；low_margin=0.013","哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作"
data_structure.csv,10,顺序存储结构,is_a,随机访问,顺序存储结构,is_a,随机访问,is_a,kept,,is_a,0.8249,,,"is_a: score=0.825, conf=0.838, support=1, cues=上下位,是一种","数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低"
data_structure.csv,11,优先队列,used_for,建模网络关系,优先队列,used_for,建模网络关系,used_for,kept,,used_for,0.8137,,,"used_for: score=0.814, conf=0.836, support=1, cues=用途,用于","例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统"
data_structure.csv,12,数据结构,used_for,任务调度,数据结构,used_for,任务调度,used_for,kept,,used_for,0.8298,,,"used_for: score=0.830, conf=0.836, support=1, cues=用途,用于,常用于","队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理"
data_structure.csv,13,数据结构,used_for,函数调用,数据结构,used_for,函数调用,used_for,kept,,used_for,0.8298,,,"used_for: score=0.830, conf=0.836, support=1, cues=用途,用于,常用于","栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值"
data_structure.csv,14,队列,is_a,FIFO,队列,is_a,FIFO,is_a,kept,,is_a,0.7936,,,"is_a: score=0.794, conf=0.832, support=1, cues=上下位,是一种,!用于","队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理"
data_structure.csv,15,括号匹配问题,used_for,广度优先搜索,括号匹配问题,used_for,广度优先搜索,used_for,kept,,used_for,0.8099,,,"used_for: score=0.810, conf=0.830, support=1, cues=用途,用于","例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统"
data_structure.csv,16,广度优先搜索,used_for,优先队列,广度优先搜索,used_for,优先队列,used_for,kept,,used_for,0.8062,,,"used_for: score=0.806, conf=0.824, support=1, cues=用途,用于","例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统"
data_structure.csv,17,哈希表,is_a,数据结构,哈希表,is_a,数据结构,depends_on,relation_conflict_resolved,,depends_on | is_a,0.7719,0.7585,0.0134,"depends_on: score=0.772, conf=0.810, support=1, cues=依赖,基于,!用于；is_a: score=0.759, conf=0.820, support=1, cues=上下位,是一种,!用于,!基于；low_margin=0.013","哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作"
data_structure.csv,18,布隆过滤器,is_a,概率型数据结构,布隆过滤器,is_a,概率型数据结构,is_a,kept,,is_a,0.7861,,,"is_a: score=0.786, conf=0.820, support=1, cues=上下位,是一种,!用于","布隆过滤器是一种空间效率较高的概率型数据结构,用于判断元素是否存在于集合中,但存在一定的误判率"
data_structure.csv,19,线性结构,is_a,一对一关系,线性结构,is_a,一对一关系,is_a,kept,,is_a,0.7700,,,"is_a: score=0.770, conf=0.820, support=1, cues=上下位,!包括","线性结构是指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列"
data_structure.csv,20,非线性结构,is_a,一对多关系,非线性结构,is_a,一对多关系,is_a,kept,,is_a,0.7700,,,"is_a: score=0.770, conf=0.820, support=1, cues=上下位,!包括","非线性结构是指数据元素之间存在一对多关系的结构,主要包括树和图"
data_structure.csv,21,最小堆,used_for,优先队列,最小堆,used_for,优先队列,used_for,kept,,used_for,0.8174,,,"used_for: score=0.817, conf=0.816, support=1, cues=用途,用于,常用于","堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现"
data_structure.csv,22,数据结构,used_for,查找,数据结构,used_for,查找,used_for,kept,,used_for,0.7712,,,"used_for: score=0.771, conf=0.812, support=1, cues=用途,用于,!基于","哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作"
data_structure.csv,23,最大堆,is_a,完全二叉树,最大堆,is_a,完全二叉树,is_a,kept,,is_a,0.7375,,,"is_a: score=0.737, conf=0.812, support=1, cues=是一种,!用于,!包含","堆是一种特殊的完全二叉树,分为最大堆和最小堆,常用于优先队列的实现"
data_structure.csv,24,哈希表,depends_on,数据结构,哈希表,depends_on,数据结构,depends_on,kept,,depends_on | is_a,0.7719,0.7585,0.0134,"depends_on: score=0.772, conf=0.810, support=1, cues=依赖,基于,!用于；is_a: score=0.759, conf=0.820, support=1, cues=上下位,是一种,!用于,!基于；low_margin=0.013","哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作"
data_structure.csv,25,二叉树,is_a,节点,二叉树,is_a,节点,is_a,kept,,is_a,0.8063,,,"is_a: score=0.806, conf=0.808, support=1, cues=上下位,是一种","二叉树是一种特殊的树结构,每个节点最多有两个子节点"
data_structure.csv,26,链表,is_a,节点,链表,is_a,节点,is_a,kept,,is_a,0.7787,,,"is_a: score=0.779, conf=0.808, support=1, cues=上下位,是一种,!包含","链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景"
data_structure.csv,27,数据结构,used_for,缓冲区管理,数据结构,used_for,缓冲区管理,used_for,kept,,used_for,0.8112,,,"used_for: score=0.811, conf=0.806, support=1, cues=用途,用于,常用于","队列是一种先进先出(FIFO)的数据结构,常用于任务调度和缓冲区管理"
data_structure.csv,28,数据结构,used_for,表达式求值,数据结构,used_for,表达式求值,used_for,kept,,used_for,0.8112,,,"used_for: score=0.811, conf=0.806, support=1, cues=用途,用于,常用于","栈是一种后进先出(LIFO)的数据结构,常用于函数调用和表达式求值"
data_structure.csv,29,建模网络关系,used_for,缓存系统,建模网络关系,used_for,缓存系统,used_for,kept,,used_for,0.7938,,,"used_for: score=0.794, conf=0.804, support=1, cues=用途,用于","例如,栈用于括号匹配问题,队列用于广度优先搜索,堆用于实现优先队列,图用于建模网络关系,哈希表用于缓存系统"
data_structure.csv,30,顺序存储结构,is_a,插入,顺序存储结构,is_a,插入,is_a,kept,,is_a,0.8026,,,"is_a: score=0.803, conf=0.802, support=1, cues=上下位,是一种","数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低"
