input_file,input_row_id,original_head,original_relation,original_tail,canonical_head,canonical_relation,canonical_tail,kept_relation,decision,canonicalization_actions,candidate_relations,winner_score,runner_up_score,score_margin,basis,evidence
mysql.csv,0,逻辑备份,has_part,mysqldump,逻辑备份,has_part,mysqldump,has_part,kept,,has_part,0.7837,,,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构","- 逻辑备份:mysqldump工具导出SQL语句,适合小数据量"
mysql.csv,1,Durability,has_part,事务,Durability,has_part,事务,has_part,kept,,has_part,0.7800,,,"has_part: score=0.780, conf=0.798, support=1, cues=枚举结构","- 持久性(Durability):事务提交后,数据永久保存到数据库,不可回滚"
mysql.csv,2,幻读,has_part,事务,幻读,has_part,事务,has_part,kept,,has_part,0.7487,,,"has_part: score=0.749, conf=0.792, support=1, cues=枚举结构,!导致","- 幻读:一个事务批量操作数据时,另一个事务插入新数据,导致出现未处理的新数据"
mysql.csv,3,从库,has_part,IO线程,从库,has_part,IO线程,has_part,kept,,has_part,0.7713,,,"has_part: score=0.771, conf=0.784, support=1, cues=枚举结构","- 从库:IO线程读取主库binlog,写入relay log"
mysql.csv,4,主库,has_part,binlog,主库,has_part,binlog,has_part,kept,,has_part,0.7639,,,"has_part: score=0.764, conf=0.772, support=1, cues=枚举结构","- 主库:开启binlog二进制日志,记录所有数据修改操作"
mysql.csv,5,READ COMMITTED,has_part,脏读,READ COMMITTED,has_part,脏读,has_part,kept,,has_part,0.7602,,,"has_part: score=0.760, conf=0.766, support=1, cues=枚举结构","- 读已提交(READ COMMITTED):解决脏读,会出现不可重复读、幻读(Oracle默认级别)"
mysql.csv,6,REPEATABLE READ,has_part,脏读,REPEATABLE READ,has_part,脏读,has_part,kept,,has_part,0.7602,,,"has_part: score=0.760, conf=0.766, support=1, cues=枚举结构","- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)"
mysql.csv,7,REPEATABLE READ,has_part,不可重复读,REPEATABLE READ,has_part,不可重复读,has_part,kept,,has_part,0.7490,,,"has_part: score=0.749, conf=0.748, support=1, cues=枚举结构","- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)"
mysql.csv,8,从库,has_part,主库,从库,has_part,主库,has_part,kept,,has_part,0.7490,,,"has_part: score=0.749, conf=0.748, support=1, cues=枚举结构","- 从库:IO线程读取主库binlog,写入relay log"
mysql.csv,9,主库,has_part,二进制日志,主库,has_part,二进制日志,has_part,kept,,has_part,0.7416,,,"has_part: score=0.742, conf=0.736, support=1, cues=枚举结构","- 主库:开启binlog二进制日志,记录所有数据修改操作"
mysql.csv,10,从库,has_part,binlog,从库,has_part,binlog,has_part,kept,,has_part,0.7416,,,"has_part: score=0.742, conf=0.736, support=1, cues=枚举结构","- 从库:IO线程读取主库binlog,写入relay log"
mysql.csv,11,READ COMMITTED,has_part,不可重复读,READ COMMITTED,has_part,不可重复读,has_part,kept,,has_part,0.7378,,,"has_part: score=0.738, conf=0.730, support=1, cues=枚举结构","- 读已提交(READ COMMITTED):解决脏读,会出现不可重复读、幻读(Oracle默认级别)"
mysql.csv,12,READ UNCOMMITTED,has_part,脏读,READ UNCOMMITTED,has_part,脏读,has_part,kept,,has_part,0.7378,,,"has_part: score=0.738, conf=0.730, support=1, cues=枚举结构","- 读未提交(READ UNCOMMITTED):最低级别,会出现脏读、不可重复读、幻读"
mysql.csv,13,逻辑备份,has_part,SQL,逻辑备份,has_part,SQL,has_part,kept,,has_part,0.7354,,,"has_part: score=0.735, conf=0.726, support=1, cues=枚举结构","- 逻辑备份:mysqldump工具导出SQL语句,适合小数据量"
mysql.csv,14,Durability,has_part,数据库,Durability,has_part,数据库,has_part,kept,,has_part,0.7316,,,"has_part: score=0.732, conf=0.720, support=1, cues=枚举结构","- 持久性(Durability):事务提交后,数据永久保存到数据库,不可回滚"
mysql.csv,15,READ UNCOMMITTED,has_part,不可重复读,READ UNCOMMITTED,has_part,不可重复读,has_part,kept,,has_part,0.7267,,,"has_part: score=0.727, conf=0.712, support=1, cues=枚举结构","- 读未提交(READ UNCOMMITTED):最低级别,会出现脏读、不可重复读、幻读"
mysql.csv,16,READ COMMITTED,has_part,幻读,READ COMMITTED,has_part,幻读,has_part,kept,,has_part,0.7155,,,"has_part: score=0.716, conf=0.694, support=1, cues=枚举结构","- 读已提交(READ COMMITTED):解决脏读,会出现不可重复读、幻读(Oracle默认级别)"
mysql.csv,17,REPEATABLE READ,has_part,MySQL,REPEATABLE READ,has_part,MySQL,has_part,kept,,has_part,0.7130,,,"has_part: score=0.713, conf=0.690, support=1, cues=枚举结构","- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)"
mysql.csv,18,REPEATABLE READ,has_part,幻读,REPEATABLE READ,has_part,幻读,has_part,kept,,has_part,0.7118,,,"has_part: score=0.712, conf=0.688, support=1, cues=枚举结构","- 可重复读(REPEATABLE READ):解决脏读、不可重复读,部分解决幻读(MySQL默认级别)"
mysql.csv,19,从库,has_part,relay log,从库,has_part,relay log,has_part,kept,,has_part,0.7081,,,"has_part: score=0.708, conf=0.682, support=1, cues=枚举结构","- 从库:IO线程读取主库binlog,写入relay log"
mysql.csv,20,READ UNCOMMITTED,has_part,幻读,READ UNCOMMITTED,has_part,幻读,has_part,kept,,has_part,0.7044,,,"has_part: score=0.704, conf=0.676, support=1, cues=枚举结构","- 读未提交(READ UNCOMMITTED):最低级别,会出现脏读、不可重复读、幻读"
