entity,attribute_name,attribute_value,section_title,source_file,evidence,confidence,method,source_relation
Throwable,定义,父类,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.892,relation_disambiguation_reclassified,is_a
对象,定义,实例,面向对象基础,java.txt,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",0.872,relation_disambiguation_reclassified,is_a
接口,修饰符,public,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.862,relation_disambiguation_reclassified,is_a
extends,继承特性,单继承,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.856,relation_disambiguation_reclassified,is_a
String,特性,immutable,字符串,java.txt,"String类是不可变的(immutable),任何修改都会产生新对象",0.848,relation_disambiguation_reclassified,is_a
Error,定义,父类,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.83,relation_disambiguation_reclassified,is_a
Throwable,特性,Error,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.83,relation_disambiguation_reclassified,is_a
Checked Exception,特性,Exception,异常处理,java.txt,"Exception分为:Checked Exception(编译时异常,必须处理)和Unchecked Exception(运行时异常,不强制处理)",0.822,relation_disambiguation_reclassified,is_a
抽象类,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.822,relation_disambiguation_reclassified,has_part
Collections,工具类,提供排序、查找、同步化等静态方法,集合框架,java.txt,Collections工具类:提供排序、查找、同步化等静态方法,0.82,attribute_extraction_colon_pattern,
Java,定义,父类,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.82,relation_disambiguation_reclassified,is_a
Map,接口,"存储键值对,键不重复,值可重复",集合框架,java.txt,"Map接口:存储键值对,键不重复,值可重复",0.82,attribute_extraction_colon_pattern,
多维数组,属性,int[][] matrix,数组,java.txt,多维数组:int[][] matrix,0.82,attribute_extraction_colon_pattern,
接口,修饰符,abstract,抽象类与接口,java.txt,"接口:所有方法默认是public abstract(Java 8后可以有默认方法和静态方法),字段默认是public static final",0.82,relation_disambiguation_reclassified,is_a
接口,属性,"存储键值对,键不重复,值可重复",集合框架,java.txt,"Map接口:存储键值对,键不重复,值可重复",0.82,attribute_extraction_colon_pattern,
数组的创建,属性,"new int[10] 或 {1,2,3",数组,java.txt,"数组的创建:new int[10] 或 {1,2,3}",0.82,attribute_extraction_colon_pattern,
方法重载,Overloading,"同一类中方法名相同,参数列表不同",面向对象基础,java.txt,"方法重载(Overloading):同一类中方法名相同,参数列表不同",0.82,attribute_extraction_colon_pattern,
条件分支,属性,if-else、switch-case,流程控制,java.txt,条件分支:if-else、switch-case,0.82,attribute_extraction_colon_pattern,
泛型方法,属性,public <T> T getValue(T t){,泛型,java.txt,泛型方法:public <T> T getValue(T t) { ... },0.82,attribute_extraction_colon_pattern,
泛型类,属性,class Box<T> {,泛型,java.txt,泛型类:class Box<T> { ... },0.82,attribute_extraction_colon_pattern,
类型擦除,属性,"泛型信息在编译后被移除,运行时没有泛型",泛型,java.txt,"类型擦除:泛型信息在编译后被移除,运行时没有泛型",0.82,attribute_extraction_colon_pattern,
抽象方法,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.818,relation_disambiguation_reclassified,is_a
访问控制修饰符,修饰符,private,关键字与修饰符,java.txt,访问控制修饰符:private、default(无修饰符)、protected、public,0.814,relation_disambiguation_reclassified,has_part
synchronized,定义,实例,线程与并发,java.txt,"synchronized关键字:修饰实例方法、静态方法、代码块,实现互斥锁",0.804,relation_disambiguation_reclassified,has_part
具体方法,修饰符,abstract,抽象类与接口,java.txt,"抽象类:使用abstract修饰,可以包含抽象方法和具体方法,不能实例化",0.788,relation_disambiguation_reclassified,is_a
Object,定义,实例,面向对象基础,java.txt,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",0.782,relation_disambiguation_reclassified,is_a
继承,继承特性,单继承,继承与多态,java.txt,"继承使用extends关键字,Java是单继承,一个类只能有一个直接父类",0.782,relation_disambiguation_reclassified,is_a
Collection,特性,有序,集合框架,java.txt,Collection接口的子接口:List(有序可重复)、Set(无序不重复)、Queue(队列),0.78,attribute_extraction_feature_pattern,
Collection,特性,无序,集合框架,java.txt,Collection接口的子接口:List(有序可重复)、Set(无序不重复)、Queue(队列),0.78,attribute_extraction_feature_pattern,
Collection,特性,可重复,集合框架,java.txt,Collection接口的子接口:List(有序可重复)、Set(无序不重复)、Queue(队列),0.78,attribute_extraction_feature_pattern,
Collection,特性,不重复,集合框架,java.txt,Collection接口的子接口:List(有序可重复)、Set(无序不重复)、Queue(队列),0.78,attribute_extraction_feature_pattern,
Error,特性,Throwable,异常处理,java.txt,"Throwable是顶级父类,下面分为Error(严重错误,不可处理)和Exception(可处理)",0.78,relation_disambiguation_reclassified,is_a
HashMap,特性,线程安全,集合框架,java.txt,"Map的实现类:HashMap(无序,允许null键值)、Hashtable(线程安全,不允许null)、TreeMap(有序)、LinkedHashMap(保持插入顺序)",0.78,attribute_extraction_feature_pattern,
HashMap,特性,有序,集合框架,java.txt,"Map的实现类:HashMap(无序,允许null键值)、Hashtable(线程安全,不允许null)、TreeMap(有序)、LinkedHashMap(保持插入顺序)",0.78,attribute_extraction_feature_pattern,
HashMap,特性,无序,集合框架,java.txt,"Map的实现类:HashMap(无序,允许null键值)、Hashtable(线程安全,不允许null)、TreeMap(有序)、LinkedHashMap(保持插入顺序)",0.78,attribute_extraction_feature_pattern,
HashSet,特性,有序,集合框架,java.txt,"Set的实现类:HashSet(无序,基于HashMap)、LinkedHashSet(有序)、TreeSet(排序,基于红黑树)",0.78,attribute_extraction_feature_pattern,
HashSet,特性,无序,集合框架,java.txt,"Set的实现类:HashSet(无序,基于HashMap)、LinkedHashSet(有序)、TreeSet(排序,基于红黑树)",0.78,attribute_extraction_feature_pattern,
