main_entity,entity_type,mention_count,mentions,source_file
数据结构,领域实体,8,数据结构,data_structure.txt
计算机科学,领域实体,1,计算机科学,data_structure.txt
线性结构,结构分类实体,5,线性结构,data_structure.txt
非线性结构,结构分类实体,3,非线性结构,data_structure.txt
一对一关系,性质与规则实体,1,一对一关系,data_structure.txt
数组,具体数据结构实体,4,数组,data_structure.txt
链表,具体数据结构实体,3,链表,data_structure.txt
栈,具体数据结构实体,4,栈,data_structure.txt
队列,具体数据结构实体,6,队列,data_structure.txt
顺序存储结构,存储与组成相关实体,1,顺序存储结构,data_structure.txt
随机访问,算法与操作实体,1,随机访问,data_structure.txt
插入,算法与操作实体,5,插入,data_structure.txt
删除,算法与操作实体,5,删除,data_structure.txt
链式存储结构,存储与组成相关实体,1,链式存储结构,data_structure.txt
节点,存储与组成相关实体,9,节点,data_structure.txt
数据域,存储与组成相关实体,1,数据域,data_structure.txt
指针域,存储与组成相关实体,1,指针域,data_structure.txt
后进先出,性质与规则实体,1,后进先出,data_structure.txt
LIFO,性质与规则实体,1,LIFO,data_structure.txt
函数调用,应用场景实体,1,函数调用,data_structure.txt
表达式求值,应用场景实体,1,表达式求值,data_structure.txt
先进先出,性质与规则实体,1,先进先出,data_structure.txt
FIFO,性质与规则实体,1,FIFO,data_structure.txt
任务调度,应用场景实体,1,任务调度,data_structure.txt
缓冲区管理,应用场景实体,1,缓冲区管理,data_structure.txt
一对多关系,性质与规则实体,1,一对多关系,data_structure.txt
树,具体数据结构实体,13,树,data_structure.txt
图,具体数据结构实体,8,图,data_structure.txt
二叉树,具体数据结构实体,4,二叉树,data_structure.txt
二叉搜索树,具体数据结构实体,1,二叉搜索树,data_structure.txt
左子树所有节点小于根节点,性质与规则实体,1,左子树所有节点小于根节点,data_structure.txt
右子树所有节点大于根节点,性质与规则实体,1,右子树所有节点大于根节点,data_structure.txt
平衡二叉树,具体数据结构实体,2,平衡二叉树,data_structure.txt
AVL树,具体数据结构实体,1,AVL树,data_structure.txt
旋转操作,算法与操作实体,1,旋转操作,data_structure.txt
高度平衡,性质与规则实体,1,高度平衡,data_structure.txt
堆,具体数据结构实体,4,堆,data_structure.txt
完全二叉树,性质与规则实体,1,完全二叉树,data_structure.txt
最大堆,具体数据结构实体,1,最大堆,data_structure.txt
最小堆,具体数据结构实体,1,最小堆,data_structure.txt
优先队列,具体数据结构实体,2,优先队列,data_structure.txt
顶点,存储与组成相关实体,1,顶点,data_structure.txt
边,存储与组成相关实体,1,边,data_structure.txt
有向图,具体数据结构实体,1,有向图,data_structure.txt
无向图,具体数据结构实体,1,无向图,data_structure.txt
邻接矩阵,存储与组成相关实体,1,邻接矩阵,data_structure.txt
邻接表,存储与组成相关实体,1,邻接表,data_structure.txt
深度优先搜索,算法与操作实体,1,深度优先搜索,data_structure.txt
DFS,算法与操作实体,1,DFS,data_structure.txt
广度优先搜索,算法与操作实体,3,广度优先搜索,data_structure.txt
BFS,算法与操作实体,1,BFS,data_structure.txt
最短路径算法,算法与操作实体,1,最短路径算法,data_structure.txt
Dijkstra算法,算法与操作实体,1,Dijkstra算法,data_structure.txt
哈希表,具体数据结构实体,4,哈希表,data_structure.txt
哈希函数,存储与组成相关实体,1,哈希函数,data_structure.txt
查找,算法与操作实体,5,查找,data_structure.txt
数组索引,存储与组成相关实体,1,数组索引,data_structure.txt
哈希冲突,存储与组成相关实体,1,哈希冲突,data_structure.txt
链地址法,冲突处理方法实体,1,链地址法,data_structure.txt
开放寻址法,冲突处理方法实体,1,开放寻址法,data_structure.txt
布隆过滤器,具体数据结构实体,1,布隆过滤器,data_structure.txt
空间效率较高,性质与规则实体,1,空间效率较高,data_structure.txt
概率型数据结构,性质与规则实体,1,概率型数据结构,data_structure.txt
误判率,性质与规则实体,1,误判率,data_structure.txt
时间复杂度,复杂度实体,3,时间复杂度,data_structure.txt
空间复杂度,复杂度实体,1,空间复杂度,data_structure.txt
括号匹配问题,应用场景实体,1,括号匹配问题,data_structure.txt
建模网络关系,应用场景实体,1,建模网络关系,data_structure.txt
缓存系统,应用场景实体,1,缓存系统,data_structure.txt
