main_entity,property_name,merged_values,value_count,evidence,source_file,domain,confidence,disambiguation_method
互斥,概念定义,指在某一时刻只允许一个进程进入临界区访问共享资源,2,互斥是指在某一时刻只允许一个进程进入临界区访问共享资源,os.txt,os,0.92,基于 Jaccard Token Overlap 的贪心融合
内存泄漏,概念定义,指程序在运行过程中不再使用的对象仍然被引用，而无法被垃圾收集器回收，从而导致可用内存逐渐减少,2,内存泄露：内存泄漏是指程序在运行过程中不再使用的对象仍然被引用，而无法被垃圾收集器回收，从而导致可用内存逐渐减少,JVM.txt,JVM,0.92,基于 Jaccard Token Overlap 的贪心融合
内存溢出,概念定义,指Java虚拟机（JVM）在申请内存时，无法找到足够的内存，最终引发OutOfMemoryError,2,内存溢出：内存溢出是指Java虚拟机（JVM）在申请内存时，无法找到足够的内存，最终引发OutOfMemoryError,JVM.txt,JVM,0.92,基于 Jaccard Token Overlap 的贪心融合
初始标记阶段,概念定义,指从GC Roots出发标记全部直接子节点的过程，该阶段是STW的,2,初始标记阶段：初始标记阶段是指从GC Roots出发标记全部直接子节点的过程，该阶段是STW的,JVM.txt,JVM,0.92,基于 Jaccard Token Overlap 的贪心融合
大对象,概念定义,指需要大量连续内存空间的对象，如大数组,2,大对象是指需要大量连续内存空间的对象，如大数组,JVM.txt,JVM,0.92,基于 Jaccard Token Overlap 的贪心融合
线性结构,概念定义,指数据元素之间存在一对一关系的结构，主要包括数组、链表、栈和队列,2,线性结构是指数据元素之间存在一对一关系的结构，主要包括数组、链表、栈和队列,data_structure.txt,data_structure,0.92,基于 Jaccard Token Overlap 的贪心融合
非线性结构,概念定义,指数据元素之间存在一对多关系的结构，主要包括树和图,2,非线性结构是指数据元素之间存在一对多关系的结构，主要包括树和图,data_structure.txt,data_structure,0.92,基于 Jaccard Token Overlap 的贪心融合
GC,概念定义,最昂贵的操作，因为它需要停止所有的工作线程（Stop The World），遍历整个堆内存来查找和回收不再使用的对象，因此应尽量减少Full GC的触发,1,特点：Full GC是最昂贵的操作，因为它需要停止所有的工作线程（Stop The World），遍历整个堆内存来查找和回收不再使用的对象，因此应尽量减少Full GC的触发,JVM.txt,JVM,0.92,直接保留单值
Java,概念定义,单继承，一个类只能有一个直接父类,1,继承使用extends关键字，Java是单继承，一个类只能有一个直接父类,java.txt,java,0.92,直接保留单值
MySQL,概念定义,一款开源的关系型数据库管理系统(RDBMS)，使用SQL作为查询语言，支持多线程、高并发，是Java后端开发最常用的数据库,1,1. MySQL是一款开源的关系型数据库管理系统(RDBMS)，使用SQL作为查询语言，支持多线程、高并发，是Java后端开发最常用的数据库,mysql.txt,mysql,0.92,直接保留单值
ParNew,概念定义,CMS默认的新生代垃圾回收器）和G1垃圾回收器中,1,标记-复制算法应用在CMS新生代（ParNew是CMS默认的新生代垃圾回收器）和G1垃圾回收器中,JVM.txt,JVM,0.92,直接保留单值
Throwable,概念定义,顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,1,Throwable是顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,java.txt,java,0.92,直接保留单值
char,概念定义,固定长度字符串，查询效率高，会自动补空格,1,7. char与varchar区别：char是固定长度字符串，查询效率高，会自动补空格,mysql.txt,mysql,0.92,直接保留单值
key,概念定义,ThreadLocal实例本身，value是真正需要存储的Object,1,ThreadLocal的实现中，每个Thread维护一个ThreadLocalMap映射表，key是ThreadLocal实例本身，value是真正需要存储的Object,JVM.txt,JVM,0.92,直接保留单值
utf8mb4,概念定义,MySQL推荐字符集，支持存储emoji表情，替代utf8,1,9. 字符集：utf8mb4是MySQL推荐字符集，支持存储emoji表情，替代utf8,mysql.txt,mysql,0.92,直接保留单值
varchar,概念定义,可变长度字符串，节省存储空间，效率略低,1,varchar是可变长度字符串，节省存储空间，效率略低,mysql.txt,mysql,0.92,直接保留单值
事务,概念定义,最小单位，不可分割,1,- 原子性(Atomicity)：事务是最小单位，不可分割,mysql.txt,mysql,0.92,直接保留单值
二叉树,概念定义,一种特殊的树结构，每个节点最多有两个子节点,1,二叉树是一种特殊的树结构，每个节点最多有两个子节点,data_structure.txt,data_structure,0.92,直接保留单值
内核,概念定义,最核心的部分，负责进程调度、内存管理、中断处理、设备控制等关键操作,1,内核是最核心的部分，负责进程调度、内存管理、中断处理、设备控制等关键操作,os.txt,os,0.92,直接保留单值
分代收集,概念定义,将内存划分成了新生代和老年代,1,分代回收算法：分代收集是将内存划分成了新生代和老年代,JVM.txt,JVM,0.92,直接保留单值
初始化,概念定义,整个类加载过程的最后一个阶段，初始化阶段简单来说就是执行类的构造器方法（() ），要注意的是这里的构造器方法()并不是开发者写的，而是编译器自动生成的,1,初始化：初始化是整个类加载过程的最后一个阶段，初始化阶段简单来说就是执行类的构造器方法（() ），要注意的是这里的构造器方法()并不是开发者写的，而是编译器自动生成的,JVM.txt,JVM,0.92,直接保留单值
加载阶段,概念定义,用户参与的阶段，我们可以自定义类加载器，去实现自己的类加载过程,1,加载阶段是用户参与的阶段，我们可以自定义类加载器，去实现自己的类加载过程,JVM.txt,JVM,0.92,直接保留单值
哈希表,概念定义,一种基于哈希函数的数据结构，用于实现高效的查找操作,1,哈希表是一种基于哈希函数的数据结构，用于实现高效的查找操作,data_structure.txt,data_structure,0.92,直接保留单值
对象,概念定义,类的实例,1,类（Class）和对象（Object）的关系：类是对象的模板，对象是类的实例,java.txt,java,0.92,直接保留单值
布隆过滤器,概念定义,一种空间效率较高的概率型数据结构，用于判断元素是否存在于集合中，但存在一定的误判率,1,布隆过滤器是一种空间效率较高的概率型数据结构，用于判断元素是否存在于集合中，但存在一定的误判率,data_structure.txt,data_structure,0.92,直接保留单值
弱引用,概念定义,通过Java.lang.ref.WeakReference类实现的,1,在Java中，弱引用是通过Java.lang.ref.WeakReference类实现的,JVM.txt,JVM,0.92,直接保留单值
弱引用,用途作用,实现缓存，特别是当希望缓存项能够在内存压力下自动释放时,1,缓存系统：弱引用常用于实现缓存，特别是当希望缓存项能够在内存压力下自动释放时,JVM.txt,JVM,0.85,直接保留单值
操作系统,概念定义,“看得见”的使用环境，例如窗口、文件夹、任务栏、终端等,1,对于普通用户而言，操作系统是“看得见”的使用环境，例如窗口、文件夹、任务栏、终端等,os.txt,os,0.92,直接保留单值
数据结构,概念定义,计算机科学中的基础领域，主要研究数据的组织、存储和操作方式,1,数据结构是计算机科学中的基础领域，主要研究数据的组织、存储和操作方式,data_structure.txt,data_structure,0.92,直接保留单值
数据结构,用途作用,不同场景,1,在实际应用中，数据结构常用于不同场景,data_structure.txt,data_structure,0.85,直接保留单值
数组,概念定义,一种顺序存储结构，其特点是支持随机访问，但插入和删除操作效率较低,1,数组是一种顺序存储结构，其特点是支持随机访问，但插入和删除操作效率较低,data_structure.txt,data_structure,0.92,直接保留单值
数组,概念定义,引用类型，长度固定，存储同一类型的数据,1,数组是引用类型，长度固定，存储同一类型的数据,java.txt,java,0.92,直接保留单值
文件系统,概念定义,用户感知最直接的操作系统功能之一,1,文件系统是用户感知最直接的操作系统功能之一,os.txt,os,0.92,直接保留单值
新生代,用途作用,存放生命周期较短的对象，并且其内存空间相对较小,1,新生代主要用于存放生命周期较短的对象，并且其内存空间相对较小,JVM.txt,JVM,0.85,直接保留单值
方法区,概念定义,用于存储类信息、常量、静态变量等数据的区域,1,方法区（Method Area）： 方法区是用于存储类信息、常量、静态变量等数据的区域,JVM.txt,JVM,0.92,直接保留单值
符号引用,概念定义,以一组符号来描述所引用的目标，符号可以是任何形式的字面量，只要使用的时候可以无歧义地定位到目标即可,1,符号引用是以一组符号来描述所引用的目标，符号可以是任何形式的字面量，只要使用的时候可以无歧义地定位到目标即可,JVM.txt,JVM,0.92,直接保留单值
系统调用,概念定义,用户态与内核态交互的主要桥梁，也是课程中的关键知识点,1,系统调用是用户态与内核态交互的主要桥梁，也是课程中的关键知识点,os.txt,os,0.92,直接保留单值
索引,概念定义,帮助MySQL高效获取数据的**排好序的数据结构**，核心作用是提升查询效率，降低数据库IO成本,1,1. 索引是帮助MySQL高效获取数据的**排好序的数据结构**，核心作用是提升查询效率，降低数据库IO成本,mysql.txt,mysql,0.92,直接保留单值
调度,概念定义,操作系统实现“多任务并发”的核心机制,1,调度是操作系统实现“多任务并发”的核心机制,os.txt,os,0.92,直接保留单值
转移阶段,概念定义,STW的，其中内存分配通常耗时非常短，但对象成员变量的复制耗时有可能较长，这是因为复制耗时与存活对象数量与对象复杂度成正比,1,转移阶段是STW的，其中内存分配通常耗时非常短，但对象成员变量的复制耗时有可能较长，这是因为复制耗时与存活对象数量与对象复杂度成正比,JVM.txt,JVM,0.92,直接保留单值
进程,概念定义,程序的一次执行过程，是系统进行资源分配和调度的基本单位,1,简单来说，进程是程序的一次执行过程，是系统进行资源分配和调度的基本单位,os.txt,os,0.92,直接保留单值
链表,概念定义,一种链式存储结构，每个节点包含数据域和指针域，适合频繁插入和删除的场景,1,链表是一种链式存储结构，每个节点包含数据域和指针域，适合频繁插入和删除的场景,data_structure.txt,data_structure,0.92,直接保留单值
队列,概念定义,一种先进先出（FIFO）的数据结构，常用于任务调度和缓冲区管理,1,队列是一种先进先出（FIFO）的数据结构，常用于任务调度和缓冲区管理,data_structure.txt,data_structure,0.92,直接保留单值
驱动程序,概念定义,连接操作系统与具体硬件的桥梁，它把操作系统的通用 I/O 请求转换为特定设备可识别的控制命令,1,驱动程序是连接操作系统与具体硬件的桥梁，它把操作系统的通用 I/O 请求转换为特定设备可识别的控制命令,os.txt,os,0.92,直接保留单值
