entity,property_name,property_value,evidence,pattern_name,confidence,domain,source_file
数据结构,概念定义,计算机科学中的基础领域，主要研究数据的组织、存储和操作方式,数据结构是计算机科学中的基础领域，主要研究数据的组织、存储和操作方式,是,0.92,data_structure,data_structure.txt
线性结构,概念定义,数据元素之间存在一对一关系的结构，主要包括数组、链表、栈和队列,线性结构是指数据元素之间存在一对一关系的结构，主要包括数组、链表、栈和队列,是指,0.92,data_structure,data_structure.txt
线性结构,概念定义,指数据元素之间存在一对一关系的结构，主要包括数组、链表、栈和队列,线性结构是指数据元素之间存在一对一关系的结构，主要包括数组、链表、栈和队列,是,0.92,data_structure,data_structure.txt
数组,概念定义,一种顺序存储结构，其特点是支持随机访问，但插入和删除操作效率较低,数组是一种顺序存储结构，其特点是支持随机访问，但插入和删除操作效率较低,是,0.92,data_structure,data_structure.txt
链表,概念定义,一种链式存储结构，每个节点包含数据域和指针域，适合频繁插入和删除的场景,链表是一种链式存储结构，每个节点包含数据域和指针域，适合频繁插入和删除的场景,是,0.92,data_structure,data_structure.txt
队列,概念定义,一种先进先出（FIFO）的数据结构，常用于任务调度和缓冲区管理,队列是一种先进先出（FIFO）的数据结构，常用于任务调度和缓冲区管理,是,0.92,data_structure,data_structure.txt
非线性结构,概念定义,数据元素之间存在一对多关系的结构，主要包括树和图,非线性结构是指数据元素之间存在一对多关系的结构，主要包括树和图,是指,0.92,data_structure,data_structure.txt
非线性结构,概念定义,指数据元素之间存在一对多关系的结构，主要包括树和图,非线性结构是指数据元素之间存在一对多关系的结构，主要包括树和图,是,0.92,data_structure,data_structure.txt
二叉树,概念定义,一种特殊的树结构，每个节点最多有两个子节点,二叉树是一种特殊的树结构，每个节点最多有两个子节点,是,0.92,data_structure,data_structure.txt
哈希表,概念定义,一种基于哈希函数的数据结构，用于实现高效的查找操作,哈希表是一种基于哈希函数的数据结构，用于实现高效的查找操作,是,0.92,data_structure,data_structure.txt
布隆过滤器,概念定义,一种空间效率较高的概率型数据结构，用于判断元素是否存在于集合中，但存在一定的误判率,布隆过滤器是一种空间效率较高的概率型数据结构，用于判断元素是否存在于集合中，但存在一定的误判率,是,0.92,data_structure,data_structure.txt
数据结构,用途作用,不同场景,在实际应用中，数据结构常用于不同场景,常用于,0.85,data_structure,data_structure.txt
