entity,attribute_name,attribute_value,section_title,source_file,evidence,confidence,method,source_relation
URL,特性,URI,3.1 URI 与 URL,cn.txt,"URL:统一资源定位符,是 URI 的子集,既标识又定位资源(指明访问路径)",0.824,relation_disambiguation_reclassified,is_a
BGP,属性,"边界网关协议,用于跨自治系统的路由交换",5 常见路由协议,cn.txt,"BGP:边界网关协议,用于跨自治系统的路由交换",0.82,attribute_extraction_colon_pattern,
Cache-Control,属性,缓存控制(no-cache、max-age,1.5 HTTP 常见请求头,cn.txt,Cache-Control:缓存控制(no-cache、max-age),0.82,attribute_extraction_colon_pattern,
Connection,属性,连接方式(keep-alive/close,1.5 HTTP 常见请求头,cn.txt,Connection:连接方式(keep-alive/close),0.82,attribute_extraction_colon_pattern,
Content-Type,属性,请求体格式(application/json、form-data 等,1.5 HTTP 常见请求头,cn.txt,Content-Type:请求体格式(application/json、form-data 等),0.82,attribute_extraction_colon_pattern,
Cookie,属性,携带客户端 Cookie,1.5 HTTP 常见请求头,cn.txt,Cookie:携带客户端 Cookie,0.82,attribute_extraction_colon_pattern,
DHCP,属性,动态分配 IP,3 基于 TCP/UDP 的应用层协议,cn.txt,DHCP:动态分配 IP,0.82,attribute_extraction_colon_pattern,
FTP,、SFTP,文件传输,3 基于 TCP/UDP 的应用层协议,cn.txt,FTP、SFTP:文件传输,0.82,attribute_extraction_colon_pattern,
HTTP,/1.x、HTTP/2、HTTPS,网页传输,3 基于 TCP/UDP 的应用层协议,cn.txt,HTTP/1.x、HTTP/2、HTTPS:网页传输,0.82,attribute_extraction_colon_pattern,
HTTP/1.1,属性,"应用层阻塞,单连接串行请求,前一个请求未完成,后续全部阻塞",1.3 HTTP 队头阻塞详解,cn.txt,"HTTP/1.1:应用层阻塞,单连接串行请求,前一个请求未完成,后续全部阻塞",0.82,attribute_extraction_colon_pattern,
HTTP/2,属性,"传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流",1.3 HTTP 队头阻塞详解,cn.txt,"HTTP/2:传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流",0.82,attribute_extraction_colon_pattern,
HTTP/3,基于 QUIC,新一代网页传输,3 基于 TCP/UDP 的应用层协议,cn.txt,HTTP/3(基于 QUIC):新一代网页传输,0.82,attribute_extraction_colon_pattern,
HTTP/3,属性,"QUIC 彻底解决流间阻塞,仅阻塞丢包的单个流",1.3 HTTP 队头阻塞详解,cn.txt,"HTTP/3:QUIC 彻底解决流间阻塞,仅阻塞丢包的单个流",0.82,attribute_extraction_colon_pattern,
Host,头,不支持虚拟主机,1.1 HTTP 各版本演进,cn.txt,无 Host 头:不支持虚拟主机,0.82,attribute_extraction_colon_pattern,
Host,属性,服务器域名与端口,1.5 HTTP 常见请求头,cn.txt,Host:服务器域名与端口,0.82,attribute_extraction_colon_pattern,
ICMPv6,属性,优化邻居发现、路径 MTU 发现,1.2 IPv4 与 IPv6 详细对比,cn.txt,ICMPv6:优化邻居发现、路径 MTU 发现,0.82,attribute_extraction_colon_pattern,
IPv4,属性,"32 位,约 42 亿个地址,已耗尽",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv4:32 位,约 42 亿个地址,已耗尽",0.82,attribute_extraction_colon_pattern,
IPv4,属性,"点分十进制,如 192.168.1.1",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv4:点分十进制,如 192.168.1.1",0.82,attribute_extraction_colon_pattern,
IPv6,属性,"128 位,地址空间近乎无限",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv6:128 位,地址空间近乎无限",0.82,attribute_extraction_colon_pattern,
IPv6,属性,"冒分十六进制,可省略前导零,如 2001:db8::1",1.2 IPv4 与 IPv6 详细对比,cn.txt,"IPv6:冒分十六进制,可省略前导零,如 2001:db8::1",0.82,attribute_extraction_colon_pattern,
IoT 传感器上报,属性,少量数据丢失不影响整体趋势,2 协议选择原则,cn.txt,IoT 传感器上报:少量数据丢失不影响整体趋势,0.82,attribute_extraction_colon_pattern,
Keep-Alive,属性,"默认开启,复用 TCP 连接",1.1 HTTP 各版本演进,cn.txt,"长连接(Keep-Alive):默认开启,复用 TCP 连接",0.82,attribute_extraction_colon_pattern,
NAT,属性,"地址充足,每个设备可分配公网 IP",1.2 IPv4 与 IPv6 详细对比,cn.txt,"无需 NAT:地址充足,每个设备可分配公网 IP",0.82,attribute_extraction_colon_pattern,
NAT,类型,静态 NAT、动态 NAT、端口映射 NAT(PAT,补充高频面试考点,cn.txt,NAT 类型:静态 NAT、动态 NAT、端口映射 NAT(PAT),0.82,attribute_extraction_colon_pattern,
NTP,属性,时间同步,3 基于 TCP/UDP 的应用层协议,cn.txt,NTP:时间同步,0.82,attribute_extraction_colon_pattern,
OSPF,属性,"内部网关协议,链路状态算法,按带宽/延迟选最优路径",5 常见路由协议,cn.txt,"OSPF:内部网关协议,链路状态算法,按带宽 / 延迟选最优路径",0.82,attribute_extraction_colon_pattern,
RIP,属性,"内部网关协议,距离向量算法,按跳数选路径",5 常见路由协议,cn.txt,"RIP:内部网关协议,距离向量算法,按跳数选路径",0.82,attribute_extraction_colon_pattern,
RTCP,属性,实时音视频,3 基于 TCP/UDP 的应用层协议,cn.txt,RTP/RTCP:实时音视频,0.82,attribute_extraction_colon_pattern,
RTP,/RTCP,实时音视频,3 基于 TCP/UDP 的应用层协议,cn.txt,RTP/RTCP:实时音视频,0.82,attribute_extraction_colon_pattern,
SMTP,、POP3、IMAP,邮件收发,3 基于 TCP/UDP 的应用层协议,cn.txt,SMTP、POP3、IMAP:邮件收发,0.82,attribute_extraction_colon_pattern,
SNMP,属性,网络管理,3 基于 TCP/UDP 的应用层协议,cn.txt,SNMP:网络管理,0.82,attribute_extraction_colon_pattern,
Session,存储,内存(简单)、数据库(持久)、Redis(分布式主流,2.1 Cookie+Session(主流,cn.txt,Session 存储:内存(简单)、数据库(持久)、Redis(分布式主流),0.82,attribute_extraction_colon_pattern,
SessionID,"拼接在 URL 后,如http",//xxx?sessionid=xxx,2.2 URL 重写(Cookie 禁用时备用,cn.txt,"将 SessionID 拼接在 URL 后,如http://xxx?sessionid=xxx",0.82,attribute_extraction_colon_pattern,
TCP,属性,"有状态,两端需维护连接状态(序列号、窗口大小、已发送/已确认数据等",1 TCP 与 UDP 详细区别,cn.txt,"TCP:有状态,两端需维护连接状态(序列号、窗口大小、已发送 / 已确认数据等)",0.82,attribute_extraction_colon_pattern,
TCP,属性,"开销大、效率低,需建立连接、确认、重传等操作",1 TCP 与 UDP 详细区别,cn.txt,"TCP:开销大、效率低,需建立连接、确认、重传等操作",0.82,attribute_extraction_colon_pattern,
TCP,属性,"面向字节流,将数据视为无结构字节流,可拆分/合并数据",1 TCP 与 UDP 详细区别,cn.txt,"TCP:面向字节流,将数据视为无结构字节流,可拆分 / 合并数据",0.82,attribute_extraction_colon_pattern,
TCP,属性,"头部最小20 字节,带选项最大60 字节",1 TCP 与 UDP 详细区别,cn.txt,"TCP:头部最小20 字节,带选项最大60 字节",0.82,attribute_extraction_colon_pattern,
TCP,属性,仅支持点对点单播,1 TCP 与 UDP 详细区别,cn.txt,TCP:仅支持点对点单播,0.82,attribute_extraction_colon_pattern,
TCP,属性,要求数据绝对完整、准确的场景,1 TCP 与 UDP 详细区别,cn.txt,TCP:要求数据绝对完整、准确的场景,0.82,attribute_extraction_colon_pattern,
TLS1.3,属性,"全程加密,安全性更高",1.1 HTTP 各版本演进,cn.txt,"内置 TLS1.3:全程加密,安全性更高",0.82,attribute_extraction_colon_pattern,
Telnet,、SSH,远程登录,3 基于 TCP/UDP 的应用层协议,cn.txt,Telnet、SSH:远程登录,0.82,attribute_extraction_colon_pattern,
UDP,属性,"无连接,发送数据前无需建立连接,直接发送数据报",1 TCP 与 UDP 详细区别,cn.txt,"UDP:无连接,发送数据前无需建立连接,直接发送数据报",0.82,attribute_extraction_colon_pattern,
UDP,属性,"不可靠传输,仅尽力交付,不保证数据到达、顺序,无自动重传与确认机制",1 TCP 与 UDP 详细区别,cn.txt,"UDP:不可靠传输,仅尽力交付,不保证数据到达、顺序,无自动重传与确认机制",0.82,attribute_extraction_colon_pattern,
UDP,属性,"无状态,不维护任何连接信息,开销极小",1 TCP 与 UDP 详细区别,cn.txt,"UDP:无状态,不维护任何连接信息,开销极小",0.82,attribute_extraction_colon_pattern,
UDP,属性,结构简单、开销小、传输速度快,1 TCP 与 UDP 详细区别,cn.txt,UDP:结构简单、开销小、传输速度快,0.82,attribute_extraction_colon_pattern,
UDP,属性,"头部固定8 字节,极简",1 TCP 与 UDP 详细区别,cn.txt,"UDP:头部固定8 字节,极简",0.82,attribute_extraction_colon_pattern,
UDP,属性,"要求低延迟、高实时性,可容忍少量丢包的场景",1 TCP 与 UDP 详细区别,cn.txt,"UDP:要求低延迟、高实时性,可容忍少量丢包的场景",0.82,attribute_extraction_colon_pattern,
URI,属性,"统一资源标识符,唯一标识一个资源",3.1 URI 与 URL,cn.txt,"URI:统一资源标识符,唯一标识一个资源",0.82,attribute_extraction_colon_pattern,
URL,属性,"统一资源定位符,是 URI 的子集,既标识又定位资源(指明访问路径",3.1 URI 与 URL,cn.txt,"URL:统一资源定位符,是 URI 的子集,既标识又定位资源(指明访问路径)",0.82,attribute_extraction_colon_pattern,
User-Agent,属性,客户端标识,1.5 HTTP 常见请求头,cn.txt,User-Agent:客户端标识,0.82,attribute_extraction_colon_pattern,
Web 浏览,HTTP/HTTPS,网页、图片、脚本需完整加载,2 协议选择原则,cn.txt,Web 浏览(HTTP/HTTPS):网页、图片、脚本需完整加载,0.82,attribute_extraction_colon_pattern,
WebSocket,区别,SSE 单向、仅文本;WebSocket 双向、支持二进制,4.2 SSE(服务器推送事件,cn.txt,与 WebSocket 区别:SSE 单向、仅文本;WebSocket 双向、支持二进制,0.82,attribute_extraction_colon_pattern,
二进制帧,属性,"替代文本格式,传输更高效",1.1 HTTP 各版本演进,cn.txt,"二进制帧:替代文本格式,传输更高效",0.82,attribute_extraction_colon_pattern,
会话层,属性,"管理应用程序之间会话的建立、维护、断开与重连,控制通信的交互节奏",1.1 OSI 七层模型(国际标准化组织制定,cn.txt,"会话层:管理应用程序之间会话的建立、维护、断开与重连,控制通信的交互节奏",0.82,attribute_extraction_colon_pattern,
传输层,属性,"为两台主机进程之间的通信提供通用数据传输服务,负责端到端的连接、可靠性控制",1.1 OSI 七层模型(国际标准化组织制定,cn.txt,"传输层:为两台主机进程之间的通信提供通用数据传输服务,负责端到端的连接、可靠性控制",0.82,attribute_extraction_colon_pattern,
传输层,属性,"与 OSI 传输层一致,提供端到端传输服务",1.2 TCP/IP 四层模型(实际互联网主流模型,cn.txt,"传输层:与 OSI 传输层一致,提供端到端传输服务",0.82,attribute_extraction_colon_pattern,
在线游戏,属性,"位置、状态需极速传输,旧数据无价值",2 协议选择原则,cn.txt,"在线游戏:位置、状态需极速传输,旧数据无价值",0.82,attribute_extraction_colon_pattern,
头部压缩,HPACK,减少头部开销,1.1 HTTP 各版本演进,cn.txt,头部压缩(HPACK):减少头部开销,0.82,attribute_extraction_colon_pattern,
实时音视频,VoIP、视频会议、直播,"少量丢包仅导致短暂卡顿,优于重传延迟",2 协议选择原则,cn.txt,"实时音视频(VoIP、视频会议、直播):少量丢包仅导致短暂卡顿,优于重传延迟",0.82,attribute_extraction_colon_pattern,
幂等性,属性,"GET 幂等(多次请求无副作用),POST 非幂等",3.2 GET 与 POST,cn.txt,"幂等性:GET 幂等(多次请求无副作用),POST 非幂等",0.82,attribute_extraction_colon_pattern,
序列号,与确认应答(ACK,保证数据按序、无重复,4.3 TCP 可靠性保障机制,cn.txt,序列号与确认应答(ACK):保证数据按序、无重复,0.82,attribute_extraction_colon_pattern,
应用层,属性,"直接为计算机用户提供网络服务,是用户与网络的接口,承载各类应用协议",1.1 OSI 七层模型(国际标准化组织制定,cn.txt,"应用层:直接为计算机用户提供网络服务,是用户与网络的接口,承载各类应用协议",0.82,attribute_extraction_colon_pattern,
报头简化,属性,"处理开销更低,性能更高",1.2 IPv4 与 IPv6 详细对比,cn.txt,"报头简化:处理开销更低,性能更高",0.82,attribute_extraction_colon_pattern,
拥塞控制,属性,"网络拥堵时降低发送速率,避免丢包加剧",4.3 TCP 可靠性保障机制,cn.txt,"拥塞控制:网络拥堵时降低发送速率,避免丢包加剧",0.82,attribute_extraction_colon_pattern,
支持断点续传,属性,"Range 请求头,返回 206 状态码",1.1 HTTP 各版本演进,cn.txt,"支持断点续传:Range 请求头,返回 206 状态码",0.82,attribute_extraction_colon_pattern,
文件传输,FTP、SCP,文件字节不允许丢失/错序,2 协议选择原则,cn.txt,文件传输(FTP、SCP):文件字节不允许丢失 / 错序,0.82,attribute_extraction_colon_pattern,
无状态地址自动配置,SLAAC,无需 DHCP 即可自动获取地址,1.2 IPv4 与 IPv6 详细对比,cn.txt,无状态地址自动配置(SLAAC):无需 DHCP 即可自动获取地址,0.82,attribute_extraction_colon_pattern,
服务器推送,属性,主动推送客户端所需资源,1.1 HTTP 各版本演进,cn.txt,服务器推送:主动推送客户端所需资源,0.82,attribute_extraction_colon_pattern,
本地 DNS 服务器,属性,"运营商提供,代理客户端查询",5.2 DNS 服务器层级,cn.txt,"本地 DNS 服务器:运营商提供,代理客户端查询",0.82,attribute_extraction_colon_pattern,
权威 DNS 服务器,属性,存储域名与 IP 的正式映射,5.2 DNS 服务器层级,cn.txt,权威 DNS 服务器:存储域名与 IP 的正式映射,0.82,attribute_extraction_colon_pattern,
根 DNS 服务器,属性,"13 组 IP,对应全球 1700+台服务器,提供顶级域服务器 IP",5.2 DNS 服务器层级,cn.txt,"根 DNS 服务器:13 组 IP,对应全球 1700 + 台服务器,提供顶级域服务器 IP",0.82,attribute_extraction_colon_pattern,
流量控制,属性,"接收方通过窗口大小告知发送方发送速率,避免溢出",4.3 TCP 可靠性保障机制,cn.txt,"流量控制:接收方通过窗口大小告知发送方发送速率,避免溢出",0.82,attribute_extraction_colon_pattern,
物理层,属性,"透明地传送比特流,负责传输 0/1 二进制信号,定义接口、电压、速率等物理规范",1.1 OSI 七层模型(国际标准化组织制定,cn.txt,"物理层:透明地传送比特流,负责传输 0/1 二进制信号,定义接口、电压、速率等物理规范",0.82,attribute_extraction_colon_pattern,
短连接,属性,"每次请求新建 TCP 连接,效率低",1.1 HTTP 各版本演进,cn.txt,"短连接:每次请求新建 TCP 连接,效率低",0.82,attribute_extraction_colon_pattern,
缓存机制,简陋,仅支持 If-Modified-Since、Expires,1.1 HTTP 各版本演进,cn.txt,缓存机制简陋:仅支持 If-Modified-Since、Expires,0.82,attribute_extraction_colon_pattern,
