head,relation,tail,head_type,tail_type,confidence,evidence,pattern_names,section_titles,source_files,record_count,source_row_ids,source_relations,conflicting_relations,disambiguation_score,disambiguation_method,disambiguation_basis
ARP,has_part,ARP 缓存,协议实体,机制与技术实体,0.7140,ARP 工作流程:广播请求、单播响应、ARP 缓存,枚举结构关系,补充高频面试考点,cn.txt,1,66,has_part,,0.7279,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.728, conf=0.714, support=1, cues=枚举结构"
ARP,has_part,单播,协议实体,概念与特性实体,0.7440,ARP 工作流程:广播请求、单播响应、ARP 缓存,枚举结构关系,补充高频面试考点,cn.txt,1,49,has_part,,0.7465,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.747, conf=0.744, support=1, cues=枚举结构"
ARP,has_part,广播,协议实体,概念与特性实体,0.7740,ARP 工作流程:广播请求、单播响应、ARP 缓存,枚举结构关系,补充高频面试考点,cn.txt,1,35,has_part,,0.7651,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.765, conf=0.774, support=1, cues=枚举结构"
BGP,used_for,自治系统,协议实体,服务器与网络组件实体,0.7940,"BGP:边界网关协议,用于跨自治系统的路由交换",用途关系,5 常见路由协议,cn.txt,1,21,used_for,,0.7876,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"used_for: score=0.788, conf=0.794, support=1, cues=用途,用于"
DHCP,has_part,TCP,协议实体,协议实体,0.7060,"DHCP:客户端无 IP,无法建立 TCP 连接,且需广播",枚举结构关系,2 协议选择原则,cn.txt,1,73,has_part,,0.7230,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.723, conf=0.706, support=1, cues=枚举结构"
DHCP,has_part,客户端,协议实体,服务器与网络组件实体,0.8040,"DHCP:客户端无 IP,无法建立 TCP 连接,且需广播",枚举结构关系,2 协议选择原则,cn.txt,1,3,has_part,,0.7837,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构"
DHCP,has_part,广播,协议实体,概念与特性实体,0.6720,"DHCP:客户端无 IP,无法建立 TCP 连接,且需广播",枚举结构关系,2 协议选择原则,cn.txt,1,82,has_part,,0.7019,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.702, conf=0.672, support=1, cues=枚举结构"
DNS,has_part,TCP,协议实体,协议实体,0.6460,"DNS:域名解析(默认 UDP,大包 / 区域传送用 TCP)",枚举结构关系,3 基于 TCP/UDP 的应用层协议,cn.txt,1,89,has_part,,0.6582,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.658, conf=0.646, support=1, cues=枚举结构,!基于"
DNS,has_part,UDP,协议实体,协议实体,0.7360,"DNS:域名解析(默认 UDP,大包 / 区域传送用 TCP)",枚举结构关系,3 基于 TCP/UDP 的应用层协议,cn.txt,1,55,has_part,,0.7140,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.714, conf=0.736, support=1, cues=枚举结构,!基于"
DNS,has_part,域名解析,协议实体,地址与标识实体,0.8040,"DNS:域名解析(默认 UDP,大包 / 区域传送用 TCP)",枚举结构关系,3 基于 TCP/UDP 的应用层协议,cn.txt,1,4,has_part,,0.7561,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.756, conf=0.804, support=1, cues=枚举结构,!基于"
HTTP/2,has_part,TCP,协议实体,协议实体,0.7480,"HTTP/2:传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流",枚举结构关系,1.3 HTTP 队头阻塞详解,cn.txt,1,47,has_part,,0.7490,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.749, conf=0.748, support=1, cues=枚举结构"
HTTP/2,has_part,传输层,协议实体,层级结构实体,0.8040,"HTTP/2:传输层阻塞,TCP 要求按序交付,单个丢包阻塞整个连接的所有流",枚举结构关系,1.3 HTTP 队头阻塞详解,cn.txt,1,5,has_part,,0.7837,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"has_part: score=0.784, conf=0.804, support=1, cues=枚举结构"
