head,relation,tail,head_type,tail_type,confidence,evidence,pattern_names,section_titles,source_files,record_count,source_row_ids,source_relations,conflicting_relations,disambiguation_score,disambiguation_method,disambiguation_basis
CMS,is_a,G1,垃圾回收器实体,垃圾回收器实体,0.6980,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,上下位关系,使用ThreadLocal,JVM.txt,1,705,is_a,,0.7220,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.722, conf=0.698, support=1, cues=上下位"
CMS,is_a,ParNew,垃圾回收器实体,垃圾回收器实体,0.6980,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,706,is_a,,0.7220,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.722, conf=0.698, support=1, cues=上下位"
CMS,is_a,Serial,垃圾回收器实体,垃圾回收器实体,0.7400,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,619,is_a,,0.7480,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.748, conf=0.740, support=1, cues=上下位"
CMS,is_a,使用,垃圾回收器实体,类加载过程实体,0.8560,"CMS收集器是使用“标记-清除”算法进行的垃圾回收,容易产生内存碎片",上下位关系,使用ThreadLocal,JVM.txt,1,420,is_a,,0.8200,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.820, conf=0.856, support=1, cues=上下位"
CMS,is_a,内存碎片,垃圾回收器实体,场景与问题实体,0.7180,"CMS收集器是使用“标记-清除”算法进行的垃圾回收,容易产生内存碎片",上下位关系,使用ThreadLocal,JVM.txt,1,656,is_a,,0.7344,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.734, conf=0.718, support=1, cues=上下位"
CMS,is_a,垃圾回收,垃圾回收器实体,领域实体,0.7780,"CMS产生浮动垃圾过多时会退化为serial old,效率低,因为在上图的第四阶段,CMS清除垃圾时是并发清除的,这个时候,垃圾回收线程和用户线程同时工作会产生浮动垃圾,也就意味着CMS垃圾回收器必须预留一部分内存空间用于存放浮动垃圾",上下位关系,使用ThreadLocal,JVM.txt,1,529,is_a,,0.7440,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.744, conf=0.778, support=1, cues=上下位,!用于"
CMS,is_a,新生代,垃圾回收器实体,堆结构实体,0.7840,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,515,is_a,,0.7753,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.775, conf=0.784, support=1, cues=上下位"
CMS,is_a,线程,垃圾回收器实体,线程与私有性相关实体,0.7540,"CMS产生浮动垃圾过多时会退化为serial old,效率低,因为在上图的第四阶段,CMS清除垃圾时是并发清除的,这个时候,垃圾回收线程和用户线程同时工作会产生浮动垃圾,也就意味着CMS垃圾回收器必须预留一部分内存空间用于存放浮动垃圾",上下位关系,使用ThreadLocal,JVM.txt,1,583,is_a,,0.7291,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.729, conf=0.754, support=1, cues=上下位,!用于"
CMS,is_a,老年代,垃圾回收器实体,堆结构实体,0.8560,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,421,is_a,,0.8200,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.820, conf=0.856, support=1, cues=上下位"
CMS,used_for,浮动垃圾,垃圾回收器实体,垃圾回收核心概念实体,0.7400,"CMS产生浮动垃圾过多时会退化为serial old,效率低,因为在上图的第四阶段,CMS清除垃圾时是并发清除的,这个时候,垃圾回收线程和用户线程同时工作会产生浮动垃圾,也就意味着CMS垃圾回收器必须预留一部分内存空间用于存放浮动垃圾",用途关系,使用ThreadLocal,JVM.txt,1,620 | 734,used_for | is_a,is_a,0.7541,relation_taxonomy_normalization + direction_normalization + evidence_weighted_relation_voting,"used_for: score=0.754, conf=0.740, support=1, cues=用途,用于；is_a: score=0.683, conf=0.680, support=1, cues=上下位,!用于"
Eden 区,is_a,新生代,堆结构实体,堆结构实体,0.7860,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor)",上位包含关系,全文,JVM.txt,1,514,is_a,,0.6478,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.648, conf=0.786, support=1, cues=!包含"
Eden 区,is_a,老年代,堆结构实体,堆结构实体,0.7620,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor)",上位包含关系,全文,JVM.txt,1,569,is_a,,0.6329,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.633, conf=0.762, support=1, cues=!包含"
Entry,causes,内存泄漏,代码与容器实体,领域实体,0.7420,"如果当前线程迟迟不结束的话,这些key为null的Entry的value就会一直存在一条强引用链:Thread Ref -> Thread -> ThreaLocalMap -> Entry -> value永远无法回收,造成内存泄漏",因果关系,使用ThreadLocal,JVM.txt,1,612,causes,,0.7594,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"causes: score=0.759, conf=0.742, support=1, cues=因果,造成"
From Survivor,is_a,新生代,堆结构实体,堆结构实体,0.6600,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor)",上位包含关系,全文,JVM.txt,1,769,is_a,,0.5696,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.570, conf=0.660, support=1, cues=!包含"
From Survivor,is_a,老年代,堆结构实体,堆结构实体,0.6360,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor)",上位包含关系,全文,JVM.txt,1,804,is_a,,0.5548,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.555, conf=0.636, support=1, cues=!包含"
Full GC,alias_of,Major GC,垃圾回收核心概念实体,垃圾回收核心概念实体,0.9260,"老年代中的对象生命周期较长,因此Major GC(也称为Full GC,涉及老年代的垃圾回收)发生的频率相对较低,但其执行时间通常比Minor GC长",别名关系,全文,JVM.txt,1,407,alias_of,,0.8885,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"alias_of: score=0.888, conf=0.926, support=1, cues=也称,别名"
Full GC,is_a,Stop The World,垃圾回收核心概念实体,垃圾回收核心概念实体,0.7220,"特点:Full GC是最昂贵的操作,因为它需要停止所有的工作线程(Stop The World),遍历整个堆内存来查找和回收不再使用的对象,因此应尽量减少Full GC的触发",上下位关系,使用ThreadLocal,JVM.txt,1,650,is_a,,0.7369,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.737, conf=0.722, support=1, cues=上下位"
Full GC,is_a,线程,垃圾回收核心概念实体,线程与私有性相关实体,0.7600,"特点:Full GC是最昂贵的操作,因为它需要停止所有的工作线程(Stop The World),遍历整个堆内存来查找和回收不再使用的对象,因此应尽量减少Full GC的触发",上下位关系,使用ThreadLocal,JVM.txt,1,571,is_a,,0.7604,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.760, conf=0.760, support=1, cues=上下位"
G1,depends_on,内存碎片,垃圾回收器实体,场景与问题实体,0.7200,"G1(Garbage First)收集器 (标记-整理算法): Java堆并行收集器,G1收集器是JDK1.7提供的一个新收集器,G1收集器基于“标记-整理”算法实现,也就是说不会产生内存碎片",依赖关系,使用ThreadLocal,JVM.txt,1,637 | 652,is_a | depends_on,is_a,0.7437,relation_taxonomy_normalization + direction_normalization + evidence_weighted_relation_voting,"depends_on: score=0.744, conf=0.720, support=1, cues=依赖,基于；is_a: score=0.714, conf=0.730, support=1, cues=上下位,!基于"
G1,depends_on,大对象,垃圾回收器实体,对象与字符串相关实体,0.7200,"算法: G1 基于标记--整理算法, 不会产生空间碎片,在分配大对象时,不会因无法得到连续的空间,而提前触发一次 FULL GC",依赖关系,使用ThreadLocal,JVM.txt,1,653,depends_on,,0.7437,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"depends_on: score=0.744, conf=0.720, support=1, cues=依赖,基于"
G1,implemented_by,JVM,垃圾回收器实体,领域实体,0.8600,"大对象区(Large Object Space / Humongous Objects):在某些JVM实现中(如G1垃圾收集器),为大对象分配了专门的区域,称为大对象区或Humongous Objects区域",实现关系,全文,JVM.txt,1,419,implemented_by,,0.8365,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"implemented_by: score=0.837, conf=0.860, support=1, cues=实现关系,实现"
G1,is_a,Java 堆,垃圾回收器实体,内存区域实体,0.8320,"此外,G1收集器不同于之前的收集器的一个重要特点是:G1回收的范围是整个Java堆(包括新生代,老年代),而前六种收集器回收的范围仅限于新生代或老年代",上下位关系,使用ThreadLocal,JVM.txt,1,439,is_a,,0.7775,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.777, conf=0.832, support=1, cues=上下位,!包括"
G1,is_a,STW,垃圾回收器实体,垃圾回收核心概念实体,0.7540,"因此,G1停顿时间的瓶颈主要是标记-复制中的转移阶段STW",上下位关系,使用ThreadLocal,JVM.txt,1,584,is_a,,0.7567,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.757, conf=0.754, support=1, cues=上下位"
G1,is_a,gc,垃圾回收器实体,领域实体,0.7840,"而G1没有浮动垃圾,G1的筛选回收是多个垃圾回收线程并行gc的,没有浮动垃圾的回收,在执行‘并发清理’步骤时,用户线程也会同时产生一部分可回收对象,但是这部分可回收对象只能在下次执行清理是才会被回收",上下位关系,使用ThreadLocal,JVM.txt,1,516,is_a,,0.7753,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.775, conf=0.784, support=1, cues=上下位"
G1,is_a,垃圾回收,垃圾回收器实体,领域实体,0.8320,"而G1没有浮动垃圾,G1的筛选回收是多个垃圾回收线程并行gc的,没有浮动垃圾的回收,在执行‘并发清理’步骤时,用户线程也会同时产生一部分可回收对象,但是这部分可回收对象只能在下次执行清理是才会被回收",上下位关系,使用ThreadLocal,JVM.txt,1,440,is_a,,0.8051,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.805, conf=0.832, support=1, cues=上下位"
G1,is_a,新生代,垃圾回收器实体,堆结构实体,0.8080,G1收集器收集范围是老年代和新生代,上下位关系,使用ThreadLocal,JVM.txt,1,466 | 670,is_a | has_part,has_part,0.7902,relation_taxonomy_normalization + direction_normalization + evidence_weighted_relation_voting,"is_a: score=0.790, conf=0.808, support=1, cues=上下位；has_part: score=0.744, conf=0.714, support=1, cues=整体部分,包括"
