main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
索引,领域实体,56,索引,mysql.txt,索引,索引,索引分类: | 索引失效场景: | 建立索引的原则:,索引,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=索引；章节=索引分类:|索引失效场景:|建立索引的原则:
SQL,领域实体,43,SQL,mysql.txt,SQL,SQL,"索引失效场景: | 事务隔离级别(从低到高): | SQL优化与性能调优 | Extra:额外信息(Using index表示覆盖索引,Using filesort表示文件排序需优化) | 主从复制核心原理: | 数据库备份:",SQL,1.0,实体标准化 + 候选召回（未发现需合并候选）,"保留单实体=SQL；章节=索引失效场景:|事务隔离级别(从低到高):|SQL优化与性能调优|Extra:额外信息(Using index表示覆盖索引,Using filesort表示文件排序需优化)|主从复制核心原理:|数据库备份:"
事务,领域实体,34,事务,mysql.txt,事务,事务,事务四大特性ACID: | 事务控制语句: | 并发事务带来的问题:,事务,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=事务；章节=事务四大特性ACID:|事务控制语句:|并发事务带来的问题:
MySQL,领域实体,21,MySQL,mysql.txt,MySQL,MySQL,索引失效场景: | 事务隔离级别(从低到高): | 数据库备份:,MySQL,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=MySQL；章节=索引失效场景:|事务隔离级别(从低到高):|数据库备份:
主键,数据库设计与规范实体,17,主键,mysql.txt,主键,主键,索引分类:,主键,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=主键；章节=索引分类:
数据库,领域实体,17,数据库,mysql.txt,数据库,数据库,事务四大特性ACID: | 避免在WHERE子句中对字段进行运算和函数操作,数据库,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数据库；章节=事务四大特性ACID:|避免在WHERE子句中对字段进行运算和函数操作
InnoDB,存储引擎实体,9,InnoDB,mysql.txt,InnoDB,InnoDB,全文,InnoDB,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=InnoDB；章节=全文
SELECT,SQL分类实体,8,SELECT,mysql.txt,SELECT,SELECT,索引失效场景:,SELECT,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=SELECT；章节=索引失效场景:
排序,查询与连接实体,8,排序,mysql.txt,排序,排序,建立索引的原则:,排序,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=排序；章节=建立索引的原则:
联表查询,数据库设计与规范实体,8,联表查询,mysql.txt,联表查询,联表查询,"LIKE模糊查询:%匹配任意多个字符,_匹配单个字符,避免前置%导致索引失效。",联表查询,1.0,实体标准化 + 候选召回（未发现需合并候选）,"保留单实体=联表查询；章节=LIKE模糊查询:%匹配任意多个字符,_匹配单个字符,避免前置%导致索引失效。"
主从复制,领域实体,7,主从复制,mysql.txt,主从复制,主从复制,全文,主从复制,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=主从复制；章节=全文
LIMIT,SQL分类实体,6,LIMIT,mysql.txt,LIMIT,LIMIT,全文,LIMIT,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=LIMIT；章节=全文
WHERE,SQL分类实体,6,WHERE,mysql.txt,WHERE,WHERE,全文,WHERE,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=WHERE；章节=全文
