input_file,input_row_id,original_head,original_relation,original_tail,canonical_head,canonical_relation,canonical_tail,kept_relation,decision,canonicalization_actions,candidate_relations,winner_score,runner_up_score,score_margin,basis,evidence
JVM.csv,0,标记阶段,alias_of,GC Roots,GC Roots,alias_of,标记阶段,alias_of,canonicalized,symmetric_relation_order,alias_of,0.8885,,,"alias_of: score=0.888, conf=0.952, support=1, cues=别名","标记阶段,即从GC Roots集合开始,标记活跃对象"
JVM.csv,1,Full GC,alias_of,Major GC,Full GC,alias_of,Major GC,alias_of,kept,,alias_of,0.8885,,,"alias_of: score=0.888, conf=0.926, support=1, cues=也称,别名","老年代中的对象生命周期较长,因此Major GC(也称为Full GC,涉及老年代的垃圾回收)发生的频率相对较低,但其执行时间通常比Minor GC长"
JVM.csv,2,Minor GC,alias_of,Young GC,Minor GC,alias_of,Young GC,alias_of,kept,,alias_of,0.8885,,,"alias_of: score=0.888, conf=0.926, support=1, cues=也称,别名","根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC"
JVM.csv,3,gc,alias_of,Major GC,gc,alias_of,Major GC,alias_of,kept,,alias_of,0.8785,,,"alias_of: score=0.879, conf=0.910, support=1, cues=也称,别名","根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC"
JVM.csv,4,老年代,alias_of,Major GC,Major GC,alias_of,老年代,alias_of,canonicalized,symmetric_relation_order,alias_of,0.8637,,,"alias_of: score=0.864, conf=0.886, support=1, cues=也称,别名","老年代中的对象生命周期较长,因此Major GC(也称为Full GC,涉及老年代的垃圾回收)发生的频率相对较低,但其执行时间通常比Minor GC长"
JVM.csv,5,加载,is_a,扩展类加载器,加载,is_a,扩展类加载器,is_a,kept,,is_a,0.8274,,,"is_a: score=0.827, conf=0.868, support=1, cues=上下位",系统类加载器的父加载器是扩展类加载器
JVM.csv,6,Minor GC,alias_of,Major GC,Major GC,alias_of,Minor GC,alias_of,canonicalized,symmetric_relation_order,alias_of,0.8513,,,"alias_of: score=0.851, conf=0.866, support=1, cues=也称,别名","根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC"
JVM.csv,7,StackOverFlowError,is_a,JVM,StackOverFlowError,is_a,JVM,is_a,kept,,is_a,0.8237,,,"is_a: score=0.824, conf=0.862, support=1, cues=上下位","栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同"
JVM.csv,8,gc,is_a,线程,gc,is_a,线程,is_a,kept,,is_a,0.8237,,,"is_a: score=0.824, conf=0.862, support=1, cues=上下位","Serial GC 是单线程回收,简单但效率低,适合小内存应用"
JVM.csv,9,初始化,is_a,类加载过程,初始化,is_a,类加载过程,is_a,kept,,is_a | has_part,0.8237,0.7614,0.0623,"is_a: score=0.824, conf=0.862, support=1, cues=上下位；has_part: score=0.761, conf=0.768, support=1, cues=枚举结构","初始化:初始化是整个类加载过程的最后一个阶段,初始化阶段简单来说就是执行类的构造器方法(() ),要注意的是这里的构造器方法()并不是开发者写的,而是编译器自动生成的"
JVM.csv,10,初始标记阶段,is_a,GC Roots,初始标记阶段,is_a,GC Roots,is_a,kept,,is_a | has_part,0.8237,0.7502,0.0734,"is_a: score=0.824, conf=0.862, support=1, cues=上下位；has_part: score=0.750, conf=0.750, support=1, cues=枚举结构","初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的"
JVM.csv,11,加载,is_a,启动类加载器,加载,is_a,启动类加载器,is_a,kept,,is_a,0.8237,,,"is_a: score=0.824, conf=0.862, support=1, cues=上下位","扩展类加载器由启动类加载器加载,并且父加载器就是启动类加载器"
