head,relation,tail,head_type,tail_type,evidence,pattern_name,section_title,source_file,confidence,method
逻辑备份,has_part,mysqldump,运维与安全实体,中间件与工具实体,- 逻辑备份：mysqldump工具导出SQL语句，适合小数据量,枚举结构关系,数据库备份：,mysql.txt,0.804,rule_pattern_sentence_level
Durability,has_part,事务,事务与一致性实体,领域实体,- 持久性(Durability)：事务提交后，数据永久保存到数据库，不可回滚,枚举结构关系,事务四大特性ACID：,mysql.txt,0.798,rule_pattern_sentence_level
幻读,has_part,事务,事务与一致性实体,领域实体,- 幻读：一个事务批量操作数据时，另一个事务插入新数据，导致出现未处理的新数据,枚举结构关系,并发事务带来的问题：,mysql.txt,0.792,rule_pattern_sentence_level
从库,has_part,IO线程,主从复制与高可用实体,主从复制与高可用实体,- 从库：IO线程读取主库binlog，写入relay log,枚举结构关系,主从复制核心原理：,mysql.txt,0.784,rule_pattern_sentence_level
主库,has_part,binlog,主从复制与高可用实体,主从复制与高可用实体,- 主库：开启binlog二进制日志，记录所有数据修改操作,枚举结构关系,主从复制核心原理：,mysql.txt,0.772,rule_pattern_sentence_level
READ COMMITTED,has_part,脏读,事务与一致性实体,事务与一致性实体,- 读已提交(READ COMMITTED)：解决脏读，会出现不可重复读、幻读（Oracle默认级别）,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.766,rule_pattern_sentence_level
REPEATABLE READ,has_part,脏读,事务与一致性实体,事务与一致性实体,- 可重复读(REPEATABLE READ)：解决脏读、不可重复读，部分解决幻读（MySQL默认级别）,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.766,rule_pattern_sentence_level
REPEATABLE READ,has_part,不可重复读,事务与一致性实体,事务与一致性实体,- 可重复读(REPEATABLE READ)：解决脏读、不可重复读，部分解决幻读（MySQL默认级别）,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.748,rule_pattern_sentence_level
从库,has_part,主库,主从复制与高可用实体,主从复制与高可用实体,- 从库：IO线程读取主库binlog，写入relay log,枚举结构关系,主从复制核心原理：,mysql.txt,0.748,rule_pattern_sentence_level
主库,has_part,二进制日志,主从复制与高可用实体,主从复制与高可用实体,- 主库：开启binlog二进制日志，记录所有数据修改操作,枚举结构关系,主从复制核心原理：,mysql.txt,0.736,rule_pattern_sentence_level
从库,has_part,binlog,主从复制与高可用实体,主从复制与高可用实体,- 从库：IO线程读取主库binlog，写入relay log,枚举结构关系,主从复制核心原理：,mysql.txt,0.736,rule_pattern_sentence_level
READ COMMITTED,has_part,不可重复读,事务与一致性实体,事务与一致性实体,- 读已提交(READ COMMITTED)：解决脏读，会出现不可重复读、幻读（Oracle默认级别）,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.73,rule_pattern_sentence_level
READ UNCOMMITTED,has_part,脏读,事务与一致性实体,事务与一致性实体,- 读未提交(READ UNCOMMITTED)：最低级别，会出现脏读、不可重复读、幻读,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.73,rule_pattern_sentence_level
逻辑备份,has_part,SQL,运维与安全实体,领域实体,- 逻辑备份：mysqldump工具导出SQL语句，适合小数据量,枚举结构关系,数据库备份：,mysql.txt,0.726,rule_pattern_sentence_level
Durability,has_part,数据库,事务与一致性实体,领域实体,- 持久性(Durability)：事务提交后，数据永久保存到数据库，不可回滚,枚举结构关系,事务四大特性ACID：,mysql.txt,0.72,rule_pattern_sentence_level
READ UNCOMMITTED,has_part,不可重复读,事务与一致性实体,事务与一致性实体,- 读未提交(READ UNCOMMITTED)：最低级别，会出现脏读、不可重复读、幻读,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.712,rule_pattern_sentence_level
READ COMMITTED,has_part,幻读,事务与一致性实体,事务与一致性实体,- 读已提交(READ COMMITTED)：解决脏读，会出现不可重复读、幻读（Oracle默认级别）,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.694,rule_pattern_sentence_level
REPEATABLE READ,has_part,MySQL,事务与一致性实体,领域实体,- 可重复读(REPEATABLE READ)：解决脏读、不可重复读，部分解决幻读（MySQL默认级别）,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.69,rule_pattern_sentence_level
REPEATABLE READ,has_part,幻读,事务与一致性实体,事务与一致性实体,- 可重复读(REPEATABLE READ)：解决脏读、不可重复读，部分解决幻读（MySQL默认级别）,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.688,rule_pattern_sentence_level
从库,has_part,relay log,主从复制与高可用实体,主从复制与高可用实体,- 从库：IO线程读取主库binlog，写入relay log,枚举结构关系,主从复制核心原理：,mysql.txt,0.682,rule_pattern_sentence_level
READ UNCOMMITTED,has_part,幻读,事务与一致性实体,事务与一致性实体,- 读未提交(READ UNCOMMITTED)：最低级别，会出现脏读、不可重复读、幻读,枚举结构关系,事务隔离级别（从低到高）：,mysql.txt,0.676,rule_pattern_sentence_level
