id,source,target,relation,sourceName,targetName,sourceType,targetType,confidence,evidence,patternName,sourceFile,sectionTitle,domain,method
edge:15:JVM:Full GC:alias_of:Major GC,JVM:Full GC,JVM:Major GC,alias_of,Full GC,Major GC,垃圾回收核心概念实体,垃圾回收核心概念实体,0.926,"老年代中的对象生命周期较长,因此Major GC(也称为Full GC,涉及老年代的垃圾回收)发生的频率相对较低,但其执行时间通常比Minor GC长",别名关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:30:JVM:GC Roots:alias_of:标记阶段,JVM:GC Roots,JVM:标记阶段,alias_of,GC Roots,标记阶段,垃圾回收核心概念实体,垃圾回收算法实体,0.952,"标记阶段,即从GC Roots集合开始,标记活跃对象",别名关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:75:JVM:Major GC:alias_of:Minor GC,JVM:Major GC,JVM:Minor GC,alias_of,Major GC,Minor GC,垃圾回收核心概念实体,垃圾回收核心概念实体,0.866,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",别名关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:76:JVM:Major GC:alias_of:垃圾回收,JVM:Major GC,JVM:垃圾回收,alias_of,Major GC,垃圾回收,垃圾回收核心概念实体,领域实体,0.862,"老年代中的对象生命周期较长,因此Major GC(也称为Full GC,涉及老年代的垃圾回收)发生的频率相对较低,但其执行时间通常比Minor GC长",别名关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:77:JVM:Major GC:alias_of:老年代,JVM:Major GC,JVM:老年代,alias_of,Major GC,老年代,垃圾回收核心概念实体,堆结构实体,0.886,"老年代中的对象生命周期较长,因此Major GC(也称为Full GC,涉及老年代的垃圾回收)发生的频率相对较低,但其执行时间通常比Minor GC长",别名关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:80:JVM:Minor GC:alias_of:Young GC,JVM:Minor GC,JVM:Young GC,alias_of,Minor GC,Young GC,垃圾回收核心概念实体,垃圾回收核心概念实体,0.926,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",别名关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:111:JVM:gc:alias_of:JVM,JVM:gc,JVM:JVM,alias_of,gc,JVM,领域实体,领域实体,0.842,"直接调用System.gc()或Runtime.getRuntime().gc()方法时,虽然不能保证立即执行,但JVM会尝试执行Full GC",别名关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:112:JVM:gc:alias_of:Major GC,JVM:gc,JVM:Major GC,alias_of,gc,Major GC,领域实体,垃圾回收核心概念实体,0.91,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",别名关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:113:JVM:gc:alias_of:Young GC,JVM:gc,JVM:Young GC,alias_of,gc,Young GC,领域实体,垃圾回收核心概念实体,0.856,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",别名关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:12:JVM:Entry:causes:内存泄漏,JVM:Entry,JVM:内存泄漏,causes,Entry,内存泄漏,代码与容器实体,领域实体,0.742,"如果当前线程迟迟不结束的话,这些key为null的Entry的value就会一直存在一条强引用链:Thread Ref-> Thread-> ThreaLocalMap-> Entry-> value永远无法回收,造成内存泄漏",因果关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
