main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
操作系统,领域实体,56,操作系统,os.txt,操作系统,操作系统,操作系统的概念与地位 | 操作系统的发展历程 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 进程与线程 | 处理器调度与调度算法 | 进程同步、互斥与死锁 | 内存管理与虚拟内存 | 文件系统 | 设备管理与输入输出系统 | 系统安全与保护 | 操作系统课程的学习方法 | 总结,操作系统,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=操作系统；章节=操作系统的概念与地位|操作系统的发展历程|操作系统的主要功能|操作系统的结构与运行机制|进程与线程|处理器调度与调度算法|进程同步、互斥与死锁|内存管理与虚拟内存|文件系统|设备管理与输入输出系统|系统安全与保护|操作系统课程的学习方法|总结
进程,核心抽象实体,41,进程,os.txt,进程,进程,操作系统的概念与地位 | 操作系统的发展历程 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 进程与线程 | 处理器调度与调度算法 | 进程同步、互斥与死锁 | 内存管理与虚拟内存 | 系统安全与保护 | 操作系统课程的学习方法 | 总结,进程,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=进程；章节=操作系统的概念与地位|操作系统的发展历程|操作系统的主要功能|操作系统的结构与运行机制|进程与线程|处理器调度与调度算法|进程同步、互斥与死锁|内存管理与虚拟内存|系统安全与保护|操作系统课程的学习方法|总结
文件,核心抽象实体,33,文件,os.txt,文件,文件,操作系统的概念与地位 | 操作系统的发展历程 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 进程与线程 | 进程同步、互斥与死锁 | 文件系统 | 系统安全与保护 | 操作系统课程的学习方法 | 总结,文件,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=文件；章节=操作系统的概念与地位|操作系统的发展历程|操作系统的主要功能|操作系统的结构与运行机制|进程与线程|进程同步、互斥与死锁|文件系统|系统安全与保护|操作系统课程的学习方法|总结
内存,资源与硬件实体,31,内存,os.txt,内存,内存,操作系统的概念与地位 | 操作系统的发展历程 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 进程与线程 | 内存管理与虚拟内存 | 设备管理与输入输出系统 | 系统安全与保护 | 操作系统课程的学习方法 | 总结,内存,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=内存；章节=操作系统的概念与地位|操作系统的发展历程|操作系统的主要功能|操作系统的结构与运行机制|进程与线程|内存管理与虚拟内存|设备管理与输入输出系统|系统安全与保护|操作系统课程的学习方法|总结
调度,处理器与调度实体,26,调度,os.txt,调度,调度,操作系统的概念与地位 | 操作系统的发展历程 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 进程与线程 | 处理器调度与调度算法 | 内存管理与虚拟内存 | 设备管理与输入输出系统 | 操作系统课程的学习方法 | 总结,调度,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=调度；章节=操作系统的概念与地位|操作系统的发展历程|操作系统的主要功能|操作系统的结构与运行机制|进程与线程|处理器调度与调度算法|内存管理与虚拟内存|设备管理与输入输出系统|操作系统课程的学习方法|总结
页,资源与硬件实体,21,页,os.txt,页,页,操作系统的概念与地位 | 操作系统的结构与运行机制 | 内存管理与虚拟内存 | 操作系统课程的学习方法,页,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=页；章节=操作系统的概念与地位|操作系统的结构与运行机制|内存管理与虚拟内存|操作系统课程的学习方法
文件系统,核心抽象实体,13,文件系统,os.txt,文件系统,文件系统,操作系统的发展历程 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 文件系统 | 操作系统课程的学习方法 | 总结,文件系统,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=文件系统；章节=操作系统的发展历程|操作系统的主要功能|操作系统的结构与运行机制|文件系统|操作系统课程的学习方法|总结
磁盘,资源与硬件实体,13,磁盘,os.txt,磁盘,磁盘,操作系统的概念与地位 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 进程与线程 | 内存管理与虚拟内存 | 文件系统 | 设备管理与输入输出系统,磁盘,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=磁盘；章节=操作系统的概念与地位|操作系统的主要功能|操作系统的结构与运行机制|进程与线程|内存管理与虚拟内存|文件系统|设备管理与输入输出系统
处理器,资源与硬件实体,11,处理器,os.txt,处理器,处理器,操作系统的概念与地位 | 操作系统的发展历程 | 操作系统的主要功能 | 操作系统的结构与运行机制 | 进程与线程 | 处理器调度与调度算法 | 设备管理与输入输出系统 | 总结,处理器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=处理器；章节=操作系统的概念与地位|操作系统的发展历程|操作系统的主要功能|操作系统的结构与运行机制|进程与线程|处理器调度与调度算法|设备管理与输入输出系统|总结
锁,同步与互斥实体,11,锁,os.txt,锁,锁,操作系统的概念与地位 | 进程同步、互斥与死锁 | 操作系统课程的学习方法,锁,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=锁；章节=操作系统的概念与地位|进程同步、互斥与死锁|操作系统课程的学习方法
