head,relation,tail,head_type,tail_type,confidence,evidence,pattern_names,section_titles,source_files,record_count,source_row_ids,source_relations,conflicting_relations,disambiguation_score,disambiguation_method,disambiguation_basis
CPU,is_a,操作系统,资源与硬件实体,领域实体,0.8200,"由于 CPU 是极其宝贵的资源,操作系统必须决定“谁先运行、运行多久、何时切换”",上下位关系,操作系统的主要功能,os.txt,1,28,is_a,,0.7976,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.798, conf=0.820, support=1, cues=上下位"
CPU 利用率,is_a,调度,处理器与调度实体,处理器与调度实体,0.7500,调度的目标通常包括提高 CPU 利用率、增加系统吞吐量、减少周转时间、缩短响应时间和保证公平性,上位包含关系,处理器调度与调度算法,os.txt,1,84,is_a,,0.5978,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.598, conf=0.750, support=1, cues=!包含,!包括"
Deadlock,is_a,进程,死锁相关实体,核心抽象实体,0.8500,"死锁(Deadlock)是指多个进程因争夺资源而形成相互等待,从而都无法继续执行的状态",上下位关系,进程同步、互斥与死锁,os.txt,1,16,is_a,,0.8162,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.816, conf=0.850, support=1, cues=上下位"
FCFS,is_a,调度,调度算法实体,处理器与调度实体,0.6300,"常见的调度算法包括先来先服务(First Come First Served,FCFS)、短作业优先(Shortest Job First,SJF)、时间片轮转(Round Robin,RR)、优先级调度和多级反馈队列(Multilevel Feedback Queue)等",上位包含关系,处理器调度与调度算法,os.txt,1,191,is_a,,0.5234,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.523, conf=0.630, support=1, cues=!包含,!包括"
First Come First Served,is_a,调度,调度算法实体,处理器与调度实体,0.7700,"常见的调度算法包括先来先服务(First Come First Served,FCFS)、短作业优先(Shortest Job First,SJF)、时间片轮转(Round Robin,RR)、优先级调度和多级反馈队列(Multilevel Feedback Queue)等",上位包含关系,处理器调度与调度算法,os.txt,1,63,is_a,,0.6102,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.610, conf=0.770, support=1, cues=!包含,!包括"
Linux,is_a,计算机系统,系统与平台实体,领域实体,0.7960,"从课程学习的角度来看,操作系统并不是单纯介绍某一个具体系统,如 Windows、Linux 或 macOS,而是研究“计算机系统如何高效、安全、可靠地运行”的一般规律",上下位关系,操作系统的概念与地位,os.txt,1,44,is_a,,0.7828,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.783, conf=0.796, support=1, cues=上下位"
Linux 进程与线程,implemented_by,模拟进程调度,核心抽象实体,核心抽象实体,0.7920,"通过编写简单 Shell、模拟进程调度、实现页面置换算法、观察 Linux 进程与线程、分析文件系统命令输出等方式,能够把理论知识与真实系统联系起来",实现关系,操作系统课程的学习方法,os.txt,1,47,implemented_by,,0.7944,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"implemented_by: score=0.794, conf=0.792, support=1, cues=实现关系,实现"
OS,is_a,系统软件,领域实体,领域实体,0.7880,"操作系统(Operating System,简称 OS)是计算机系统中最核心的系统软件之一,它位于硬件与应用程序之间,承担资源管理、任务调度、服务提供和用户接口等重要职责",上下位关系,操作系统的概念与地位,os.txt,1,50,is_a,,0.7778,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.778, conf=0.788, support=1, cues=上下位"
OS,is_a,计算机系统,领域实体,领域实体,0.8480,"操作系统(Operating System,简称 OS)是计算机系统中最核心的系统软件之一,它位于硬件与应用程序之间,承担资源管理、任务调度、服务提供和用户接口等重要职责",上下位关系,操作系统的概念与地位,os.txt,1,17,is_a,,0.8150,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.815, conf=0.848, support=1, cues=上下位"
OS,is_a,资源管理,领域实体,领域实体,0.6600,"操作系统(Operating System,简称 OS)是计算机系统中最核心的系统软件之一,它位于硬件与应用程序之间,承担资源管理、任务调度、服务提供和用户接口等重要职责",上下位关系,操作系统的概念与地位,os.txt,1,169,is_a,,0.6984,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.698, conf=0.660, support=1, cues=上下位"
