head,relation,tail,head_type,tail_type,confidence,evidence,pattern_names,section_titles,source_files,record_count,source_row_ids,source_relations,conflicting_relations,disambiguation_score,disambiguation_method,disambiguation_basis
CMS,is_a,G1,垃圾回收器实体,垃圾回收器实体,0.6980,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,上下位关系,使用ThreadLocal,JVM.txt,1,299,is_a,,0.7220,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.722, conf=0.698, support=1, cues=上下位"
CMS,is_a,ParNew,垃圾回收器实体,垃圾回收器实体,0.6980,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,300,is_a,,0.7220,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.722, conf=0.698, support=1, cues=上下位"
CMS,is_a,Serial,垃圾回收器实体,垃圾回收器实体,0.7400,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,213,is_a,,0.7480,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.748, conf=0.740, support=1, cues=上下位"
CMS,is_a,使用,垃圾回收器实体,类加载过程实体,0.8560,"CMS收集器是使用“标记-清除”算法进行的垃圾回收,容易产生内存碎片",上下位关系,使用ThreadLocal,JVM.txt,1,14,is_a,,0.8200,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.820, conf=0.856, support=1, cues=上下位"
CMS,is_a,内存碎片,垃圾回收器实体,场景与问题实体,0.7180,"CMS收集器是使用“标记-清除”算法进行的垃圾回收,容易产生内存碎片",上下位关系,使用ThreadLocal,JVM.txt,1,250,is_a,,0.7344,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.734, conf=0.718, support=1, cues=上下位"
CMS,is_a,垃圾回收,垃圾回收器实体,领域实体,0.7780,"CMS产生浮动垃圾过多时会退化为serial old,效率低,因为在上图的第四阶段,CMS清除垃圾时是并发清除的,这个时候,垃圾回收线程和用户线程同时工作会产生浮动垃圾,也就意味着CMS垃圾回收器必须预留一部分内存空间用于存放浮动垃圾",上下位关系,使用ThreadLocal,JVM.txt,1,123,is_a,,0.7440,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.744, conf=0.778, support=1, cues=上下位,!用于"
CMS,is_a,新生代,垃圾回收器实体,堆结构实体,0.7840,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,109,is_a,,0.7753,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.775, conf=0.784, support=1, cues=上下位"
CMS,is_a,线程,垃圾回收器实体,线程与私有性相关实体,0.7540,"CMS产生浮动垃圾过多时会退化为serial old,效率低,因为在上图的第四阶段,CMS清除垃圾时是并发清除的,这个时候,垃圾回收线程和用户线程同时工作会产生浮动垃圾,也就意味着CMS垃圾回收器必须预留一部分内存空间用于存放浮动垃圾",上下位关系,使用ThreadLocal,JVM.txt,1,177,is_a,,0.7291,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.729, conf=0.754, support=1, cues=上下位,!用于"
CMS,is_a,老年代,垃圾回收器实体,堆结构实体,0.8560,"CMS收集器是老年代的收集器,可以配合新生代的Serial和ParNew收集器一起使用",上下位关系,使用ThreadLocal,JVM.txt,1,15,is_a,,0.8200,relation_taxonomy_normalization + direction_normalization + duplicate_merge,"is_a: score=0.820, conf=0.856, support=1, cues=上下位"
CMS,used_for,浮动垃圾,垃圾回收器实体,垃圾回收核心概念实体,0.7400,"CMS产生浮动垃圾过多时会退化为serial old,效率低,因为在上图的第四阶段,CMS清除垃圾时是并发清除的,这个时候,垃圾回收线程和用户线程同时工作会产生浮动垃圾,也就意味着CMS垃圾回收器必须预留一部分内存空间用于存放浮动垃圾",用途关系,使用ThreadLocal,JVM.txt,1,214 | 328,used_for | is_a,is_a,0.7541,relation_taxonomy_normalization + direction_normalization + evidence_weighted_relation_voting,"used_for: score=0.754, conf=0.740, support=1, cues=用途,用于；is_a: score=0.683, conf=0.680, support=1, cues=上下位,!用于"
