head,relation,tail,head_type,tail_type,evidence,pattern_name,section_title,source_file,confidence,method
Runnable,implements,Thread,线程与并发实体,线程与并发实体,创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask),实现关系,线程与并发,java.txt,0.846,relation_disambiguation_normalized
ArrayList,implements,List,集合框架实体,集合框架实体,"List的实现类:ArrayList(数组结构,查询快增删慢)、LinkedList(链表结构,增删快查询慢)、Vector(线程安全,较少用)",实现关系,集合框架,java.txt,0.84,relation_disambiguation_normalized
Callable,implements,Runnable,线程与并发实体,线程与并发实体,创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask),实现关系,线程与并发,java.txt,0.84,relation_disambiguation_normalized
HashMap,implements,Map,集合框架实体,集合框架实体,"Map的实现类:HashMap(无序,允许null键值)、Hashtable(线程安全,不允许null)、TreeMap(有序)、LinkedHashMap(保持插入顺序)",实现关系,集合框架,java.txt,0.84,relation_disambiguation_normalized
HashSet,implements,Set,集合框架实体,集合框架实体,"Set的实现类:HashSet(无序,基于HashMap)、LinkedHashSet(有序)、TreeSet(排序,基于红黑树)",实现关系,集合框架,java.txt,0.84,relation_disambiguation_normalized
Runnable,implements,继承,线程与并发实体,面向对象核心实体,创建线程的方式:继承Thread类、实现Runnable接口、实现Callable接口(配合FutureTask),实现关系,线程与并发,java.txt,0.83,relation_disambiguation_normalized
元注解,used_for,注解,领域实体,领域实体,元注解(用于注解的注解):@Retention、@Target、@Documented、@Inherited,用途关系,注解,java.txt,0.822,relation_disambiguation_normalized
接口,implements,抽象类,数据类型实体,数据类型实体,"一个类只能继承一个抽象类,但可以实现多个接口",实现关系,抽象类与接口,java.txt,0.822,relation_disambiguation_normalized
Object,is_a,对象,面向对象核心实体,面向对象核心实体,"类(Class)和对象(Object)的关系:类是对象的模板,对象是类的实例",上下位关系,面向对象基础,java.txt,0.818,relation_disambiguation_normalized
HashSet,depends_on,HashMap,集合框架实体,集合框架实体,"Set的实现类:HashSet(无序,基于HashMap)、LinkedHashSet(有序)、TreeSet(排序,基于红黑树)",依赖关系,集合框架,java.txt,0.814,relation_disambiguation_normalized
TreeSet,depends_on,红黑树,集合框架实体,集合框架实体,"Set的实现类:HashSet(无序,基于HashMap)、LinkedHashSet(有序)、TreeSet(排序,基于红黑树)",依赖关系,集合框架,java.txt,0.814,relation_disambiguation_normalized
多态的表现形式,has_part,父类引用,面向对象核心实体,数据类型实体,多态的表现形式:父类引用指向子类对象、接口引用指向实现类对象,枚举结构关系,继承与多态,java.txt,0.804,relation_disambiguation_normalized
接口,has_part,List,数据类型实体,集合框架实体,Collection接口的子接口:List(有序可重复)、Set(无序不重复)、Queue(队列),枚举结构关系,集合框架,java.txt,0.804,relation_disambiguation_normalized
接口,has_part,ReentrantLock,数据类型实体,线程与并发实体,"Lock接口:ReentrantLock,提供更灵活的锁操作(tryLock、lockInterruptibly等)",枚举结构关系,线程与并发,java.txt,0.804,relation_disambiguation_normalized
数组的创建,has_part,new,数据类型实体,关键字与修饰符实体,"数组的创建:new int[10] 或 {1,2,3}",枚举结构关系,数组,java.txt,0.804,relation_disambiguation_normalized
核心类,has_part,Class,数据类型实体,面向对象核心实体,核心类:Class、Method、Field、Constructor,枚举结构关系,反射,java.txt,0.804,relation_disambiguation_normalized
注解,has_part,@Override,领域实体,注解实体,内置注解:@Override、@Deprecated、@SuppressWarnings、@FunctionalInterface,枚举结构关系,注解,java.txt,0.804,relation_disambiguation_normalized
类加载器,has_part,Bootstrap ClassLoader,数据类型实体,JVM 与内存管理实体,"类加载器:Bootstrap ClassLoader、Extension ClassLoader、Application ClassLoader,双亲委派模型",枚举结构关系,JVM基础,java.txt,0.804,relation_disambiguation_normalized
类加载机制,has_part,加载,数据类型实体,JVM 与内存管理实体,类加载机制:加载、验证、准备、解析、初始化,枚举结构关系,JVM基础,java.txt,0.804,relation_disambiguation_normalized
