head,relation,tail,head_type,tail_type,evidence,pattern_name,source_file,confidence,method
处理器,alias_of,用户态,资源与硬件实体,核心抽象实体,操作系统运行离不开两种处理器状态，即用户态和内核态,别名关系,os.txt,0.946,rule_pattern_sentence_level
进程,alias_of,Thrashing,核心抽象实体,虚拟内存与页面置换实体,课程中还会讨论抖动（Thrashing）现象，即进程频繁换页导致系统大部分时间都用于页面调度而非真正计算，这反映出内存管理与系统性能之间的紧密联系,别名关系,os.txt,0.94,rule_pattern_sentence_level
内存,alias_of,页面置换算法,资源与硬件实体,资源与硬件实体,与虚拟内存密切相关的是页面置换算法，即当内存已满而仍需调入新页面时，系统应选择哪个旧页面换出,别名关系,os.txt,0.932,rule_pattern_sentence_level
处理器,alias_of,内核态,资源与硬件实体,领域实体,操作系统运行离不开两种处理器状态，即用户态和内核态,别名关系,os.txt,0.922,rule_pattern_sentence_level
用户态,alias_of,操作系统,核心抽象实体,领域实体,操作系统运行离不开两种处理器状态，即用户态和内核态,别名关系,os.txt,0.886,rule_pattern_sentence_level
内存,alias_of,虚拟内存,资源与硬件实体,核心抽象实体,与虚拟内存密切相关的是页面置换算法，即当内存已满而仍需调入新页面时，系统应选择哪个旧页面换出,别名关系,os.txt,0.88,rule_pattern_sentence_level
进程,alias_of,课程中还会讨论抖动,核心抽象实体,虚拟内存与页面置换实体,课程中还会讨论抖动（Thrashing）现象，即进程频繁换页导致系统大部分时间都用于页面调度而非真正计算，这反映出内存管理与系统性能之间的紧密联系,别名关系,os.txt,0.88,rule_pattern_sentence_level
Process,is_a,操作系统,进程与线程实体,领域实体,进程（Process）是操作系统课程中最重要的概念之一,上下位关系,os.txt,0.868,rule_pattern_sentence_level
Virtual Memory,is_a,操作系统,虚拟内存与页面置换实体,领域实体,虚拟内存（Virtual Memory）是操作系统的一项重要技术，它使程序不必全部装入内存即可运行,上下位关系,os.txt,0.868,rule_pattern_sentence_level
并发,implemented_by,进程与线程,核心思想与性质实体,核心抽象实体,它通过进程与线程机制实现并发执行，通过调度算法提高处理器利用率，通过同步与互斥保证共享资源访问正确，通过内存管理和虚拟内存扩展系统能力，通过文件系统组织长期数据，通过设备管理协调各种外设工作，并通过权限控制和安全机制维护系统稳定,实现关系,os.txt,0.866,rule_pattern_sentence_level
内存,is_a,操作系统,资源与硬件实体,领域实体,内存管理是操作系统中技术性很强的一部分,上下位关系,os.txt,0.862,rule_pattern_sentence_level
驱动程序,is_a,操作系统,设备管理与I/O实体,领域实体,驱动程序是连接操作系统与具体硬件的桥梁，它把操作系统的通用 I/O 请求转换为特定设备可识别的控制命令,上下位关系,os.txt,0.862,rule_pattern_sentence_level
操作系统,depends_on,中断,领域实体,处理器与调度实体,同时，操作系统依赖中断和异常机制响应外部设备和内部错误,依赖关系,os.txt,0.858,rule_pattern_sentence_level
Thread,is_a,进程,进程与线程实体,核心抽象实体,线程（Thread）则是比进程更轻量的执行单位，通常被称为 CPU 调度的基本单位,上下位关系,os.txt,0.856,rule_pattern_sentence_level
进程同步,is_a,操作系统,核心抽象实体,领域实体,因此，进程同步与互斥是操作系统课程中的重点与难点,上下位关系,os.txt,0.856,rule_pattern_sentence_level
并发,implemented_by,操作系统,核心思想与性质实体,领域实体,调度是操作系统实现“多任务并发”的核心机制,实现关系,os.txt,0.854,rule_pattern_sentence_level
Deadlock,is_a,进程,死锁相关实体,核心抽象实体,死锁（Deadlock）是指多个进程因争夺资源而形成相互等待，从而都无法继续执行的状态,上下位关系,os.txt,0.85,rule_pattern_sentence_level
OS,is_a,计算机系统,领域实体,领域实体,操作系统（Operating System，简称 OS）是计算机系统中最核心的系统软件之一，它位于硬件与应用程序之间，承担资源管理、任务调度、服务提供和用户接口等重要职责,上下位关系,os.txt,0.848,rule_pattern_sentence_level
macOS,is_a,计算机系统,系统与平台实体,领域实体,从课程学习的角度来看，操作系统并不是单纯介绍某一个具体系统，如 Windows、Linux 或 macOS，而是研究“计算机系统如何高效、安全、可靠地运行”的一般规律,上下位关系,os.txt,0.844,rule_pattern_sentence_level
虚拟内存,is_a,页面置换算法,核心抽象实体,资源与硬件实体,与虚拟内存密切相关的是页面置换算法，即当内存已满而仍需调入新页面时，系统应选择哪个旧页面换出,上下位关系,os.txt,0.844,rule_pattern_sentence_level
内核态,alias_of,操作系统,领域实体,领域实体,操作系统运行离不开两种处理器状态，即用户态和内核态,别名关系,os.txt,0.842,rule_pattern_sentence_level
系统调用,is_a,内核态,领域实体,领域实体,系统调用是用户态与内核态交互的主要桥梁，也是课程中的关键知识点,上下位关系,os.txt,0.83,rule_pattern_sentence_level
