entity,attribute_name,attribute_value,section_title,source_file,evidence,confidence,method
StackOverFlowError,特性,JVM,全文,JVM.txt,"栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同",0.892,attribute_disambiguation_normalized
初始标记阶段,特性,GC Roots,使用ThreadLocal,JVM.txt,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",0.892,attribute_disambiguation_normalized
String,特性,Extension ClassLoader,使用ThreadLocal,JVM.txt,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",0.88,attribute_disambiguation_normalized
并发标记,特性,GC Roots,使用ThreadLocal,JVM.txt,"并发标记阶段:并发标记阶段是指从GC Roots开始对堆中对象进行可达性分析,找出存活对象",0.88,attribute_disambiguation_normalized
直接内存,特性,JVM,全文,JVM.txt,"直接内存:不属于 JVM 运行时数据区的一部分,通过 NIO 类引入,是一种堆外内存,可以显著提高 I/O 性能",0.88,attribute_disambiguation_normalized
新生代,特性,CMS,使用ThreadLocal,JVM.txt,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,0.862,attribute_disambiguation_normalized
新生代,特性,Serial,使用ThreadLocal,JVM.txt,"ParNew收集器 (复制算法): 新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",0.85,attribute_disambiguation_normalized
ThreadLocalMap,特性,ThreadLocal,使用ThreadLocal,JVM.txt,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",0.842,attribute_disambiguation_normalized
Java 虚拟机,特性,VerifyError,使用ThreadLocal,JVM.txt,"验证(Verification),这是虚拟机安全的重要保障,JVM 需要核验字节信息是符合 Java 虚拟机规范的,否则就被认为是 VerifyError,这样就防止了恶意信息或者不合规的信息危害 JVM 的运行,验证阶段有可能触发更多 class 的加载",0.838,attribute_disambiguation_normalized
并发标记,特性,STW,使用ThreadLocal,JVM.txt,"并发标记耗时相对长很多,但因为不是STW,所以我们不太关心该阶段耗时的长短",0.832,attribute_disambiguation_normalized
内存溢出,特性,JVM,全文,JVM.txt,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",0.83,attribute_disambiguation_normalized
虚拟机栈,特性,GC Roots,使用ThreadLocal,JVM.txt,GC Roots对象包括:虚拟机栈(栈帧中的本地变量表)中引用的对象、方法区中类静态属性引用的对象、本地方法栈中JNI(Java Native Interface)引用的对象、活跃线程的引用等,0.83,attribute_disambiguation_normalized
Concurrent Mark Sweep,收集器(标记-清除算法,"老年代并行收集器,以获取最短回收停顿时间为目标的收集器,具有高并发、低停顿的特点,追求最短GC回收停顿时间",使用ThreadLocal,JVM.txt,"CMS(Concurrent Mark Sweep)收集器(标记-清除算法): 老年代并行收集器,以获取最短回收停顿时间为目标的收集器,具有高并发、低停顿的特点,追求最短GC回收停顿时间",0.82,attribute_disambiguation_normalized
Java 堆,特性,JVM,全文,JVM.txt,"Java堆(Heap)是Java虚拟机(JVM)中内存管理的一个重要区域,主要用于存放对象实例和数组",0.82,attribute_disambiguation_normalized
Metaspace,属性,"从Java 8开始,永久代(Permanent Generation)被元空间取代,用于存储类的元数据信息,如类的结构信息(如字段、方法信息等",全文,JVM.txt,"元空间(Metaspace):从Java 8开始,永久代(Permanent Generation)被元空间取代,用于存储类的元数据信息,如类的结构信息(如字段、方法信息等)",0.82,attribute_disambiguation_normalized
Parallel Old,收集器(标记-整理算法,"老年代并行收集器,吞吐量优先,Parallel Scavenge收集器的老年代版本",使用ThreadLocal,JVM.txt,"Parallel Old收集器 (标记-整理算法): 老年代并行收集器,吞吐量优先,Parallel Scavenge收集器的老年代版本;",0.82,attribute_disambiguation_normalized
Parallel Scavenge,收集器(复制算法,"新生代并行收集器,追求高吞吐量,高效利用 CPU",使用ThreadLocal,JVM.txt,"Parallel Scavenge收集器 (复制算法): 新生代并行收集器,追求高吞吐量,高效利用 CPU",0.82,attribute_disambiguation_normalized
Serial,收集器(复制算法,"新生代单线程收集器,标记和清理都是单线程,优点是简单高效",使用ThreadLocal,JVM.txt,"Serial收集器(复制算法): 新生代单线程收集器,标记和清理都是单线程,优点是简单高效;",0.82,attribute_disambiguation_normalized
Young Generation,属性,新生代分为Eden Space和Survivor Space,全文,JVM.txt,新生代(Young Generation):新生代分为Eden Space和Survivor Space,0.82,attribute_disambiguation_normalized
事件监听,属性,"未取消对事件源的监听,导致对象持续被引用",全文,JVM.txt,"事件监听:未取消对事件源的监听,导致对象持续被引用",0.82,attribute_disambiguation_normalized
使用,属性,"对象被引用并执行相应的操作,可以通过引用访问对象的属性和方法,在程序运行过程中被不断使用",使用ThreadLocal,JVM.txt,"使用:对象被引用并执行相应的操作,可以通过引用访问对象的属性和方法,在程序运行过程中被不断使用",0.82,attribute_disambiguation_normalized
使用,属性,使用类或者创建对象,使用ThreadLocal,JVM.txt,使用:使用类或者创建对象,0.82,attribute_disambiguation_normalized
元空间,Metaspace,"从Java 8开始,永久代(Permanent Generation)被元空间取代,用于存储类的元数据信息,如类的结构信息(如字段、方法信息等",全文,JVM.txt,"元空间(Metaspace):从Java 8开始,永久代(Permanent Generation)被元空间取代,用于存储类的元数据信息,如类的结构信息(如字段、方法信息等)",0.82,attribute_disambiguation_normalized
内存泄漏,属性,比如静态集合无意识地缓存了大量对象、长生命周期对象持有短生命周期对象的引用(如单例类持有业务对象)等,全文,JVM.txt,如果是内存泄漏:比如静态集合无意识地缓存了大量对象、长生命周期对象持有短生命周期对象的引用(如单例类持有业务对象)等,0.82,attribute_disambiguation_normalized
内存碎片,敏感,"G1通过紧凑整理来减少内存碎片,降低了碎片化对性能的影响",使用ThreadLocal,JVM.txt,"对内存碎片敏感:G1通过紧凑整理来减少内存碎片,降低了碎片化对性能的影响",0.82,attribute_disambiguation_normalized
再标记阶段,属性,重新标记那些在并发标记阶段发生变化的对象,使用ThreadLocal,JVM.txt,再标记阶段:重新标记那些在并发标记阶段发生变化的对象,0.82,attribute_disambiguation_normalized
准备,属性,"为类中的静态字段分配内存,并设置默认的初始值,比如int类型初始值是0",使用ThreadLocal,JVM.txt,"准备:为类中的静态字段分配内存,并设置默认的初始值,比如int类型初始值是0",0.82,attribute_disambiguation_normalized
分代回收,属性,分代收集是将内存划分成了新生代和老年代,使用ThreadLocal,JVM.txt,分代回收算法:分代收集是将内存划分成了新生代和老年代,0.82,attribute_disambiguation_normalized
加载该类,的ClassLoader已经被回收,这是最关键也是最难满足的条件,使用ThreadLocal,JVM.txt,加载该类的ClassLoader已经被回收:这是最关键也是最难满足的条件,0.82,attribute_disambiguation_normalized
卸载,属性,"一个类要被JVM卸载,条件非常苛刻,需要同时满足以下三点",使用ThreadLocal,JVM.txt,"卸载:一个类要被JVM卸载,条件非常苛刻,需要同时满足以下三点:",0.82,attribute_disambiguation_normalized
复制算法,属性,"把内存分成两块,每次只用其中一块,回收时把存活对象复制到另一块,然后清空当前块",使用ThreadLocal,JVM.txt,"还有 “复制算法”:把内存分成两块,每次只用其中一块,回收时把存活对象复制到另一块,然后清空当前块",0.82,attribute_disambiguation_normalized
复制算法,属性,"为了解决碎片空间的问题,出现了“复制算法",使用ThreadLocal,JVM.txt,"复制算法:为了解决碎片空间的问题,出现了“复制算法”",0.82,attribute_disambiguation_normalized
大堆内存,属性,"适用于需要管理大内存堆的场景,能够有效处理数GB以上的堆内存",使用ThreadLocal,JVM.txt,"大堆内存:适用于需要管理大内存堆的场景,能够有效处理数GB以上的堆内存",0.82,attribute_disambiguation_normalized
新生代,Young Generation,新生代分为Eden Space和Survivor Space,全文,JVM.txt,新生代(Young Generation):新生代分为Eden Space和Survivor Space,0.82,attribute_disambiguation_normalized
方法字节码,属性,"存储类的方法字节码,即编译后的代码",全文,JVM.txt,"方法字节码:存储类的方法字节码,即编译后的代码",0.82,attribute_disambiguation_normalized
