input_file,input_row_id,original_head,original_relation,original_tail,canonical_head,canonical_relation,canonical_tail,kept_relation,decision,canonicalization_actions,candidate_relations,winner_score,runner_up_score,score_margin,basis,evidence
os.csv,0,处理器,alias_of,用户态,处理器,alias_of,用户态,alias_of,kept,,alias_of,0.8848,,,"alias_of: score=0.885, conf=0.946, support=1, cues=别名","操作系统运行离不开两种处理器状态,即用户态和内核态"
os.csv,1,进程,alias_of,Thrashing,Thrashing,alias_of,进程,alias_of,canonicalized,symmetric_relation_order,alias_of,0.8258,,,"alias_of: score=0.826, conf=0.940, support=1, cues=别名,!用于,!导致","课程中还会讨论抖动(Thrashing)现象,即进程频繁换页导致系统大部分时间都用于页面调度而非真正计算,这反映出内存管理与系统性能之间的紧密联系"
os.csv,2,内存,alias_of,页面置换算法,内存,alias_of,页面置换算法,alias_of,kept,,alias_of,0.8761,,,"alias_of: score=0.876, conf=0.932, support=1, cues=别名","与虚拟内存密切相关的是页面置换算法,即当内存已满而仍需调入新页面时,系统应选择哪个旧页面换出"
os.csv,3,处理器,alias_of,内核态,内核态,alias_of,处理器,alias_of,canonicalized,symmetric_relation_order,alias_of,0.8699,,,"alias_of: score=0.870, conf=0.922, support=1, cues=别名","操作系统运行离不开两种处理器状态,即用户态和内核态"
os.csv,4,用户态,alias_of,操作系统,操作系统,alias_of,用户态,alias_of,canonicalized,symmetric_relation_order,alias_of,0.8476,,,"alias_of: score=0.848, conf=0.886, support=1, cues=别名","操作系统运行离不开两种处理器状态,即用户态和内核态"
os.csv,5,内存,alias_of,虚拟内存,内存,alias_of,虚拟内存,alias_of,kept,,alias_of,0.8438,,,"alias_of: score=0.844, conf=0.880, support=1, cues=别名","与虚拟内存密切相关的是页面置换算法,即当内存已满而仍需调入新页面时,系统应选择哪个旧页面换出"
os.csv,6,进程,alias_of,课程中还会讨论抖动,课程中还会讨论抖动,alias_of,进程,alias_of,canonicalized,symmetric_relation_order,alias_of,0.7886,,,"alias_of: score=0.789, conf=0.880, support=1, cues=别名,!用于,!导致","课程中还会讨论抖动(Thrashing)现象,即进程频繁换页导致系统大部分时间都用于页面调度而非真正计算,这反映出内存管理与系统性能之间的紧密联系"
os.csv,7,Process,is_a,操作系统,Process,is_a,操作系统,is_a,kept,,is_a,0.8274,,,"is_a: score=0.827, conf=0.868, support=1, cues=上下位",进程(Process)是操作系统课程中最重要的概念之一
os.csv,8,Virtual Memory,is_a,操作系统,Virtual Memory,is_a,操作系统,is_a,kept,,is_a,0.8274,,,"is_a: score=0.827, conf=0.868, support=1, cues=上下位","虚拟内存(Virtual Memory)是操作系统的一项重要技术,它使程序不必全部装入内存即可运行"
os.csv,9,并发,implemented_by,进程与线程,并发,implemented_by,进程与线程,implemented_by,kept,,implemented_by,0.8403,,,"implemented_by: score=0.840, conf=0.866, support=1, cues=实现关系,实现","它通过进程与线程机制实现并发执行,通过调度算法提高处理器利用率,通过同步与互斥保证共享资源访问正确,通过内存管理和虚拟内存扩展系统能力,通过文件系统组织长期数据,通过设备管理协调各种外设工作,并通过权限控制和安全机制维护系统稳定"
os.csv,10,内存,is_a,操作系统,内存,is_a,操作系统,is_a,kept,,is_a,0.8237,,,"is_a: score=0.824, conf=0.862, support=1, cues=上下位",内存管理是操作系统中技术性很强的一部分
os.csv,11,驱动程序,is_a,操作系统,驱动程序,is_a,操作系统,is_a,kept,,is_a,0.8237,,,"is_a: score=0.824, conf=0.862, support=1, cues=上下位","驱动程序是连接操作系统与具体硬件的桥梁,它把操作系统的通用 I/O 请求转换为特定设备可识别的控制命令"
os.csv,12,操作系统,depends_on,中断,操作系统,depends_on,中断,depends_on,kept,,depends_on,0.8132,,,"depends_on: score=0.813, conf=0.858, support=1, cues=依赖","同时,操作系统依赖中断和异常机制响应外部设备和内部错误"
os.csv,13,Thread,is_a,进程,Thread,is_a,进程,is_a,kept,,is_a,0.8200,,,"is_a: score=0.820, conf=0.856, support=1, cues=上下位","线程(Thread)则是比进程更轻量的执行单位,通常被称为 CPU 调度的基本单位"
os.csv,14,进程同步,is_a,操作系统,进程同步,is_a,操作系统,is_a,kept,,is_a,0.8200,,,"is_a: score=0.820, conf=0.856, support=1, cues=上下位","因此,进程同步与互斥是操作系统课程中的重点与难点"
os.csv,15,并发,implemented_by,操作系统,并发,implemented_by,操作系统,implemented_by,kept,,implemented_by,0.8328,,,"implemented_by: score=0.833, conf=0.854, support=1, cues=实现关系,实现",调度是操作系统实现“多任务并发”的核心机制
os.csv,16,Deadlock,is_a,进程,Deadlock,is_a,进程,is_a,kept,,is_a,0.8162,,,"is_a: score=0.816, conf=0.850, support=1, cues=上下位","死锁(Deadlock)是指多个进程因争夺资源而形成相互等待,从而都无法继续执行的状态"
os.csv,17,OS,is_a,计算机系统,OS,is_a,计算机系统,is_a,kept,,is_a,0.8150,,,"is_a: score=0.815, conf=0.848, support=1, cues=上下位","操作系统(Operating System,简称 OS)是计算机系统中最核心的系统软件之一,它位于硬件与应用程序之间,承担资源管理、任务调度、服务提供和用户接口等重要职责"
os.csv,18,macOS,is_a,计算机系统,macOS,is_a,计算机系统,is_a,kept,,is_a,0.8125,,,"is_a: score=0.813, conf=0.844, support=1, cues=上下位","从课程学习的角度来看,操作系统并不是单纯介绍某一个具体系统,如 Windows、Linux 或 macOS,而是研究“计算机系统如何高效、安全、可靠地运行”的一般规律"
os.csv,19,虚拟内存,is_a,页面置换算法,虚拟内存,is_a,页面置换算法,is_a,kept,,is_a,0.8125,,,"is_a: score=0.813, conf=0.844, support=1, cues=上下位","与虚拟内存密切相关的是页面置换算法,即当内存已满而仍需调入新页面时,系统应选择哪个旧页面换出"
os.csv,20,内核态,alias_of,操作系统,内核态,alias_of,操作系统,alias_of,kept,,alias_of,0.8203,,,"alias_of: score=0.820, conf=0.842, support=1, cues=别名","操作系统运行离不开两种处理器状态,即用户态和内核态"
os.csv,21,系统调用,is_a,内核态,系统调用,is_a,内核态,is_a,kept,,is_a,0.8038,,,"is_a: score=0.804, conf=0.830, support=1, cues=上下位","系统调用是用户态与内核态交互的主要桥梁,也是课程中的关键知识点"
os.csv,22,页面置换算法,implemented_by,简单 Shell,页面置换算法,implemented_by,简单 Shell,implemented_by,kept,,implemented_by,0.8179,,,"implemented_by: score=0.818, conf=0.830, support=1, cues=实现关系,实现","通过编写简单 Shell、模拟进程调度、实现页面置换算法、观察 Linux 进程与线程、分析文件系统命令输出等方式,能够把理论知识与真实系统联系起来"
os.csv,23,文件系统,is_a,操作系统,文件系统,is_a,操作系统,is_a,kept,,is_a,0.8014,,,"is_a: score=0.801, conf=0.826, support=1, cues=上下位",文件系统是用户感知最直接的操作系统功能之一
os.csv,24,权限,is_a,稳定性,权限,is_a,稳定性,is_a,kept,,is_a,0.8014,,,"is_a: score=0.801, conf=0.826, support=1, cues=上下位",这种权限分离机制是保障系统稳定性和安全性的基础
os.csv,25,内存,implemented_by,死锁,内存,implemented_by,死锁,implemented_by,kept,,implemented_by,0.8142,,,"implemented_by: score=0.814, conf=0.824, support=1, cues=实现关系,实现","它既关注理论问题,例如进程同步为何会产生死锁,也关注工程实现,例如内存如何分页、磁盘如何调度"
os.csv,26,安全性判断,is_a,银行家算法,安全性判断,is_a,银行家算法,is_a,kept,,is_a,0.8001,,,"is_a: score=0.800, conf=0.824, support=1, cues=上下位","避免则是在分配资源前进行安全性判断,典型方法是银行家算法(Banker’s Algorithm)"
os.csv,27,并发能力,used_for,图形界面程序,并发能力,used_for,图形界面程序,used_for,kept,,used_for,0.8223,,,"used_for: score=0.822, conf=0.824, support=1, cues=用途,用于,适用于","多线程机制有助于提升程序并发能力,尤其适用于图形界面程序、服务器程序和并行计算任务"
