id,nodeId,entity,attributeName,attributeValue,valueCount,confidence,evidence,sourceFile,sectionTitle,domain,method
attr:7:JVM:GC:概念定义,JVM:GC,GC,概念定义,"最昂贵的操作,因为它需要停止所有的工作线程(Stop The World),遍历整个堆内存来查找和回收不再使用的对象,因此应尽量减少Full GC的触发",1,0.92,"特点:Full GC是最昂贵的操作,因为它需要停止所有的工作线程(Stop The World),遍历整个堆内存来查找和回收不再使用的对象,因此应尽量减少Full GC的触发",JVM.txt,,JVM,直接保留单值
attr:10:JVM:ParNew:概念定义,JVM:ParNew,ParNew,概念定义,CMS默认的新生代垃圾回收器)和G1垃圾回收器中,1,0.92,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,JVM.txt,,JVM,直接保留单值
attr:13:JVM:key:概念定义,JVM:key,key,概念定义,"ThreadLocal实例本身,value是真正需要存储的Object",1,0.92,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",JVM.txt,,JVM,直接保留单值
attr:1:JVM:内存泄漏:概念定义,JVM:内存泄漏,内存泄漏,概念定义,"指程序在运行过程中不再使用的对象仍然被引用,而无法被垃圾收集器回收,从而导致可用内存逐渐减少",2,0.92,"内存泄露:内存泄漏是指程序在运行过程中不再使用的对象仍然被引用,而无法被垃圾收集器回收,从而导致可用内存逐渐减少",JVM.txt,,JVM,基于 Jaccard Token Overlap 的贪心融合
attr:2:JVM:内存溢出:概念定义,JVM:内存溢出,内存溢出,概念定义,"指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",2,0.92,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",JVM.txt,,JVM,基于 Jaccard Token Overlap 的贪心融合
attr:19:JVM:分代收集:概念定义,JVM:分代收集,分代收集,概念定义,将内存划分成了新生代和老年代,1,0.92,分代回收算法:分代收集是将内存划分成了新生代和老年代,JVM.txt,,JVM,直接保留单值
attr:20:JVM:初始化:概念定义,JVM:初始化,初始化,概念定义,"整个类加载过程的最后一个阶段,初始化阶段简单来说就是执行类的构造器方法(()),要注意的是这里的构造器方法()并不是开发者写的,而是编译器自动生成的",1,0.92,"初始化:初始化是整个类加载过程的最后一个阶段,初始化阶段简单来说就是执行类的构造器方法(()),要注意的是这里的构造器方法()并不是开发者写的,而是编译器自动生成的",JVM.txt,,JVM,直接保留单值
attr:3:JVM:初始标记阶段:概念定义,JVM:初始标记阶段,初始标记阶段,概念定义,"指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",2,0.92,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",JVM.txt,,JVM,基于 Jaccard Token Overlap 的贪心融合
attr:21:JVM:加载阶段:概念定义,JVM:加载阶段,加载阶段,概念定义,"用户参与的阶段,我们可以自定义类加载器,去实现自己的类加载过程",1,0.92,"加载阶段是用户参与的阶段,我们可以自定义类加载器,去实现自己的类加载过程",JVM.txt,,JVM,直接保留单值
attr:4:JVM:大对象:概念定义,JVM:大对象,大对象,概念定义,"指需要大量连续内存空间的对象,如大数组",2,0.92,"大对象是指需要大量连续内存空间的对象,如大数组",JVM.txt,,JVM,基于 Jaccard Token Overlap 的贪心融合
attr:25:JVM:弱引用:概念定义,JVM:弱引用,弱引用,概念定义,通过Java.lang.ref.WeakReference类实现的,1,0.92,"在Java中,弱引用是通过Java.lang.ref.WeakReference类实现的",JVM.txt,,JVM,直接保留单值
attr:26:JVM:弱引用:用途作用,JVM:弱引用,弱引用,用途作用,"实现缓存,特别是当希望缓存项能够在内存压力下自动释放时",1,0.85,"缓存系统:弱引用常用于实现缓存,特别是当希望缓存项能够在内存压力下自动释放时",JVM.txt,,JVM,直接保留单值
attr:33:JVM:新生代:用途作用,JVM:新生代,新生代,用途作用,"存放生命周期较短的对象,并且其内存空间相对较小",1,0.85,"新生代主要用于存放生命周期较短的对象,并且其内存空间相对较小",JVM.txt,,JVM,直接保留单值
attr:34:JVM:方法区:概念定义,JVM:方法区,方法区,概念定义,用于存储类信息、常量、静态变量等数据的区域,1,0.92,方法区(Method Area):方法区是用于存储类信息、常量、静态变量等数据的区域,JVM.txt,,JVM,直接保留单值
attr:35:JVM:符号引用:概念定义,JVM:符号引用,符号引用,概念定义,"以一组符号来描述所引用的目标,符号可以是任何形式的字面量,只要使用的时候可以无歧义地定位到目标即可",1,0.92,"符号引用是以一组符号来描述所引用的目标,符号可以是任何形式的字面量,只要使用的时候可以无歧义地定位到目标即可",JVM.txt,,JVM,直接保留单值
attr:39:JVM:转移阶段:概念定义,JVM:转移阶段,转移阶段,概念定义,"STW的,其中内存分配通常耗时非常短,但对象成员变量的复制耗时有可能较长,这是因为复制耗时与存活对象数量与对象复杂度成正比",1,0.92,"转移阶段是STW的,其中内存分配通常耗时非常短,但对象成员变量的复制耗时有可能较长,这是因为复制耗时与存活对象数量与对象复杂度成正比",JVM.txt,,JVM,直接保留单值
attr:17:data_structure:二叉树:概念定义,data_structure:二叉树,二叉树,概念定义,"一种特殊的树结构,每个节点最多有两个子节点",1,0.92,"二叉树是一种特殊的树结构,每个节点最多有两个子节点",data_structure.txt,,data_structure,直接保留单值
attr:22:data_structure:哈希表:概念定义,data_structure:哈希表,哈希表,概念定义,"一种基于哈希函数的数据结构,用于实现高效的查找操作",1,0.92,"哈希表是一种基于哈希函数的数据结构,用于实现高效的查找操作",data_structure.txt,,data_structure,直接保留单值
attr:24:data_structure:布隆过滤器:概念定义,data_structure:布隆过滤器,布隆过滤器,概念定义,"一种空间效率较高的概率型数据结构,用于判断元素是否存在于集合中,但存在一定的误判率",1,0.92,"布隆过滤器是一种空间效率较高的概率型数据结构,用于判断元素是否存在于集合中,但存在一定的误判率",data_structure.txt,,data_structure,直接保留单值
attr:28:data_structure:数据结构:概念定义,data_structure:数据结构,数据结构,概念定义,"计算机科学中的基础领域,主要研究数据的组织、存储和操作方式",1,0.92,"数据结构是计算机科学中的基础领域,主要研究数据的组织、存储和操作方式",data_structure.txt,,data_structure,直接保留单值
attr:29:data_structure:数据结构:用途作用,data_structure:数据结构,数据结构,用途作用,不同场景,1,0.85,"在实际应用中,数据结构常用于不同场景",data_structure.txt,,data_structure,直接保留单值
attr:30:data_structure:数组:概念定义,data_structure:数组,数组,概念定义,"一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",1,0.92,"数组是一种顺序存储结构,其特点是支持随机访问,但插入和删除操作效率较低",data_structure.txt,,data_structure,直接保留单值
attr:5:data_structure:线性结构:概念定义,data_structure:线性结构,线性结构,概念定义,"指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列",2,0.92,"线性结构是指数据元素之间存在一对一关系的结构,主要包括数组、链表、栈和队列",data_structure.txt,,data_structure,基于 Jaccard Token Overlap 的贪心融合
attr:41:data_structure:链表:概念定义,data_structure:链表,链表,概念定义,"一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",1,0.92,"链表是一种链式存储结构,每个节点包含数据域和指针域,适合频繁插入和删除的场景",data_structure.txt,,data_structure,直接保留单值
